identifier,location,name
apple-hills-rocky-area,apple-hills,Apple Hills (Rocky Area)
aquacorde-town,aquacorde-town,Aquacorde Town
aquiesta-supermarket,levincia,Aquiesta Supermarket
area-zero,area-zero,Area Zero
area-zero-depths,area-zero,Area Zero (Depths)
area-zero-grassy-cave-cave,area-zero,Area Zero (Grassy Cave - Cave Area)
area-zero-grassy-cave-prairie,area-zero,Area Zero (Grassy Cave - Prairie)
area-zero-grassy-cave-riverside,area-zero,Area Zero (Grassy Cave - Riverside)
area-zero-lower-field-prairie,area-zero,Area Zero (Lower Field - Prairie)
area-zero-lower-field-riverside,area-zero,Area Zero (Lower Field - Riverside)
area-zero-lower-field-rocky-area,area-zero,Area Zero (Lower Field - Rocky Area)
area-zero-outside-research-station-no-1,area-zero,Area Zero (Outside Research Station No. 1)
area-zero-outside-research-station-no-2,area-zero,Area Zero (Outside Research Station No. 2)
area-zero-outside-research-station-no-3,area-zero,Area Zero (Outside Research Station No. 3)
area-zero-outside-zero-lab,area-zero,Area Zero (Outside Zero Lab)
area-zero-ruins,area-zero,Area Zero (Ruins)
area-zero-small-cave-cave,area-zero,Area Zero (Small Cave - Cave)
area-zero-small-cave-prairie,area-zero,Area Zero (Small Cave - Prairie)
area-zero-station-no-3-cave-cave,area-zero,Area Zero (Station No. 3 Cave - Cave)
area-zero-station-no-3-cave-prairie,area-zero,Area Zero (Station No. 3 Cave - Prairie)
area-zero-station-no-3-cave-riverside,area-zero,Area Zero (Station No. 3 Cave - Riverside)
area-zero-underdepths,area-zero-underdepths,Area Zero Underdepths
area-zero-upper-field-prairie,area-zero,Area Zero (Upper Field - Prairie)
area-zero-upper-field-riverside,area-zero,Area Zero (Upper Field - Riverside)
area-zero-upper-field-rocky-area,area-zero,Area Zero (Upper Field - Rocky Area)
area-zero-waterfall-cave-cave,area-zero,Area Zero (Waterfall Cave - Cave)
area-zero-waterfall-cave-prairie,area-zero,Area Zero (Waterfall Cave - Prairie)
arenas-approach,arenas-approach,Arena’s Approach
armor-station,fields-of-honor,Armor Station
artisan-cave,artisan-cave,Artisan Cave
asado-desert,asado-desert,Asado Desert
asado-desert-desert,asado-desert,Asado Desert (Desert Area)
asado-desert-flower,asado-desert,Asado Desert (Flower)
asado-desert-prairie,asado-desert,Asado Desert (Prairie)
asado-desert-riverside,asado-desert,Asado Desert (Riverside)
asado-desert-rocky-area,asado-desert,Asado Desert (Rocky Area)
asado-desert-ruins,asado-desert,Asado Desert (Ruins)
aspertia-city,aspertia-city,Aspertia City
aspiration-hill,aspiration-hill,Aspiration Hill
avalanche-slopes,avalanche-slopes,Avalanche Slopes
avaluggs-legacy,avaluggs-lagacy,Avalugg’s Legacy
axews-eye,axews-eye,Axew’s Eye
axews-eye-den-common,axews-eye,Axew’s Eye (Den A - Common)
axews-eye-den-rare,axews-eye,Axew’s Eye (Den A - Rare)
axews-eye-northeast-of-big-tree,axews-eye,Axew’s Eye (Northeast of the Big Tree)
axews-eye-southeast-of-big-tree,axews-eye,Axew’s Eye (Southeast of the Big Tree)
azalea-town,azalea-town,Azalea Town
azure-bay,azure-bay,Azure Bay
ballimere-lake,ballimere-lake,Ballimere Lake
ballimere-lake-den-along-path-southeast-of-ruins-common,ballimere-lake,Ballimere Lake (Den A - along the path southeast of ruins - Common)
ballimere-lake-den-along-path-southeast-of-ruins-rare,ballimere-lake,Ballimere Lake (Den A - along the path southeast of ruins - Rare)
ballimere-lake-den-at-high-point-between-cliffs-northwest-common,ballimere-lake,Ballimere Lake (Den B - at the high point between cliffs in the northwest - Common)
ballimere-lake-den-at-high-point-between-cliffs-northwest-rare,ballimere-lake,Ballimere Lake (Den B - at the high point between cliffs in the northwest - Rare)
ballimere-lake-den-eastern-ruins-near-path-common,ballimere-lake,Ballimere Lake (Den C - eastern ruins near the path - Common)
ballimere-lake-den-eastern-ruins-near-path-rare,ballimere-lake,Ballimere Lake (Den C - eastern ruins near the path - Rare)
ballimere-lake-den-eastern-shore-of-lake-near-cliffs-common,ballimere-lake,Ballimere Lake (Den D - eastern shore of the lake near cliffs - Common)
ballimere-lake-den-eastern-shore-of-lake-near-cliffs-rare,ballimere-lake,Ballimere Lake (Den D - eastern shore of the lake near cliffs - Rare)
ballimere-lake-den-easternmost-edge-near-giants-bed-common,ballimere-lake,Ballimere Lake (Den E - easternmost edge near Giant's Bed - Common)
ballimere-lake-den-easternmost-edge-near-giants-bed-rare,ballimere-lake,Ballimere Lake (Den E - easternmost edge near Giant's Bed - Rare)
ballimere-lake-den-far-west-ridge-overlooking-lakeside-cave-common,ballimere-lake,Ballimere Lake (Den F - far west ridge overlooking Lakeside Cave - Common)
ballimere-lake-den-far-west-ridge-overlooking-lakeside-cave-rare,ballimere-lake,Ballimere Lake (Den F - far west ridge overlooking Lakeside Cave - Rare)
ballimere-lake-den-near-central-ruins-north-of-lake-common,ballimere-lake,Ballimere Lake (Den G - near central ruins north of lake - Common)
ballimere-lake-den-near-central-ruins-north-of-lake-rare,ballimere-lake,Ballimere Lake (Den G - near central ruins north of lake - Rare)
ballimere-lake-den-near-central-ruins-on-small-island-common,ballimere-lake,Ballimere Lake (Den H - near central ruins on small island - Common)
ballimere-lake-den-near-central-ruins-on-small-island-rare,ballimere-lake,Ballimere Lake (Den H - near central ruins on small island - Rare)
ballimere-lake-den-northeast-near-ruins-on-ridge-common,ballimere-lake,Ballimere Lake (Den I - northeast near ruins on ridge - Common)
ballimere-lake-den-northeast-near-ruins-on-ridge-rare,ballimere-lake,Ballimere Lake (Den I - northeast near ruins on ridge - Rare)
ballimere-lake-den-northernmost-point-of-ridge-common,ballimere-lake,Ballimere Lake (Den J - northernmost point of ridge - Common)
ballimere-lake-den-northernmost-point-of-ridge-rare,ballimere-lake,Ballimere Lake (Den J - northernmost point of ridge - Rare)
ballimere-lake-den-southeast-edge-above-path-near-ruins-common,ballimere-lake,Ballimere Lake (Den K - southeast edge above path near ruins - Common)
ballimere-lake-den-southeast-edge-above-path-near-ruins-rare,ballimere-lake,Ballimere Lake (Den K - southeast edge above path near ruins - Rare)
ballimere-lake-den-southeast-lake-shore-near-path-common,ballimere-lake,Ballimere Lake (Den L - southeast lake shore near path - Common)
ballimere-lake-den-southeast-lake-shore-near-path-rare,ballimere-lake,Ballimere Lake (Den L - southeast lake shore near path - Rare)
ballimere-lake-den-southern-shore-west-of-central-path-common,ballimere-lake,Ballimere Lake (Den M - southern shore west of central path - Common)
ballimere-lake-den-southern-shore-west-of-central-path-rare,ballimere-lake,Ballimere Lake (Den M - southern shore west of central path - Rare)
ballimere-lake-den-southwest-along-path-above-lakeside-cave-common,ballimere-lake,Ballimere Lake (Den N - southwest along path above Lakeside Cave - Common)
ballimere-lake-den-southwest-along-path-above-lakeside-cave-rare,ballimere-lake,Ballimere Lake (Den N - southwest along path above Lakeside Cave - Rare)
ballimere-lake-den-southwest-near-lakeside-cave-common,ballimere-lake,Ballimere Lake (Den O - southwest near Lakeside Cave - Common)
ballimere-lake-den-southwest-near-lakeside-cave-rare,ballimere-lake,Ballimere Lake (Den O - southwest near Lakeside Cave - Rare)
ballimere-lake-den-western-shore-of-lake-close-to-cliff-common,ballimere-lake,Ballimere Lake (Den P - western shore of lake close to cliff - Common)
ballimere-lake-den-western-shore-of-lake-close-to-cliff-rare,ballimere-lake,Ballimere Lake (Den P - western shore of lake close to cliff - Rare)
ballimere-lake-den-western-side-near-lakeside-cave-common,ballimere-lake,Ballimere Lake (Den Q - western side near Lakeside Cave - Common)
ballimere-lake-den-western-side-near-lakeside-cave-rare,ballimere-lake,Ballimere Lake (Den Q - western side near Lakeside Cave - Rare)
ballimere-lake-in-front-of-tombstone-on-east-side,ballimere-lake,Ballimere Lake (In front of the tombstone on the east side)
ballimere-lake-southeast-island,ballimere-lake,Ballimere Lake (Southeast Island)
ballimere-lake-southwest-of-lake,ballimere-lake,Ballimere Lake (Southwest of lake)
ballimere-lake-west-of-lake,ballimere-lake,Ballimere Lake (West of lake)
ballonlea,ballonlea,Ballonlea
ballonlea-stadium,ballonlea,Ballonlea Stadium
bathers-lagoon,bathers-lagoon,Bathers’ Lagoon
battle-frontier-hoenn,battle-frontier-hoenn,Battle Frontier (Hoenn)
battle-frontier-johto,battle-frontier-johto,Battle Frontier (Johto)
battle-frontier-sinnoh,battle-frontier-sinnoh,Battle Frontier (Sinnoh)
battle-maison,kiloude-city,Battle Maison
battle-park-sinnoh,battle-park-sinnoh,Battle Park (Sinnoh)
battle-resort,battle-resort,Battle Resort
battle-royal-dome,royal-avenue,Battle Royal Dome
battle-subway,nimbasa-city,Battle Subway
battle-tower-galar,battle-tower-galar,Battle Tower (Galar)
battle-tower-hoenn,battle-tower-hoenn,Battle Tower (Hoenn)
battle-tower-sinnoh,battle-tower-sinnoh,Battle Tower (Sinnoh)
battle-tree,battle-tree,Battle Tree
bell-tower,bell-tower,Bell Tower
bell-tower-10f,bell-tower,Bell Tower (10F)
bell-tower-1f,bell-tower,Bell Tower (1F)
bell-tower-2f,bell-tower,Bell Tower (2F)
bell-tower-3f,bell-tower,Bell Tower (3F)
bell-tower-4f,bell-tower,Bell Tower (4F)
bell-tower-5f,bell-tower,Bell Tower (5F)
bell-tower-6f,bell-tower,Bell Tower (6F)
bell-tower-7f,bell-tower,Bell Tower (7F)
bell-tower-8f,bell-tower,Bell Tower (8F)
bell-tower-9f,bell-tower,Bell Tower (9F)
bell-tower-roof,bell-tower,Bell Tower (Roof)
berry-fields-kalos,berry-fields-kalos,Berry Fields (Kalos)
berry-fields-kalos-blue-tree,berry-fields-kalos,Berry Fields (Kalos - Blue Tree)
berry-fields-kalos-green-tree,berry-fields-kalos,Berry Fields (Kalos - Green Tree)
berry-fields-kalos-pink-tree,berry-fields-kalos,Berry Fields (Kalos - Pink Tree)
berry-fields-kalos-purple-tree,berry-fields-kalos,Berry Fields (Kalos - Purple Tree)
berry-fields-kalos-red-tree,berry-fields-kalos,Berry Fields (Kalos - Red Tree)
berry-fields-kalos-yellow-tree,berry-fields-kalos,Berry Fields (Kalos - Yellow Tree)
berry-forest,berry-forest,Berry Forest
big-bluff-cavern,big-bluff-cavern,Big Bluff Cavern
birth-island,birth-island,Birth Island
black-city,black-city,Black City
blackthorn-city,blackthorn-city,Blackthorn City
blueberry-academy,blueberry-academy,Blueberry Academy
blueberry-academy-entrance,blueberry-academy,Blueberry Academy (Entrance)
blueberry-academy-store,blueberry-academy,Blueberry Academy (Store)
blush-mountain,blush-mountain,Blush Mountain
blush-mountain-eastern-patch,blush-mountain,Blush Mountain (Eastern Patch of grass)
blush-mountain-western-patch,blush-mountain,Blush Mountain (Western Patch of grass)
bogsunk-cavern,bogsunk-cavern,Bogsunk Cavern
bolderoll-ravine,bolderoll-ravine,Bolderoll Ravine
bolderoll-slope,bolderoll-slope,Bolderoll Slope
bond-bridge,bond-bridge,Bond Bridge
bonechill-wastes,bonechill-wastes,Bonechill Wastes
brava-arena,brava-arena,Brava Arena
brawlers-cave,brawlers-cave,Brawler's Cave
brawlers-cave-along-path-between-water-and-top,brawlers-cave,Brawler's Cave (Along the path between the water and the top)
brawlers-cave-at-bottom-of-path-between-water-and-top,brawlers-cave,Brawler's Cave (At the bottom of the path between the water and the top)
brawlers-cave-at-dead-end-of-stream,brawlers-cave,Brawler's Cave (At the dead-end of the stream)
brawlers-cave-by-first-pillar-up-path-near-water-and-top,brawlers-cave,Brawler's Cave (By the first pillar up the path between the water and the top)
brawlers-cave-by-pillar-near-top-of-path,brawlers-cave,Brawler's Cave (By the pillar near the top of the path between the water and the top)
brawlers-cave-den-common,brawlers-cave,Brawler's Cave (Den A - Common)
brawlers-cave-den-rare,brawlers-cave,Brawler's Cave (Den A - Rare)
brawlers-cave-in-front-of-den-near-midpoint,brawlers-cave,Brawler's Cave (In front of the den near the midpoint of the path between the water and the top)
brawlers-cave-near-bottom-of-path-between-water-and-top,brawlers-cave,Brawler's Cave (Near the bottom of the path between the water and the top)
brawlers-cave-near-challenge-road-exit,brawlers-cave,Brawler's Cave (Near the exit to Challenge Road)
brawlers-cave-on-soothing-wetlands-near-entrance,brawlers-cave,"Brawler's Cave (On the Soothing Wetlands side, near the entrance)"
brawlers-cave-on-soothing-wetlands-near-stream,brawlers-cave,"Brawler's Cave (On the Soothing Wetlands side, near the stream)"
brawlers-cave-on-soothing-wetlands-near-stream-exit,brawlers-cave,"Brawler's Cave (On the Soothing Wetlands side, near the stream's exit)"
bridge-field,bridge-field,Bridge Field
bridge-field-between-north-bridge-supports,bridge-field,Bridge Field (Between two of the north bridge's supports)
bridge-field-den-center-of-bridge-field-common,bridge-field,Bridge Field (Den A - Center - Common)
bridge-field-den-center-of-bridge-field-rare,bridge-field,Bridge Field (Den A - Center - Rare)
bridge-field-den-east-end-of-bridge-field-near-path-common,bridge-field,Bridge Field (Den B - East end near the path - Common)
bridge-field-den-east-end-of-bridge-field-near-path-rare,bridge-field,Bridge Field (Den B - East end near the path - Rare)
bridge-field-den-north-of-bridge-field-near-trees-common,bridge-field,Bridge Field (Den C - north of Bridge Field near trees - Common)
bridge-field-den-north-of-bridge-field-near-trees-rare,bridge-field,Bridge Field (Den C - north of Bridge Field near trees - Rare)
bridge-field-den-northeast-end-of-bridge-field-near-pokemon-nursery-common,bridge-field,Bridge Field (Den D - northeast end of Bridge Field near Pokémon Nursery - Common)
bridge-field-den-northeast-end-of-bridge-field-near-pokemon-nursery-rare,bridge-field,Bridge Field (Den D - northeast end of Bridge Field near Pokémon Nursery - Rare)
bridge-field-den-south-end-of-bridge-field-near-cliff-common,bridge-field,Bridge Field (Den E - south end of Bridge Field near the cliff - Common)
bridge-field-den-south-end-of-bridge-field-near-cliff-rare,bridge-field,Bridge Field (Den E - south end of Bridge Field near the cliff - Rare)
bridge-field-den-southeast-of-bridge-field-near-lake-common,bridge-field,Bridge Field (Den F - southeast of Bridge Field near the lake - Common)
bridge-field-den-southeast-of-bridge-field-near-lake-rare,bridge-field,Bridge Field (Den F - southeast of Bridge Field near the lake - Rare)
bridge-field-den-southwest-of-bridge-field-near-bridge-common,bridge-field,Bridge Field (Den G - southwest of Bridge Field near the bridge - Common)
bridge-field-den-southwest-of-bridge-field-near-bridge-rare,bridge-field,Bridge Field (Den G - southwest of Bridge Field near the bridge - Rare)
bridge-field-den-west-end-of-bridge-field-near-cliff-common,bridge-field,Bridge Field (Den H - west end of Bridge Field near the cliff - Common)
bridge-field-den-west-end-of-bridge-field-near-cliff-rare,bridge-field,Bridge Field (Den H - west end of Bridge Field near the cliff - Rare)
bridge-field-den-west-of-bridge-field-near-bridge-common,bridge-field,Bridge Field (Den I - west of Bridge Field near the bridge - Common)
bridge-field-den-west-of-bridge-field-near-bridge-rare,bridge-field,Bridge Field (Den I - west of Bridge Field near the bridge - Rare)
bridge-field-large-patch-northwest-of-pond,bridge-field,Bridge Field (Large patch of grass northwest of the pond)
bridge-field-nook-south-of-northwest-corner,bridge-field,Bridge Field (Nook south of the northwest corner)
bridge-field-north-of-island,bridge-field,Bridge Field (North of the island)
bridge-field-northeast-of-den,bridge-field,Bridge Field (Northeast of the den)
bridge-field-on-island,bridge-field,Bridge Field (On the island)
bridge-field-on-north-side-of-pond,bridge-field,Bridge Field (On the north side of the pond)
bridge-field-on-west-shore-of-pond,bridge-field,Bridge Field (On the west shore of the pond)
bridge-field-southwest-of-island,bridge-field,Bridge Field (Southwest of the island)
bridge-field-under-east-end-of-south-bridge,bridge-field,Bridge Field (Under the east end of the south bridge)
bridge-field-under-middle-of-large-patch-west-of-pond,bridge-field,Bridge Field (Under the middle of the large patch west of the pond)
bridge-field-under-north-bridge-south-of-berry-trees,bridge-field,Bridge Field (Under the north bridge south of the berry trees)
bridge-field-under-west-end-of-south-bridge,bridge-field,Bridge Field (Under the west end of the south bridge)
bridge-field-west-cliff-opposite-of-pond,bridge-field,Bridge Field (West cliff opposite of the pond)
brooklet-hill,brooklet-hill,Brooklet Hill
brooklet-hill-first-patch,brooklet-hill,Brooklet Hill (First patch of grass)
brooklet-hill-patches-across-second-lake,brooklet-hill,Brooklet Hill (Patches of grass across the second lake)
brooklet-hill-totems-den,brooklet-hill,Brooklet Hill (Totem's Den)
burned-tower-1f,burned-tower,Burned Tower (1F)
burned-tower-b1f,burned-tower,Burned Tower (B1F)
cabo-poco,cabo-poco,Cabo Poco
cafe-gallant,lumiose-city,Café Gallant
camphrier-town,camphrier-town,Camphrier Town
canalave-city,canalave-city,Canalave City
canyon-biome,canyon-biome,Canyon Biome
canyon-biome-bamboo-forest,canyon-biome,Canyon Biome (Bamboo Forest)
canyon-biome-cave,canyon-biome,Canyon Biome (Cave)
canyon-biome-cliffside-cave,canyon-biome,Canyon Biome (Cliffside Cave)
canyon-biome-craggy-cliffs-cave,canyon-biome,Canyon Biome (Craggy Cliffs - Cave)
canyon-biome-craggy-cliffs-prairie,canyon-biome,Canyon Biome (Craggy Cliffs - Prairie)
canyon-biome-craggy-cliffs-riverside,canyon-biome,Canyon Biome (Craggy Cliffs - Riverside)
canyon-biome-craggy-cliffs-rocky-area,canyon-biome,Canyon Biome (Craggy Cliffs - Rocky Area)
canyon-biome-east-bridge-cave,canyon-biome,Canyon Biome (East Bridge Cave)
canyon-biome-lake,canyon-biome,Canyon Biome (Lake)
canyon-biome-lower-west-bridge-cave,canyon-biome,Canyon Biome (Lower West Bridge Cave)
canyon-biome-nature-preserve-cave,canyon-biome,Canyon Biome (Nature Preserve - Cave)
canyon-biome-nature-preserve-lake,canyon-biome,Canyon Biome (Nature Preserve - Lake)
canyon-biome-nature-preserve-prairie,canyon-biome,Canyon Biome (Nature Preserve - Prairie)
canyon-biome-nature-preserve-riverside,canyon-biome,Canyon Biome (Nature Preserve - Riverside)
canyon-biome-nature-preserve-rocky-area,canyon-biome,Canyon Biome (Nature Preserve - Rocky Area)
canyon-biome-outdoor-classroom-cave,canyon-biome,Canyon Biome (Outdoor Classroom - Cave)
canyon-biome-prairie,canyon-biome,Canyon Biome (Prairie)
canyon-biome-riverside,canyon-biome,Canyon Biome (Riverside)
canyon-biome-rocky-area,canyon-biome,Canyon Biome (Rocky Area)
canyon-biome-waterfall-cave,canyon-biome,Canyon Biome (Waterfall - Cave)
canyon-entrance,canyon-entrance,Canyon Entrance
cape-brink,cape-brink,Cape Brink
cascarrafa,cascarrafa,Cascarrafa
casseroya-lake,casseroya-lake,Casseroya Lake
casseroya-lake-lake,casseroya-lake,Casseroya Lake (Lake)
casseroya-lake-ocean,casseroya-lake,Casseroya Lake (Ocean)
casseroya-lake-riverside,casseroya-lake,Casseroya Lake (Riverside)
casseroya-lake-rocky-area,casseroya-lake,Casseroya Lake (Rocky Area)
casseroya-lake-rocky-beach,casseroya-lake,Casseroya Lake (Rocky Beach)
casseroya-lake-rocky-ruins,casseroya-lake,Casseroya Lake (Rocky Ruins)
casseroya-lake-snowfield,casseroya-lake,Casseroya Lake (Snowfield)
castaway-shore,castaway-shore,Castaway Shore
castelia-city,castelia-city,Castelia City
castelia-city-park,castelia-city,Castelia City (Park)
castelia-sewers,castelia-sewers,Castelia Sewers
cave-of-origin,cave-of-origin,Cave of Origin
cave-of-origin-1f,cave-of-origin,Cave of Origin (1F)
cave-of-origin-2f,cave-of-origin,Cave of Origin (2F)
cave-of-origin-3f,cave-of-origin,Cave of Origin (3F)
cave-of-origin-b4f,cave-of-origin,Cave of Origin (B4F)
cave-of-origin-b5f,cave-of-origin,Cave of Origin (B5F)
cave-of-origin-entrance,cave-of-origin,Cave of Origin (Entrance)
celadon-city,celadon-city,Celadon City
celadon-condominiums,celadon-city,Celadon Condominiums
celadon-game-corner,celadon-city,Celadon Game Corner
celestial-tower,celestial-tower,Celestial Tower
celestial-tower-2f,celestial-tower,Celestial Tower (2F)
celestial-tower-3f,celestial-tower,Celestial Tower (3F)
celestial-tower-4f,celestial-tower,Celestial Tower (4F)
celestial-tower-5f,celestial-tower,Celestial Tower (5F)
celestic-town,celestic-town,Celestic Town
celestica-ruins,celestica-ruins,Celestica Ruins
celestica-trail,celestica-trail,Celestica Trail
central-plaza,central-plaza,Central Plaza
cerulean-cave,cerulean-cave,Cerulean Cave
cerulean-cave-1f,cerulean-cave,Cerulean Cave (1F)
cerulean-cave-2f,cerulean-cave,Cerulean Cave (2F)
cerulean-cave-b1f,cerulean-cave,Cerulean Cave (B1F)
cerulean-cave-b2f,cerulean-cave,Cerulean Cave (B2F)
cerulean-city,cerulean-city,Cerulean City
cerulean-gym,cerulean-city,Cerulean Gym
challenge-beach,challenge-beach,Challenge Beach
challenge-beach-den-along-shoreline-past-sandbar-to-tower-of-waters-from-forest-of-focus-common,challenge-beach,Challenge Beach (Den A - Along the shoreline past the sandbar to Tower of Waters from Forest of Focus - Common)
challenge-beach-den-along-shoreline-past-sandbar-to-tower-of-waters-from-forest-of-focus-rare,challenge-beach,Challenge Beach (Den A - Along the shoreline past the sandbar to Tower of Waters from Forest of Focus - Rare)
challenge-beach-den-behind-tower-of-waters-common,challenge-beach,Challenge Beach (Den B - Behind the Tower of Waters - Common)
challenge-beach-den-behind-tower-of-waters-rare,challenge-beach,Challenge Beach (Den B - Behind the Tower of Waters - Rare)
challenge-beach-den-halfway-across-zone-where-shore-meets-grassy-part-common,challenge-beach,Challenge Beach (Den C - Halfway across the zone where the shore meets the grassy part - Common)
challenge-beach-den-halfway-across-zone-where-shore-meets-grassy-part-rare,challenge-beach,Challenge Beach (Den C - Halfway across the zone where the shore meets the grassy part - Rare)
challenge-beach-den-in-water-near-den-c-common,challenge-beach,Challenge Beach (Den D - In the water near Den C - Common)
challenge-beach-den-in-water-near-den-c-rare,challenge-beach,Challenge Beach (Den D - In the water near Den C - Rare)
challenge-beach-den-just-before-berry-tree-at-end-of-shore-common,challenge-beach,Challenge Beach (Den E - Just before the berry tree at the end of the shore - Common)
challenge-beach-den-just-before-berry-tree-at-end-of-shore-rare,challenge-beach,Challenge Beach (Den E - Just before the berry tree at the end of the shore - Rare)
challenge-beach-den-right-from-forest-of-focus-at-end-of-raised-path-near-tree-common,challenge-beach,Challenge Beach (Den F - Right from the Forest of Focus at the end of the raised path near a tree - Common)
challenge-beach-den-right-from-forest-of-focus-at-end-of-raised-path-near-tree-rare,challenge-beach,Challenge Beach (Den F - Right from the Forest of Focus at the end of the raised path near a tree - Rare)
challenge-beach-den-right-of-courageous-cavern-entrance-past-tall-grass-common,challenge-beach,"Challenge Beach (Den G - Right of Courageous Cavern entrance, past tall grass - Common)"
challenge-beach-den-right-of-courageous-cavern-entrance-past-tall-grass-rare,challenge-beach,"Challenge Beach (Den G - Right of Courageous Cavern entrance, past tall grass - Rare)"
challenge-beach-den-straight-ahead-from-forest-of-focus-entrance-surrounded-by-tall-grass-common,challenge-beach,"Challenge Beach (Den H - Straight ahead from the Forest of Focus entrance, surrounded by tall grass - Common)"
challenge-beach-den-straight-ahead-from-forest-of-focus-entrance-surrounded-by-tall-grass-rare,challenge-beach,"Challenge Beach (Den H - Straight ahead from the Forest of Focus entrance, surrounded by tall grass - Rare)"
challenge-beach-in-front-of-beach-near-berry-tree,challenge-beach,Challenge Beach (In front of the beach near the berry tree)
challenge-beach-in-river-near-courageous-cavern,challenge-beach,Challenge Beach (In the river near Courageous Cavern)
challenge-beach-in-river-west-part,challenge-beach,Challenge Beach (In the river west part)
challenge-beach-in-water-east-of-beach-near-coast,challenge-beach,Challenge Beach (In the water east of the beach near the coast)
challenge-beach-in-water-east-of-path-to-tower-of-waters,challenge-beach,Challenge Beach (In the water east of the path to Tower of Waters)
challenge-beach-in-water-north-of-west-beach-near-stepping-stone-sea,challenge-beach,Challenge Beach (In the water north of the west beach near Stepping Stone Sea)
challenge-beach-in-water-northeast-of-beach-near-honeycalm-sea,challenge-beach,Challenge Beach (In the water northeast of the beach near Honeycalm Sea)
challenge-beach-in-water-northeast-of-tower-of-waters,challenge-beach,Challenge Beach (In the water northeast of Tower of Waters)
challenge-beach-in-water-northwest-of-tower-of-waters,challenge-beach,Challenge Beach (In the water northwest of Tower of Waters)
