move,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_latn
gust,Gust,かぜおこし,かぜおこし,Kaze Okoshi,Tornade,Windstoß,Tornado,Ráfaga de Aire,Raffica,바람일으키기,Baram Il'eukigi,起風,起风,Qǐfēng / Héifūng
wing-attack,Wing Attack,つばさでうつ,つばさでうつ,Tsubasa de Utsu,Cru-Ailes,Flügelschlag,Ataque Ala,Ataque de Ala,Attacco d’Ala,날개치기,Nalgae Chigi,翅膀攻擊,翅膀攻击,Chìbǎng Gōngjí / Chibóng Gūnggīk
whirlwind,Whirlwind,ふきとばし,ふきとばし,Fukitobashi,Cyclone,Wirbelwind,Remolino,Torbellino,Turbine,날려버리기,Nallyeobeorigi,吹飛,吹飞,Chuīfēi / Chēuifēi
fly,Fly,そらをとぶ,そらをとぶ,Sora o Tobu,Vol,Fliegen,Vuelo,Vuelo,Volo,공중날기,Gongjung Nalgi,飛翔,飞翔,Fēixiáng / Fēichèuhng
bind,Bind,しめつける,しめつける,Shimetsukeru,Étreinte,Klammergriff,Atadura,Atadura,Legatutto,조이기,Joigi,綁緊,绑紧,Bǎngjǐn / Bónggán
slam,Slam,たたきつける,たたきつける,Tatakitsukeru,Souplesse,Slam,Atizar,Golpazo,Schianto,힘껏치기,Himkkeotchigi,摔打,摔打,Shuāida / Sēuidá
vine-whip,Vine Whip,つるのムチ,つるのムチ,Tsuru no Muchi,Fouet Lianes,Rankenhieb,Látigo Cepa,Látigo Cepa,Frustata,덩굴채찍,Deonggul Chaejjik,藤鞭,藤鞭,Téngbiān / Tàhngbīn
stomp,Stomp,ふみつけ,ふみつけ,Fumitsuke,Écrasement,Stampfer,Pisotón,Pisotón,Pestone,짓밟기,Jitbalgi,踩踏,踩踏,Cǎità / Cháaidaahp
double-kick,Double Kick,にどげり,にどげり,Nidogeri,Double Pied,Doppelkick,Doble Patada,Doble Patada,Doppiocalcio,두번차기,Dubeonchigi,二連踢,二连踢,Èrliántī / Yihlìhntek
mega-kick,Mega Kick,メガトンキック,メガトンキック,Megaton Kikku,Ultimawashi,Megakick,Megapatada,Megapatada,Megacalcio,메가톤킥,Megaton Kick,百萬噸重踢,百万吨重踢,Bǎiwàn-dùn Zhòngtī / Baakmaahn-dēun Chúhngtek
jump-kick,Jump Kick,とびげり,とびげり,Tobigeri,Pied Sauté,Sprungkick,Patada Salto,Patada Salto,Calciosalto,점프킥,Jump Kick,飛踢,飞踢,Fēitī / Fēitek
rolling-kick,Rolling Kick,まわしげり,まわしげり,Mawashigeri,Mawashi Geri,Fegekick,Patada Giro,Patada Giro,Calciorullo,돌려차기,Dollyeo Chagi,迴旋踢,回旋踢,Huíxuán Tī / Wùihsyùhn Tek
sand-attack,Sand Attack,すなかけ,すなかけ,Sunakake,Jet de Sable,Sandwirbel,Ataque Arena,Ataque Arena,Turbosabbia,모래뿌리기,Morae Ppurigi,潑沙,泼沙,Pōshā / Putsā
headbutt,Headbutt,ずつき,ずつき,Zutsuki,Coup d’Boule,Kopfnuss,Golpe Cabeza,Golpe Cabeza,Bottintesta,박치기,Bakchigi,頭錘,头锤,Tóuchuí / Tàuhchèuih
horn-attack,Horn Attack,つのでつく,つのでつく,Tsuno de Tsuku,Koud’Korne,Hornattacke,Cornada,Ataque Cuerno,Incornata,뿔찌르기,Ppul Jjireugi,角撞,角撞,Jiǎozhuàng / Gokjohng
fury-attack,Fury Attack,みだれづき,みだれづき,Midare Dzuki,Furie,Furienschlag,Ataque Furia,Ataque Furia,Furia,마구찌르기,Magu Jjireugi,亂擊,乱击,Luànjī / Lyuhngīk
horn-drill,Horn Drill,つのドリル,つのドリル,Tsuno Doriru,Empal’Korne,Hornbohrer,Perforador,Cuerno Taladro,Perforcorno,뿔드릴,Ppul Drill,角鑽,角钻,Jiǎozuàn / Gokjyūn
tackle,Tackle,たいあたり,たいあたり,Taiatari,Charge,Tackle,Placaje,Tacleada,Azione,몸통박치기,Momtong Bakchigi,撞擊,撞击,Zhuàngjí / Johnggīk
body-slam,Body Slam,のしかかり,のしかかり,Noshikakari,Plaquage,Bodyslam,Golpe Cuerpo,Golpe de Cuerpo,Corposcontro,누르기,Nureugi,泰山壓頂,泰山压顶,Tàishānyādǐng / Taaisāanaatdéng
wrap,Wrap,まきつく,まきつく,Makitsuku,Ligotage,Wickel,Constricción,Constricción,Avvolgibotta,김밥말이,Gimbapmal'i,緊束,紧束,Jǐnshù / Gánchūk
take-down,Take Down,とっしん,とっしん,Tosshin,Bélier,Bodycheck,Derribo,Derribo,Riduttore,돌진,Doljin,猛撞,猛撞,Měngzhuàng / Máahngjohng
thrash,Thrash,あばれる,あばれる,Abareru,Mania,Fuchtler,Saña,Golpiza,Colpo,난동부리기,Nandong Burigi,大鬧一番,大闹一番,Dànàoyīfān / Daaihnaauhyātfāan
double-edge,Double-Edge,すてみタックル,すてみタックル,Sutemi Takkuru,Damoclès,Risikotackle,Doble Filo,Doble Filo,Sdoppiatore,이판사판태클,Ipansapan Tackle,捨身衝撞,舍身冲撞,Shěshēn Chōngzhuàng / Sésān Chūngjohng
tail-whip,Tail Whip,しっぽをふる,しっぽをふる,Shippo o Furu,Mimi-Queue,Rutenschlag,Agitacola,Látigo de Cola,Colpocoda,꼬리흔들기,Kkori Heundeulgi,搖尾巴,摇尾巴,Yáo Yǐba/Yáo Wěibā / Yìuh Méihbā
poison-sting,Poison Sting,どくばり,どくばり,Doku Bari,Dard-Venin,Giftstachel,Picotazo Veneno,Piquete Venenoso,Velenospina,독침,Dokchim,毒針,毒针,Dúzhēn / Duhkjām
twineedle,Twineedle,ダブルニードル,ダブルニードル,Daburu Nīdoru,Double Dard,Duonadel,Doble Ataque,Doble Aguijón,Doppio Ago,더블니들,Double Needle,雙針,双针,Shuāngzhēn / Sēungjām
pin-missile,Pin Missile,ミサイルばり,ミサイルばり,Misairu Bari,Dard-Nuée,Nadelrakete,Pin Misil,Misil Aguja,Missilspillo,바늘미사일,Bineul Missile,飛彈針,飞弹针,Fēidàn Zhēn / Fēidáan Jām
leer,Leer,にらみつける,にらみつける,Niramitsukeru,Groz’Yeux,Silberblick,Malicioso,Malicioso,Fulmisguardo,째려보기,Jjaeryeobogi,瞪眼,瞪眼,Dèngyǎn / Dāngngáahn
bite,Bite,かみつく,かみつく,Kamitsuku,Morsure,Biss,Mordisco,Mordida,Morso,물기,Mulgi,咬住,咬住,Yǎozhù / Ngáauhjyuh
growl,Growl,なきごえ,なきごえ,Nakigoe,Rugissement,Heuler,Gruñido,Gruñido,Ruggito,울음소리,Ur-eum Sori,叫聲,叫声,Jiàoshēng / Giusēng
roar,Roar,ほえる,ほえる,Hoeru,Hurlement,Brüller,Rugido,Rugido,Boato,울부짖기,Ulbujitki,吼叫,吼叫,Hǒujiào / Haugiu
sing,Sing,うたう,うたう,Utau,Berceuse,Gesang,Canto,Canto,Canto,노래하기,Norae Hagi,唱歌,唱歌,Chànggē / Cheunggō
supersonic,Supersonic,ちょうおんぱ,ちょうおんぱ,Chōonpa,Ultrason,Superschall,Supersónico,Supersónico,Supersuono,초음파,Cho-Eumpa,超音波,超音波,Chāoyīnbō / Chīuyāmbō
sonic-boom,Sonic Boom,ソニックブーム,ソニックブーム,Sonikku Būmu,Sonic Boom,Ultraschall,Bomba Sónica,Explosión Sónica,Sonicboom,소닉붐,Sonic Boom,音爆,音爆,Yīnbào / Yāmbaau
disable,Disable,かなしばり,かなしばり,Kanashibari,Entrave,Aussetzer,Anulación,Anulación,Inibitore,사슬묶기,Saseul Mukgi,定身法,定身法,Dìngshēnfǎ / Dihngsānfaat
acid,Acid,ようかいえき,ようかいえき,Yōkaieki,Acide,Säure,Ácido,Ácido,Acido,용해액,Yonghae Aek,溶解液,溶解液,Róngjiě Yè / Yùhnggáai Yaht
ember,Ember,ひのこ,ひのこ,Hinoko,Flammèche,Glut,Ascuas,Brasas,Braciere,불꽃세례,Bulkkot Serye,火花,火花,Huǒhuā / Fófā
flamethrower,Flamethrower,かえんほうしゃ,かえんほうしゃ,Kaen Hōsha,Lance-Flammes,Flammenwurf,Lanzallamas,Lanzallamas,Lanciafiamme,화염방사,Hwayeom Bangsa,噴射火焰,喷射火焰,Pēnshè Huǒyàn / Panseh Fóyihm
mist,Mist,しろいきり,しろいきり,Shiroi Kiri,Brume,Weißnebel,Neblina,Neblina,Nebbia,흰안개,Hyin Angae,白霧,白雾,Báiwù / Baahkmouh
water-gun,Water Gun,みずでっぽう,みずでっぽう,Mizu Deppō,Pistolet à O,Aquaknarre,Pistola Agua,Chorro de Agua,Pistolacqua,물대포,Mul Daepo,水槍,水枪,Shuǐqiāng / Séuichēung
hydro-pump,Hydro Pump,ハイドロポンプ,ハイドロポンプ,Haidoro Ponpu,Hydrocanon,Hydropumpe,Hidrobomba,Hidrobomba,Idropompa,하이드로펌프,Hydro Pump,水炮,水炮,Shuǐpào / Séuipaau
surf,Surf,なみのり,なみのり,Naminori,Surf,Surfer,Surf,Surf,Surf,파도타기,Padotagi,衝浪,冲浪,Chōnglàng / Chūnglohng
ice-beam,Ice Beam,れいとうビーム,れいとうビーム,Reitō Bīmu,Laser Glace,Eisstrahl,Rayo Hielo,Rayo de Hielo,Geloraggio,냉동빔,Naengdong Beam,冰凍光束,冰冻光束,Bīngdòng Guāngshù / Bīngdung Gwōngchūk
blizzard,Blizzard,ふぶき,ふぶき,Fubuki,Blizzard,Blizzard,Ventisca,Ventisca,Bora,눈보라,Nunbora,暴風雪,暴风雪,Bàofēngxuě / Bouhfūngsyut
psybeam,Psybeam,サイケこうせん,サイケこうせん,Psyche Kōsen,Rafale Psy,Psystrahl,Psicorrayo,Psicorrayo,Psicoraggio,환상빔,Hwansang Beam,幻象光線,幻象光线,Huànxiàng Guāngxiàn / Waahnjeuhng Gwōngsin
bubble-beam,Bubble Beam,バブルこうせん,バブルこうせん,Baburu Kōsen,Bulles d’O,Blubbstrahl,Rayo Burbuja,Rayo Burbuja,Bollaraggio,거품광선,Geopum Gwangseon,泡沫光線,泡沫光线,Pàomò Guāngxiàn / Póuhmuht Gwōngsin
aurora-beam,Aurora Beam,オーロラビーム,オーロラビーム,Ōrora Bīmu,Onde Boréale,Aurorastrahl,Rayo Aurora,Rayo Aurora,Raggiaurora,오로라빔,Aurora Beam,極光束,极光束,Jí Guāngshù / Gihk Gwōngchūk
hyper-beam,Hyper Beam,はかいこうせん,はかいこうせん,Hakai Kōsen,Ultralaser,Hyperstrahl,Hiperrayo,Hiperrayo,Iper Raggio,파괴광선,Pagoe Gwangseon,破壞光線,破坏光线,Pòhuài Guāngxiàn / Powaaih Gwōngsin
peck,Peck,つつく,つつく,Tsutsuku,Picpic,Pikser,Picotazo,Picotazo,Beccata,쪼기,Jjogi,啄,啄,Zhuó / Deuk
drill-peck,Drill Peck,ドリルくちばし,ドリルくちばし,Doriru Kuchibashi,Bec Vrille,Bohrschnabel,Pico Taladro,Pico Taladro,Perforbecco,회전부리,Hoejeon Buri,啄鑽,啄钻,Zhuózuàn / Deukjyūn
submission,Submission,じごくぐるま,じごくぐるま,Jigoku Guruma,Sacrifice,Überroller,Sumisión,Sumisión,Sottomissione,지옥의바퀴,Jiok-yi Bakwi,地獄翻滾,地狱翻滚,Dìyù Fāngǔn / Deihyuhk Fāangwán
low-kick,Low Kick,けたぐり,けたぐり,Ketaguri,Balayage,Fußkick,Patada Baja,Patada Baja,Colpo Basso,안다리걸기,Andarigeolgi,踢倒,踢倒,Tīdǎo / Tekdóu
counter,Counter,カウンター,カウンター,Kauntā,Riposte,Konter,Contraataque,Contraataque,Contrattacco,카운터,Counter,雙倍奉還,双倍奉还,Shuāngbèi Fènghuán / Sēungpúih Fuhngwàahn
seismic-toss,Seismic Toss,ちきゅうなげ,ちきゅうなげ,Chikyū Nage,Frappe Atlas,Geowurf,Sísmico,Sísmico,Movim. Sismico,지구던지기,Jigu Deonjigi,地球上投,地球上投,Dìqiú Shàngtóu / Deihkàuh Seuhngtàuh
strength,Strength,かいりき,かいりき,Kairiki,Force,Stärke,Fuerza,Fuerza,Forza,괴력,Goeryeok,怪力,怪力,Guàilì / Gwaailihk
absorb,Absorb,すいとる,すいとる,Suitoru,Vole-Vie,Absorber,Absorber,Absorción,Assorbimento,흡수,Heubsu,吸取,吸取,Xīqǔ / Kāpchéui
mega-drain,Mega Drain,メガドレイン,メガドレイン,Mega Dorein,Méga-Sangsue,Megasauger,Megaagotar,Megadrenado,Megassorbimento,메가드레인,Mega Drain,超級吸取,超级吸取,Chāojí Xīqǔ / Chīukāp Kāpchéui
leech-seed,Leech Seed,やどりぎのタネ,やどりぎのタネ,Yadorigi no Tane,Vampigraine,Egelsamen,Drenadoras,Drenadoras,Parassiseme,씨뿌리기,Ssi Ppurigi,寄生種子,寄生种子,Jìshēng Zhǒngzǐ / Geisāng Júngjí
growth,Growth,せいちょう,せいちょう,Seichō,Croissance,Wachstum,Desarrollo,Crecimiento,Crescita,성장,Seongjang,生長,生长,Shēngzhǎng / Sāangjéung
razor-leaf,Razor Leaf,はっぱカッター,はっぱカッター,Happa Kattā,Tranch’Herbe,Rasierblatt,Hoja Afilada,Hojas Navaja,Foglielama,잎날가르기,Ipnal Gareugi,飛葉快刀,飞叶快刀,Fēiyè Kuàidāo / Fēiyihp Faaidōu
solar-beam,Solar Beam,ソーラービーム,ソーラービーム,Sōrā Bīmu,Lance-Soleil,Solarstrahl,Rayo Solar,Rayo Solar,Solarraggio,솔라빔,Solar Beam,日光束,日光束,Rì Guāngshù / Yaht Gwōngchūk
poison-powder,Poison Powder,どくのこな,どくのこな,Doku no Kona,Poudre Toxik,Giftpuder,Polvo Veneno,Polvo Venenoso,Velenpolvere,독가루,Dok Garu,毒粉,毒粉,Dúfěn / Duhkfán
stun-spore,Stun Spore,しびれごな,しびれごな,Shibire Gona,Para-Spore,Stachelspore,Paralizador,Paralizador,Paralizzante,저리가루,Jeori Garu,麻痺粉,麻痹粉,Mábì Fěn / Màhbei Fán
sleep-powder,Sleep Powder,ねむりごな,ねむりごな,Nemuri Gona,Poudre Dodo,Schlafpuder,Somnífero,Somnífero,Sonnifero,수면가루,Sumyeon Garu,催眠粉,催眠粉,Cuīmián Fěn / Chēuimìhn Fán
petal-dance,Petal Dance,はなびらのまい,はなびらのまい,Hanabira no Mai,Danse Fleurs,Blättertanz,Danza Pétalo,Danza de Pétalos,Petalodanza,꽃잎댄스,Kkoch'ip Dance,花瓣舞,花瓣舞,Huābàn Wǔ / Fāfáan Móuh
string-shot,String Shot,いとをはく,いとをはく,Ito o Haku,Sécrétion,Fadenschuss,Disparo Demora,Disparo de Seda,Millebave,실뿜기,Silppumgi,吐絲,吐丝,Tǔsī / Tousī
dragon-rage,Dragon Rage,りゅうのいかり,りゅうのいかり,Ryū no Ikari,Draco-Rage,Drachenwut,Furia Dragón,Furia Dragón,Ira di Drago,용의분노,Yong-yi Bunno,龍之怒,龙之怒,Lóng-zhī Nù / Lùhng-jī Nouh
fire-spin,Fire Spin,ほのおのうず,ほのおのうず,Honō no Uzu,Danse Flammes,Feuerwirbel,Giro Fuego,Giro Fuego,Turbofuoco,회오리불꽃,Hoe-ori Bulkkot,火焰旋渦,火焰旋涡,Huǒyàn Xuánwō / Fóyihm Syùhnwō
thunder-shock,Thunder Shock,でんきショック,でんきショック,Denki Shokku,Éclair,Donnerschock,Impactrueno,Impactrueno,Tuonoshock,전기쇼크,Jeongi Shock,電擊,电击,Diànjí / Dihngīk
thunderbolt,Thunderbolt,１０まんボルト,１０まんボルト,Jūman Boruto,Tonnerre,Donnerblitz,Rayo,Atactrueno,Fulmine,10만볼트,Sipman Volt,十萬伏特,十万伏特,Shíwàn Fútè / Sahpmaahn Fuhkdahk
thunder-wave,Thunder Wave,でんじは,でんじは,Denjiha,Cage Éclair,Donnerwelle,Onda Trueno,Onda Trueno,Tuononda,전기자석파,Jeongi Jaseokpa,電磁波,电磁波,Diàncíbō / Dihnchìhbō
thunder,Thunder,かみなり,かみなり,Kaminari,Fatal-Foudre,Donner,Trueno,Trueno,Tuono,번개,Beongae,打雷,打雷,Dǎléi / Dálèuih
rock-throw,Rock Throw,いわおとし,いわおとし,Iwa Otoshi,Jet-Pierres,Steinwurf,Lanzarrocas,Lanzarrocas,Sassata,돌떨구기,Dol Tteolgugi,落石,落石,Luòshí / Lohksehk
earthquake,Earthquake,じしん,じしん,Jishin,Séisme,Erdbeben,Terremoto,Terremoto,Terremoto,지진,Jijin,地震,地震,Dìzhèn / Deihjan
fissure,Fissure,じわれ,じわれ,Jiware,Abîme,Geofissur,Fisura,Fisura,Abisso,땅가르기,Ttang Gareugi,地裂,地裂,Dìliè / Deihliht
dig,Dig,あなをほる,あなをほる,Ana o Horu,Tunnel,Schaufler,Excavar,Excavar,Fossa,구멍파기,Gumeong Pagi,挖洞,挖洞,Wā Dòng / Waat Duhng
toxic,Toxic,どくどく,どくどく,Dokudoku,Toxik,Toxin,Tóxico,Tóxico,Tossina,맹독,Maengdok,劇毒,剧毒,Jùdú / Kehkduhk
confusion,Confusion,ねんりき,ねんりき,Nenriki,Choc Mental,Konfusion,Confusión,Confusión,Confusione,염동력,Yeomdongryeok,念力,念力,Niànlì / Nihmlihk
psychic,Psychic,サイコキネシス,サイコキネシス,Saikokineshisu,Psyko,Psychokinese,Psíquico,Fuerza Psíquica,Psichico,사이코키네시스,Psychokinesis,精神強念,精神强念,Jīngshén Qiángniàn / Jīngsàhn Kèuhngnihm
hypnosis,Hypnosis,さいみんじゅつ,さいみんじゅつ,Saimin Jutsu,Hypnose,Hypnose,Hipnosis,Hipnosis,Ipnosi,최면술,Choemyeon Sul,催眠術,催眠术,Cuīmián Shù / Chēuimìhn Seuht
meditate,Meditate,ヨガのポーズ,ヨガのポーズ,Yoga no Pōzu,Yoga,Meditation,Meditación,Meditación,Meditazione,요가포즈,Yoga Pose,瑜伽姿勢,瑜伽姿势,Yújiā Zīshì / Yùhgā Jīsai
agility,Agility,こうそくいどう,こうそくいどう,Kōsoku Idō,Hâte,Agilität,Agilidad,Agilidad,Agilità,고속이동,Gosok Idong,高速移動,高速移动,Gāosù Yídòng / Gōuchūk Yìhduhng
quick-attack,Quick Attack,でんこうせっか,でんこうせっか,Denkō Sekka,Vive-Attaque,Ruckzuckhieb,Ataque Rápido,Ataque Rápido,Attacco Rapido,전광석화,Jeongwangseokwa,電光一閃,电光一闪,Diànguāng Yīshǎn / Dihngwōng Yātsím
rage,Rage,いかり,いかり,Ikari,Frénésie,Raserei,Furia,Furia,Ira,분노,Bunno,憤怒,愤怒,Fènnù / Fáhnnouh
teleport,Teleport,テレポート,テレポート,Terepōto,Téléport,Teleport,Teletransporte,Teletransporte,Teletrasporto,순간이동,Sungan Idong,瞬間移動,瞬间移动,Shùnjiān Yídòng / Seungāan Yìhduhng
night-shade,Night Shade,ナイトヘッド,ナイトヘッド,Naito Heddo,Ombre Nocturne,Nachtnebel,Tinieblas,Tinieblas,Ombra Notturna,나이트헤드,Night Head,黑夜魔影,黑夜魔影,Hēiyè Móyǐng / Hākyeh Mōyíng
mimic,Mimic,ものまね,ものまね,Monomane,Copie,Mimikry,Mimético,Mímica,Mimica,흉내내기,Hyungnaenaegi,模仿,模仿,Mófǎng / Mòuhfóng
screech,Screech,いやなおと,いやなおと,Iyanaoto,Grincement,Kreideschrei,Chirrido,Chillido,Stridio,싫은소리,Salh'eun Sori,刺耳聲,刺耳声,Cì'ěr Shēng / Chiyíh Sīng
double-team,Double Team,かげぶんしん,かげぶんしん,Kage Bunshin,Reflet,Doppelteam,Doble Equipo,Doble Equipo,Doppioteam,그림자분신,Geurimja Bunsin,影子分身,影子分身,Yǐngzi Fēnshēn / Yíngjí Fānsān
recover,Recover,じこさいせい,じこさいせい,Jikosaisei,Soin,Genesung,Recuperación,Recuperación,Ripresa,HP회복,HP Hoebok,自我再生,自我再生,Zìwǒ Zàishēng / Jihngóh Joisāng
harden,Harden,かたくなる,かたくなる,Katakunaru,Armure,Härtner,Fortaleza,Fortaleza,Rafforzatore,단단해지기,Dandanhaejigi,變硬,变硬,Biànyìng / Binngaahng
minimize,Minimize,ちいさくなる,ちいさくなる,Chīsakunaru,Lilliput,Komprimator,Reducción,Reducción,Minimizzato,작아지기,Jak'ajigi,變小,变小,Biànxiǎo / Binsíu
smokescreen,Smokescreen,えんまく,えんまく,Enmaku,Brouillard,Rauchwolke,Pantalla de Humo,Pantalla de Humo,Muro di Fumo,연막,Yeonmak,煙幕,烟幕,Yānmù / Yīnmohk
confuse-ray,Confuse Ray,あやしいひかり,あやしいひかり,Ayashī Hikari,Onde Folie,Konfusstrahl,Rayo Confuso,Rayo de Confusión,Stordiraggio,이상한빛,Isanghan Bit,奇異之光,奇异之光,Qíyì-zhī Guāng / Kèihyih-jī Gwōng
withdraw,Withdraw,からにこもる,からにこもる,Kara ni Komoru,Repli,Panzerschutz,Refugio,Refugio,Ritirata,껍질에숨기,Kkeobjil-e Sumgi,縮入殼中,缩入壳中,Suōrù Ké Zhōng / Sūkyahp Hok Jūng
defense-curl,Defense Curl,まるくなる,まるくなる,Marukunaru,Boul’Armure,Einigler,Rizo Defensa,Hacerse Bolita,Ricciolscudo,웅크리기,Ungkeurigi,變圓,变圆,Biànyuán / Binyùhn
barrier,Barrier,バリアー,バリアー,Bariā,Bouclier,Barriere,Barrera,Barrera,Barriera,배리어,Barrier,屏障,屏障,Píngzhàng / Pìhngjeung
light-screen,Light Screen,ひかりのかべ,ひかりのかべ,Hikari no Kabe,Mur Lumière,Lichtschild,Pantalla de Luz,Pantalla de Luz,Schermoluce,빛의장막,Bit-yi Jangmak,光牆,光墙,Guāngqiáng / Gwōngchèuhng
haze,Haze,くろいきり,くろいきり,Kuroi Kiri,Buée Noire,Dunkelnebel,Niebla,Niebla,Nube,흑안개,Heuk Angae,黑霧,黑雾,Hēiwù / Hākmouh
reflect,Reflect,リフレクター,リフレクター,Rifurekutā,Protection,Reflektor,Reflejo,Reflejo,Riflesso,리플렉터,Reflector,反射壁,反射壁,Fǎnshè Bì / Fáanseh Bīk
focus-energy,Focus Energy,きあいだめ,きあいだめ,Kiai Dame,Puissance,Energiefokus,Foco Energía,Centrar Energía,Focalenergia,기충전,Gichungjeon,聚氣,聚气,Jùqì / Jeuihhei
bide,Bide,がまん,がまん,Gaman,Patience,Geduld,Venganza,Venganza,Pazienza,참기,Chamgi,忍耐,忍耐,Rěnnài / Yánnoih
metronome,Metronome,ゆびをふる,ゆびをふる,Yubi o Furu,Métronome,Metronom,Metrónomo,Metrónomo,Metronomo,손가락흔들기,Songarak Heundeulgi,揮指,挥指,Huīzhǐ / Fāijí
mirror-move,Mirror Move,オウムがえし,オウムがえし,Ōmu Gaeshi,Mimique,Spiegeltrick,Espejo,Espejo,Speculmossa,따라하기,Ttarahagi,鸚鵡學舌,鹦鹉学舌,Yīngwǔxuéshé / Yīngmóuhhohksit
self-destruct,Self-Destruct,じばく,じばく,Jibaku,Destruction,Finale,Autodestrucción,Autodestrucción,Autodistruzione,자폭,Japok,自爆,自爆,Zìbào / Jihbaau
egg-bomb,Egg Bomb,タマゴばくだん,タマゴばくだん,Tamago Bakudan,Bombe Œuf,Eierbombe,Bomba Huevo,Bomba Huevo,Uovobomba,알폭탄,Al Poktan,炸蛋,炸蛋,Zhà Dàn / Ja Dáan
lick,Lick,したでなめる,したでなめる,Shita de Nameru,Léchouille,Schlecker,Lengüetazo,Lengüetazo,Leccata,핥기,Hatgi,舌舔,舌舔,Shétiǎn / Sittím
smog,Smog,スモッグ,スモッグ,Sumoggu,Purédpois,Smog,Polución,Humo,Smog,스모그,Smog,濁霧,浊雾,Zhuówù / Juhkmouh
sludge,Sludge,ヘドロこうげき,ヘドロこうげき,Hedoro Kōgeki,Détritus,Schlammbad,Residuos,Residuos,Fango,오물공격,Omul Gonggyeok,污泥攻擊,污泥攻击,Wūní Gōngjí / Wūnàih Gūnggīk
