ability,name_en,name_ja,name_ja_hrkt,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_zh_hant,name_zh_hans,name_cs,name_pt_br
flash-fire,Flash Fire,もらいび,もらいび,Torche,Feuerfänger,Absorbe Fuego,Absorbefuego,Fuocardore,타오르는불꽃,引火,引火,,
shield-dust,Shield Dust,りんぷん,りんぷん,Écran Poudre,Puderabwehr,Polvo Escudo,Polvo Escudo,Polvoscudo,인분,鱗粉,鳞粉,,
own-tempo,Own Tempo,マイペース,マイペース,Tempo Perso,Tempomacher,Ritmo Propio,Ritmo Propio,Mente Locale,마이페이스,我行我素,我行我素,,
suction-cups,Suction Cups,きゅうばん,きゅうばん,Ventouse,Saugnapf,Ventosas,Ventosas,Ventose,흡반,吸盤,吸盘,,
intimidate,Intimidate,いかく,いかく,Intimidation,Bedroher,Intimidación,Intimidación,Prepotenza,위협,威嚇,威吓,,
shadow-tag,Shadow Tag,かげふみ,かげふみ,Marque Ombre,Wegsperre,Sombra Trampa,Sombra Trampa,Pedinombra,그림자밟기,踩影,踩影,,
rough-skin,Rough Skin,さめはだ,さめはだ,Peau Dure,Rauhaut,Piel Tosca,Piel Tosca,Cartavetro,까칠한피부,粗糙皮膚,粗糙皮肤,,
wonder-guard,Wonder Guard,ふしぎなまもり,ふしぎなまもり,Garde Mystik,Wunderwache,Superguarda,Superguarda,Magidifesa,불가사의부적,神奇守護,神奇守护,,
levitate,Levitate,ふゆう,ふゆう,Lévitation,Schwebe,Levitación,Levitación,Levitazione,부유,飄浮,飘浮,,
effect-spore,Effect Spore,ほうし,ほうし,Pose Spore,Sporenwirt,Efecto Espora,Efecto Espora,Spargispora,포자,孢子,孢子,,
synchronize,Synchronize,シンクロ,シンクロ,Synchro,Synchro,Sincronía,Sincronía,Sincronismo,싱크로,同步,同步,,
clear-body,Clear Body,クリアボディ,クリアボディ,Corps Sain,Neutraltorso,Cuerpo Puro,Cuerpo Puro,Corpochiaro,클리어바디,恆淨之軀,恒净之躯,,
natural-cure,Natural Cure,しぜんかいふく,しぜんかいふく,Médic Nature,Innere Kraft,Cura Natural,Curación Natural,Alternacura,자연회복,自然回復,自然回复,,
lightning-rod,Lightning Rod,ひらいしん,ひらいしん,Paratonnerre,Blitzfänger,Pararrayos,Pararrayos,Parafulmine,피뢰침,避雷針,避雷针,,
serene-grace,Serene Grace,てんのめぐみ,てんのめぐみ,Sérénité,Edelmut,Dicha,Dicha,Leggiadro,하늘의은총,天恩,天恩,,
swift-swim,Swift Swim,すいすい,すいすい,Glissade,Wassertempo,Nado Rápido,Nado Rápido,Nuotovelox,쓱쓱,悠游自如,悠游自如,,
chlorophyll,Chlorophyll,ようりょくそ,ようりょくそ,Chlorophylle,Chlorophyll,Clorofila,Clorofila,Clorofilla,엽록소,葉綠素,叶绿素,,
illuminate,Illuminate,はっこう,はっこう,Lumiattirance,Erleuchtung,Iluminación,Iluminación,Risplendi,발광,發光,发光,,
trace,Trace,トレース,トレース,Calque,Erfassen,Calco,Calco,Traccia,트레이스,複製,复制,,
huge-power,Huge Power,ちからもち,ちからもち,Coloforce,Kraftkoloss,Potencia,Potencia,Macroforza,천하장사,大力士,大力士,,
poison-point,Poison Point,どくのトゲ,どくのトゲ,Point Poison,Giftdorn,Punto Tóxico,Punto Tóxico,Velenopunto,독가시,毒刺,毒刺,,
inner-focus,Inner Focus,せいしんりょく,せいしんりょく,Attention,Konzentrator,Fuerza Mental,Fuerza Mental,Forza Interiore,정신력,精神力,精神力,,
magma-armor,Magma Armor,マグマのよろい,マグマのよろい,Armumagma,Magmapanzer,Escudo Magma,Escudo de Magma,Magmascudo,마그마의무장,熔岩鎧甲,熔岩铠甲,,
water-veil,Water Veil,みずのベール,みずのベール,Ignifu-Voile,Aquahülle,Velo Agua,Velo Agua,Idrovelo,수의베일,水幕,水幕,,
magnet-pull,Magnet Pull,じりょく,じりょく,Magnépiège,Magnetfalle,Imán,Imán,Magnetismo,자력,磁力,磁力,,
soundproof,Soundproof,ぼうおん,ぼうおん,Anti-Bruit,Lärmschutz,Insonorizar,Insonorización,Antisuono,방음,隔音,隔音,,
rain-dish,Rain Dish,あめうけざら,あめうけざら,Cuvette,Regengenuss,Cura Lluvia,Curación Pluvial,Copripioggia,젖은접시,雨盤,雨盘,,
sand-stream,Sand Stream,すなおこし,すなおこし,Sable Volant,Sandsturm,Chorro Arena,Chorro de Arena,Sabbiafiume,모래날림,揚沙,扬沙,,
pressure,Pressure,プレッシャー,プレッシャー,Pression,Erzwinger,Presión,Presión,Pressione,프레셔,壓迫感,压迫感,,
thick-fat,Thick Fat,あついしぼう,あついしぼう,Isograisse,Speckschicht,Sebo,Sebo,Grassospesso,두꺼운지방,厚脂肪,厚脂肪,,
early-bird,Early Bird,はやおき,はやおき,Matinal,Frühwecker,Madrugar,Madrugador,Sveglialampo,일찍기상,早起,早起,,
flame-body,Flame Body,ほのおのからだ,ほのおのからだ,Corps Ardent,Flammkörper,Cuerpo Llama,Cuerpo de Fuego,Corpodifuoco,불꽃몸,火焰之軀,火焰之躯,,
run-away,Run Away,にげあし,にげあし,Fuite,Angsthase,Fuga,Fuga,Fugafacile,도주,逃跑,逃跑,,
keen-eye,Keen Eye,するどいめ,するどいめ,Regard Vif,Adlerauge,Vista Lince,Perspicacia,Sguardofermo,날카로운눈,銳利目光,锐利目光,,
hyper-cutter,Hyper Cutter,かいりきバサミ,かいりきバサミ,Hyper Cutter,Scherenmacht,Corte Fuerte,Corte Fuerte,Ipertaglio,괴력집게,怪力鉗,怪力钳,,
pickup,Pickup,ものひろい,ものひろい,Ramassage,Mitnahme,Recogida,Recolección,Raccolta,픽업,撿拾,捡拾,,
truant,Truant,なまけ,なまけ,Absentéisme,Schnarchnase,Ausente,Ausente,Pigrone,게으름,懶惰,懒惰,,
hustle,Hustle,はりきり,はりきり,Agitation,Übereifer,Entusiasmo,Entusiasmo,Tuttafretta,의욕,活力,活力,,
cute-charm,Cute Charm,メロメロボディ,メロメロボディ,Joli Sourire,Charmebolzen,Gran Encanto,Gran Encanto,Incantevole,헤롱헤롱바디,迷人之軀,迷人之躯,,
plus,Plus,プラス,プラス,Plus,Plus,Más,Más,Più,플러스,正電,正电,,
minus,Minus,マイナス,マイナス,Moins,Minus,Menos,Menos,Meno,마이너스,負電,负电,,
forecast,Forecast,てんきや,てんきや,Météo,Prognose,Predicción,Predicción,Previsioni,기분파,陰晴不定,阴晴不定,,
sticky-hold,Sticky Hold,ねんちゃく,ねんちゃく,Glu,Klebekörper,Viscosidad,Viscosidad,Antifurto,점착,黏著,黏着,,
shed-skin,Shed Skin,だっぴ,だっぴ,Mue,Expidermis,Mudar,Mudar,Muta,탈피,蛻皮,蜕皮,,
guts,Guts,こんじょう,こんじょう,Cran,Adrenalin,Agallas,Agallas,Dentistretti,근성,毅力,毅力,,
marvel-scale,Marvel Scale,ふしぎなうろこ,ふしぎなうろこ,Écaille Spéciale,Notschutz,Escama Especial,Escama Especial,Pelledura,이상한비늘,神奇鱗片,神奇鳞片,,
liquid-ooze,Liquid Ooze,ヘドロえき,ヘドロえき,Suintement,Kloakensoße,Lodo Líquido,Lodo Líquido,Melma,해감액,污泥漿,污泥浆,,
overgrow,Overgrow,しんりょく,しんりょく,Engrais,Notdünger,Espesura,Espesura,Erbaiuto,심록,茂盛,茂盛,,
blaze,Blaze,もうか,もうか,Brasier,Großbrand,Mar Llamas,Mar de Llamas,Aiutofuoco,맹화,猛火,猛火,,
torrent,Torrent,げきりゅう,げきりゅう,Torrent,Sturzbach,Torrente,Torrente,Acquaiuto,급류,激流,激流,,
swarm,Swarm,むしのしらせ,むしのしらせ,Essaim,Hexaplaga,Enjambre,Enjambre,Aiutinsetto,벌레의알림,蟲之預感,虫之预感,,
rock-head,Rock Head,いしあたま,いしあたま,Tête de Roc,Steinhaupt,Cabeza Roca,Cabeza Roca,Testadura,돌머리,堅硬腦袋,坚硬脑袋,,
drought,Drought,ひでり,ひでり,Sécheresse,Dürre,Sequía,Sequía,Siccità,가뭄,日照,日照,,
arena-trap,Arena Trap,ありじごく,ありじごく,Piège Sable,Ausweglos,Trampa Arena,Trampa Arena,Trappoarena,개미지옥,沙穴,沙穴,,
vital-spirit,Vital Spirit,やるき,やるき,Esprit Vital,Munterkeit,Espíritu Vital,Espíritu Vital,Spiritovivo,의기양양,幹勁,干劲,,
white-smoke,White Smoke,しろいけむり,しろいけむり,Écran Fumée,Pulverrauch,Humo Blanco,Humo Blanco,Fumochiaro,하얀연기,白色煙霧,白色烟雾,,
pure-power,Pure Power,ヨガパワー,ヨガパワー,Force Pure,Mentalkraft,Energía Pura,Energía Pura,Forzapura,순수한힘,瑜伽之力,瑜伽之力,,
shell-armor,Shell Armor,シェルアーマー,シェルアーマー,Coque Armure,Panzerhaut,Caparazón,Caparazón,Guscioscudo,조가비갑옷,硬殼盔甲,硬壳盔甲,,
air-lock,Air Lock,エアロック,エアロック,Air Lock,Klimaschutz,Bucle Aire,Bucle Aire,Riparo,에어록,氣閘,气闸,,
tangled-feet,Tangled Feet,ちどりあし,ちどりあし,Pieds Confus,Fußangel,Tumbos,Tambaleo,Intricopiedi,갈지자걸음,蹣跚,蹒跚,,
motor-drive,Motor Drive,でんきエンジン,でんきエンジン,Motorisé,Starthilfe,Electromotor,Electromotor,Elettrorapid,전기엔진,電氣引擎,电气引擎,,
rivalry,Rivalry,とうそうしん,とうそうしん,Rivalité,Rivalität,Rivalidad,Rivalidad,Antagonismo,투쟁심,鬥爭心,斗争心,,
steadfast,Steadfast,ふくつのこころ,ふくつのこころ,Impassible,Felsenfest,Impasible,Impasible,Cuordeciso,불굴의마음,不屈之心,不屈之心,,
snow-cloak,Snow Cloak,ゆきがくれ,ゆきがくれ,Rideau Neige,Schneemantel,Manto Níveo,Manto Níveo,Mantelneve,눈숨기,雪隱,雪隐,,
gluttony,Gluttony,くいしんぼう,くいしんぼう,Gloutonnerie,Völlerei,Gula,Gula,Voracità,먹보,貪吃鬼,贪吃鬼,,
anger-point,Anger Point,いかりのつぼ,いかりのつぼ,Colérique,Kurzschluss,Irascible,Irascible,Grancollera,분노의경혈,憤怒穴位,愤怒穴位,,
unburden,Unburden,かるわざ,かるわざ,Délestage,Entlastung,Liviano,Liviano,Agiltecnica,곡예,輕裝,轻装,,
heatproof,Heatproof,たいねつ,たいねつ,Ignifugé,Hitzeschutz,Ignífugo,Ignífugo,Antifuoco,내열,耐熱,耐热,,
simple,Simple,たんじゅん,たんじゅん,Simple,Wankelmut,Simple,Simple,Disinvoltura,단순,單純,单纯,,
dry-skin,Dry Skin,かんそうはだ,かんそうはだ,Peau Sèche,Trockenheit,Piel Seca,Piel Seca,Pellearsa,건조피부,乾燥皮膚,干燥皮肤,,
download,Download,ダウンロード,ダウンロード,Télécharge,Download,Descarga,Descarga,Download,다운로드,下載,下载,,
iron-fist,Iron Fist,てつのこぶし,てつのこぶし,Poing de Fer,Eisenfaust,Puño Férreo,Puño Férreo,Ferropugno,철주먹,鐵拳,铁拳,,
poison-heal,Poison Heal,ポイズンヒール,ポイズンヒール,Soin Poison,Aufheber,Antídoto,Antídoto,Velencura,포이즌힐,毒療,毒疗,,
adaptability,Adaptability,てきおうりょく,てきおうりょく,Adaptabilité,Anpassung,Adaptable,Adaptable,Adattabilità,적응력,適應力,适应力,,
skill-link,Skill Link,スキルリンク,スキルリンク,Multi-Coups,Wertelink,Encadenado,Encadenado,Abillegame,스킬링크,連續攻擊,连续攻击,,
hydration,Hydration,うるおいボディ,うるおいボディ,Hydratation,Hydration,Hidratación,Hidratación,Idratazione,촉촉바디,濕潤之軀,湿润之躯,,
solar-power,Solar Power,サンパワー,サンパワー,Force Soleil,Solarkraft,Poder Solar,Poder Solar,Solarpotere,선파워,太陽之力,太阳之力,,
quick-feet,Quick Feet,はやあし,はやあし,Pied Véloce,Rasanz,Pies Rápidos,Pies Rápidos,Piedisvelti,속보,飛毛腿,飞毛腿,,
normalize,Normalize,ノーマルスキン,ノーマルスキン,Normalise,Regulierung,Normalidad,Normalidad,Normalità,노말스킨,一般皮膚,一般皮肤,,
sniper,Sniper,スナイパー,スナイパー,Sniper,Superschütze,Francotirador,Puntería,Cecchino,스나이퍼,狙擊手,狙击手,,
magic-guard,Magic Guard,マジックガード,マジックガード,Garde Magik,Magieschild,Muro Mágico,Muro Mágico,Magicscudo,매직가드,魔法防守,魔法防守,,
no-guard,No Guard,ノーガード,ノーガード,Annule Garde,Schildlos,Indefenso,Indefenso,Nullodifesa,노가드,無防守,无防守,,
stall,Stall,あとだし,あとだし,Frein,Zeitspiel,Rezagado,Rezagado,Rallentatore,시간벌기,慢出,慢出,,
technician,Technician,テクニシャン,テクニシャン,Technicien,Techniker,Experto,Experto,Tecnico,테크니션,技術高手,技术高手,,
leaf-guard,Leaf Guard,リーフガード,リーフガード,Feuille Garde,Floraschild,Defensa Hoja,Defensa Hoja,Fogliamanto,리프가드,葉子防守,叶子防守,,
klutz,Klutz,ぶきよう,ぶきよう,Maladresse,Tollpatsch,Zoquete,Torpeza,Impaccio,서투름,笨拙,笨拙,,
mold-breaker,Mold Breaker,かたやぶり,かたやぶり,Brise Moule,Überbrückung,Rompemoldes,Rompemoldes,Rompiforma,틀깨기,破格,破格,,
super-luck,Super Luck,きょううん,きょううん,Chanceux,Glückspilz,Afortunado,Supersuerte,Supersorte,대운,超幸運,超幸运,,
aftermath,Aftermath,ゆうばく,ゆうばく,Boom Final,Finalschlag,Detonación,Secuela,Scoppio,유폭,引爆,引爆,,
anticipation,Anticipation,きけんよち,きけんよち,Anticipation,Vorahnung,Anticipación,Anticipación,Presagio,위험예지,危險預知,危险预知,,
forewarn,Forewarn,よちむ,よちむ,Prédiction,Vorwarnung,Alerta,Alerta,Premonizione,예지몽,預知夢,预知梦,,
unaware,Unaware,てんねん,てんねん,Inconscient,Unkenntnis,Ignorante,Ignorancia,Imprudenza,천진,純樸,纯朴,,
tinted-lens,Tinted Lens,いろめがね,いろめがね,Lentiteintée,Aufwertung,Cromolente,Cromolente,Lentifumé,색안경,有色眼鏡,有色眼镜,,
filter,Filter,フィルター,フィルター,Filtre,Filter,Filtro,Filtro,Filtro,필터,過濾,过滤,,
slow-start,Slow Start,スロースタート,スロースタート,Début Calme,Saumselig,Inicio Lento,Inicio Lento,Lentoinizio,슬로스타트,慢啟動,慢启动,,
scrappy,Scrappy,きもったま,きもったま,Querelleur,Rauflust,Intrépido,Intrépido,Nervisaldi,배짱,膽量,胆量,,
storm-drain,Storm Drain,よびみず,よびみず,Lavabo,Sturmsog,Colector,Colector,Acquascolo,마중물,引水,引水,,
ice-body,Ice Body,アイスボディ,アイスボディ,Corps Gel,Eishaut,Gélido,Cuerpo de Hielo,Corpogelo,아이스바디,冰凍之軀,冰冻之躯,,
solid-rock,Solid Rock,ハードロック,ハードロック,Solide Roc,Felskern,Roca Sólida,Roca Sólida,Solidroccia,하드록,堅硬岩石,坚硬岩石,,
snow-warning,Snow Warning,ゆきふらし,ゆきふらし,Alerte Neige,Hagelalarm,Nevada,Nevada,Scendineve,눈퍼뜨리기,降雪,降雪,,
honey-gather,Honey Gather,みつあつめ,みつあつめ,Cherche Miel,Honigmaul,Recogemiel,Recogemiel,Mielincetta,꿀모으기,採蜜,采蜜,,
frisk,Frisk,おみとおし,おみとおし,Fouille,Schnüffler,Cacheo,Inspección,Indagine,통찰,察覺,察觉,,
reckless,Reckless,すてみ,すてみ,Téméraire,Achtlos,Audaz,Audaz,Temerarietà,이판사판,捨身,舍身,,
multitype,Multitype,マルチタイプ,マルチタイプ,Multi-Type,Variabilität,Multitipo,Multitipo,Multitipo,멀티타입,多屬性,多属性,,
flower-gift,Flower Gift,フラワーギフト,フラワーギフト,Don Floral,Pflanzengabe,Don Floral,Don Floral,Regalfiore,플라워기프트,花之禮,花之礼,,
bad-dreams,Bad Dreams,ナイトメア,ナイトメア,Mauvais Rêve,Alptraum,Mal Sueño,Mal Sueño,Sogniamari,나이트메어,夢魘,梦魇,,
pickpocket,Pickpocket,わるいてぐせ,わるいてぐせ,Pickpocket,Langfinger,Hurto,Hurto,Arraffalesto,나쁜손버릇,順手牽羊,顺手牵羊,,
sheer-force,Sheer Force,ちからずく,ちからずく,Sans Limite,Rohe Gewalt,Potencia Bruta,Potencia Bruta,Forzabruta,우격다짐,強行,强行,,
contrary,Contrary,あまのじゃく,あまのじゃく,Contestation,Umkehrung,Respondón,Respondón,Inversione,심술꾸러기,唱反調,唱反调,,
unnerve,Unnerve,きんちょうかん,きんちょうかん,Tension,Anspannung,Nerviosismo,Nerviosismo,Agitazione,긴장감,緊張感,紧张感,,
defiant,Defiant,まけんき,まけんき,Acharné,Siegeswille,Competitivo,Competitivo,Agonismo,오기,不服輸,不服输,,
defeatist,Defeatist,よわき,よわき,Défaitiste,Schwächling,Flaqueza,Flaqueza,Sconforto,무기력,軟弱,软弱,,
cursed-body,Cursed Body,のろわれボディ,のろわれボディ,Corps Maudit,Tastfluch,Cuerpo Maldito,Cuerpo Maldito,Corpofunesto,저주받은바디,詛咒之軀,诅咒之躯,,
healer,Healer,いやしのこころ,いやしのこころ,Cœur Soin,Heilherz,Alma Cura,Alma Sanadora,Curacuore,치유의마음,治癒之心,治愈之心,,
friend-guard,Friend Guard,フレンドガード,フレンドガード,Garde-Ami,Freundeshut,Compiescolta,Compiescolta,Amicoscudo,프렌드가드,友情防守,友情防守,,
weak-armor,Weak Armor,くだけるよろい,くだけるよろい,Armurouillée,Bruchrüstung,Armadura Frágil,Armadura Frágil,Sottilguscio,깨어진갑옷,碎裂鎧甲,碎裂铠甲,,
heavy-metal,Heavy Metal,ヘヴィメタル,ヘヴィメタル,Heavy Metal,Schwermetall,Metal Pesado,Metal Pesado,Metalpesante,헤비메탈,重金屬,重金属,,
light-metal,Light Metal,ライトメタル,ライトメタル,Light Metal,Leichtmetall,Metal Liviano,Metal Liviano,Metalleggero,라이트메탈,輕金屬,轻金属,,
multiscale,Multiscale,マルチスケイル,マルチスケイル,Multiécaille,Multischuppe,Multiescamas,Multiescamas,Multisquame,멀티스케일,多重鱗片,多重鳞片,,
toxic-boost,Toxic Boost,どくぼうそう,どくぼうそう,Rage Poison,Giftwahn,Ímpetu Tóxico,Ímpetu Tóxico,Velenimpeto,독폭주,中毒激升,中毒激升,,
flare-boost,Flare Boost,ねつぼうそう,ねつぼうそう,Rage Brûlure,Hitzewahn,Ímpetu Ardiente,Ímpetu Ardiente,Bruciaimpeto,열폭주,受熱激升,受热激升,,
harvest,Harvest,しゅうかく,しゅうかく,Récolte,Reiche Ernte,Cosecha,Cosecha,Coglibacche,수확,收穫,收获,,
telepathy,Telepathy,テレパシー,テレパシー,Télépathe,Telepathie,Telepatía,Telepatía,Telepatia,텔레파시,心靈感應,心灵感应,,
moody,Moody,ムラっけ,ムラっけ,Lunatique,Gefühlswippe,Veleta,Temperamental,Altalena,변덕쟁이,心情不定,心情不定,,
overcoat,Overcoat,ぼうじん,ぼうじん,Envelocape,Partikelschutz,Funda,Funda,Copricapo,방진,防塵,防尘,,
poison-touch,Poison Touch,どくしゅ,どくしゅ,Toxitouche,Giftgriff,Toque Tóxico,Contacto Tóxico,Velentocco,독수,毒手,毒手,,
regenerator,Regenerator,さいせいりょく,さいせいりょく,Régé-Force,Belebekraft,Regeneración,Regeneración,Rigenergia,재생력,再生力,再生力,,
big-pecks,Big Pecks,はとむね,はとむね,Cœur de Coq,Brustbieter,Sacapecho,Sacapecho,Pettinfuori,부풀린가슴,健壯胸肌,健壮胸肌,,
sand-rush,Sand Rush,すなかき,すなかき,Baigne Sable,Sandscharrer,Ímpetu Arena,Ímpetu Arena,Remasabbia,모래헤치기,撥沙,拨沙,,
wonder-skin,Wonder Skin,ミラクルスキン,ミラクルスキン,Peau Miracle,Wunderhaut,Piel Milagro,Piel Milagro,Splendicute,미라클스킨,奇跡皮膚,奇迹皮肤,,
analytic,Analytic,アナライズ,アナライズ,Analyste,Analyse,Cálculo Final,Cálculo Final,Ponderazione,애널라이즈,分析,分析,,
illusion,Illusion,イリュージョン,イリュージョン,Illusion,Trugbild,Ilusión,Ilusión,Illusione,일루전,幻覺,幻觉,,
imposter,Imposter,かわりもの,かわりもの,Imposteur,Doppelgänger,Impostor,Impostor,Sosia,괴짜,變身者,变身者,,
infiltrator,Infiltrator,すりぬけ,すりぬけ,Infiltration,Schwebedurch,Allanamiento,Allanamiento,Intrapasso,틈새포착,穿透,穿透,,
mummy,Mummy,ミイラ,ミイラ,Momie,Mumie,Momia,Momia,Mummia,미라,木乃伊,木乃伊,,
moxie,Moxie,じしんかじょう,じしんかじょう,Impudence,Hochmut,Autoestima,Autoestima,Arroganza,자기과신,自信過度,自信过度,,
justified,Justified,せいぎのこころ,せいぎのこころ,Cœur Noble,Redlichkeit,Justiciero,Justiciero,Giustizia,정의의마음,正義之心,正义之心,,
rattled,Rattled,びびり,びびり,Phobique,Hasenfuß,Cobardía,Cobardía,Paura,주눅,膽怯,胆怯,,
magic-bounce,Magic Bounce,マジックミラー,マジックミラー,Miroir Magik,Magiespiegel,Espejo Mágico,Espejo Mágico,Magispecchio,매직미러,魔法鏡,魔法镜,,
sap-sipper,Sap Sipper,そうしょく,そうしょく,Herbivore,Vegetarier,Herbívoro,Herbívoro,Mangiaerba,초식,食草,食草,,
prankster,Prankster,いたずらごころ,いたずらごころ,Farceur,Strolch,Bromista,Timador,Burla,짓궂은마음,惡作劇之心,恶作剧之心,,
sand-force,Sand Force,すなのちから,すなのちから,Force Sable,Sandgewalt,Poder Arena,Poder Arenoso,Silicoforza,모래의힘,沙之力,沙之力,,
iron-barbs,Iron Barbs,てつのトゲ,てつのトゲ,Épine de Fer,Eisenstachel,Punta Acero,Punta Acero,Spineferrate,철가시,鐵刺,铁刺,,
zen-mode,Zen Mode,ダルマモード,ダルマモード,Mode Transe,Trance-Modus,Modo Daruma,Modo Daruma,Stato Zen,달마모드,達摩模式,达摩模式,,
victory-star,Victory Star,しょうりのほし,しょうりのほし,Victorieux,Triumphstern,Tinovictoria,Tinovictoria,Vittorstella,승리의별,勝利之星,胜利之星,,
turboblaze,Turboblaze,ターボブレイズ,ターボブレイズ,Turbo Brasier,Turbobrand,Turbollama,Turbollama,Piroturbina,터보블레이즈,渦輪火焰,涡轮火焰,,
teravolt,Teravolt,テラボルテージ,テラボルテージ,Téra-Voltage,Teravolt,Terravoltaje,Terravoltaje,Teravolt,테라볼티지,兆級電壓,兆级电压,,
aroma-veil,Aroma Veil,アロマベール,アロマベール,Aroma-Voile,Dufthülle,Velo Aroma,Velo Aromático,Aromavelo,아로마베일,芳香幕,芳香幕,,
flower-veil,Flower Veil,フラワーベール,フラワーベール,Flora-Voile,Blütenhülle,Velo Flor,Velo Florido,Fiorvelo,플라워베일,花幕,花幕,,
cheek-pouch,Cheek Pouch,ほおぶくろ,ほおぶくろ,Bajoues,Backentaschen,Carrillo,Mejillas,Guancegonfie,볼주머니,頰囊,颊囊,,
protean,Protean,へんげんじざい,へんげんじざい,Protéen,Wandlungskunst,Mutatipo,Mutatipo,Mutatipo,변환자재,變幻自如,变幻自如,,
fur-coat,Fur Coat,ファーコート,ファーコート,Toison Épaisse,Fellkleid,Pelaje Recio,Pelaje Recio,Foltopelo,퍼코트,毛皮大衣,毛皮大衣,,
magician,Magician,マジシャン,マジシャン,Magicien,Zauberer,Prestidigitador,Prestidigitador,Prestigiatore,매지션,魔術師,魔术师,,
bulletproof,Bulletproof,ぼうだん,ぼうだん,Pare-Balles,Kugelsicher,Antibalas,Antibalas,Antiproiettile,방탄,防彈,防弹,,
competitive,Competitive,かちき,かちき,Battant,Unbeugsamkeit,Tenacidad,Tenacidad,Tenacia,승기,好勝,好胜,,
strong-jaw,Strong Jaw,がんじょうあご,がんじょうあご,Prognathe,Titankiefer,Mandíbula Fuerte,Mandíbula Fuerte,Ferromascella,옹골찬턱,強壯之顎,强壮之颚,,
refrigerate,Refrigerate,フリーズスキン,フリーズスキン,Peau Gelée,Frostschicht,Piel Helada,Piel Helada,Pellegelo,프리즈스킨,冰凍皮膚,冰冻皮肤,,
sweet-veil,Sweet Veil,スイートベール,スイートベール,Gluco-Voile,Zuckerhülle,Velo Dulce,Velo Dulce,Dolcevelo,스위트베일,甜幕,甜幕,,
stance-change,Stance Change,バトルスイッチ,バトルスイッチ,Déclic Tactique,Taktikwechsel,Cambio Táctico,Cambio Táctico,Accendilotta,배틀스위치,戰鬥切換,战斗切换,,
gale-wings,Gale Wings,はやてのつばさ,はやてのつばさ,Ailes Bourrasque,Orkanschwingen,Alas Vendaval,Alas Vendaval,Aliraffica,질풍날개,疾風之翼,疾风之翼,,
mega-launcher,Mega Launcher,メガランチャー,メガランチャー,Méga Blaster,Megawumme,Megadisparador,Megalanzador,Megalancio,메가런처,超級發射器,超级发射器,,
grass-pelt,Grass Pelt,くさのけがわ,くさのけがわ,Toison Herbue,Pflanzenpelz,Manto Frondoso,Manto Frondoso,Peloderba,풀모피,草之毛皮,草之毛皮,,
symbiosis,Symbiosis,きょうせい,きょうせい,Symbiose,Nutznießer,Simbiosis,Simbiosis,Simbiosi,공생,共生,共生,,
