ability,version_group,language,flavor_text
stench,sword-shield,en,"By releasing stench when attacking, this Pokémon
may cause the target to flinch."
stench,sword-shield,ja,"臭い　においを　放つことによって
攻撃した　ときに　相手を
ひるませることが　ある。"
stench,sword-shield,zh-hans,"通过释放臭臭的气味，
在攻击的时候，
有时会使对手畏缩。"
stench,sword-shield,es-419,"Puede amedrentar al rival al atacarlo debido al mal olor
que emana."
stench,scarlet-violet,fr,Le Pokémon émet une odeur si nauséabonde qu'il peut effrayer sa cible en l'attaquant.
stench,scarlet-violet,en,"By releasing a stench when attacking, the Pokémon may cause the target to flinch."
drizzle,ruby-sapphire,en,Summons rain in battle.
drizzle,emerald,en,Summons rain in battle.
drizzle,firered-leafgreen,en,Summons rain in battle.
drizzle,diamond-pearl,en,"The Pokémon makes it rain
if it appears in battle."
drizzle,platinum,en,"The Pokémon makes it rain
if it appears in battle."
drizzle,heartgold-soulsilver,en,"The Pokémon makes it rain
if it appears in battle."
drizzle,black-white,fr,"Le Pokémon invoque la pluie
quand il entre au combat."
drizzle,black-white,en,"The Pokémon makes it rain
if it appears in battle."
drizzle,black-2-white-2,en,"The Pokémon makes it rain
if it appears in battle."
drizzle,x-y,ja-hrkt,"せんとうに　でると
あめを　ふらす。"
drizzle,x-y,ko,"배틀에 나가면
비를 내린다."
drizzle,x-y,fr,"Le Pokémon invoque la pluie
quand il entre au combat."
drizzle,x-y,de,Ruft im Kampf Regen herbei.
drizzle,x-y,es,"Hace que llueva cuando entra en
combate."
drizzle,x-y,it,"Quando scende in campo,
il Pokémon attira la pioggia."
drizzle,x-y,en,"The Pokémon makes it rain
when it enters a battle."
drizzle,x-y,ja,"戦闘に　でると
雨を　降らす。"
drizzle,x-y,es-419,"Hace que llueva cuando entra en
combate."
drizzle,omega-ruby-alpha-sapphire,ja-hrkt,"せんとうに　でると
あめを　ふらす。"
drizzle,omega-ruby-alpha-sapphire,ko,"배틀에 나가면
비를 내린다."
drizzle,omega-ruby-alpha-sapphire,fr,"Le Pokémon invoque la pluie
quand il entre au combat."
drizzle,omega-ruby-alpha-sapphire,de,Ruft im Kampf Regen herbei.
drizzle,omega-ruby-alpha-sapphire,es,"Hace que llueva cuando entra en
combate."
drizzle,omega-ruby-alpha-sapphire,it,"Quando scende in campo,
il Pokémon attira la pioggia."
drizzle,omega-ruby-alpha-sapphire,en,"The Pokémon makes it rain
when it enters a battle."
drizzle,omega-ruby-alpha-sapphire,ja,"戦闘に　でると
雨を　降らす。"
drizzle,omega-ruby-alpha-sapphire,es-419,"Hace que llueva cuando entra en
combate."
drizzle,sun-moon,ja-hrkt,"とうじょう　したときに
てんきを　あめに　する。"
drizzle,sun-moon,ko,"등장했을 때
날씨를 비로 만든다."
drizzle,sun-moon,zh-hant,"出場時，
會將天氣變為下雨。"
drizzle,sun-moon,fr,"Le Pokémon invoque la pluie quand il entre
au combat."
drizzle,sun-moon,de,Ruft bei Kampfantritt Regen herbei.
drizzle,sun-moon,es,Hace que llueva cuando entra en combate.
drizzle,sun-moon,it,"Quando il Pokémon entra in campo, attira la pioggia."
drizzle,sun-moon,en,The Pokémon makes it rain when it enters a battle.
drizzle,sun-moon,ja,"登場　したときに
天気を　雨に　する。"
drizzle,sun-moon,zh-hans,"出场时，
会将天气变为下雨。"
drizzle,sun-moon,es-419,Hace que llueva cuando entra en combate.
drizzle,ultra-sun-ultra-moon,ja-hrkt,"とうじょう　したときに
てんきを　あめに　する。"
drizzle,ultra-sun-ultra-moon,ko,"등장했을 때
날씨를 비로 만든다."
drizzle,ultra-sun-ultra-moon,zh-hant,"出場時，
會將天氣變為下雨。"
drizzle,ultra-sun-ultra-moon,fr,"Le Pokémon invoque la pluie quand il entre
au combat."
drizzle,ultra-sun-ultra-moon,de,Ruft bei Kampfantritt Regen herbei.
drizzle,ultra-sun-ultra-moon,es,Hace que llueva cuando entra en combate.
drizzle,ultra-sun-ultra-moon,it,"Quando il Pokémon entra in campo, attira la pioggia."
drizzle,ultra-sun-ultra-moon,en,The Pokémon makes it rain when it enters a battle.
drizzle,ultra-sun-ultra-moon,ja,"登場　したときに
天気を　雨に　する。"
drizzle,ultra-sun-ultra-moon,zh-hans,"出场时，
会将天气变为下雨。"
drizzle,ultra-sun-ultra-moon,es-419,Hace que llueva cuando entra en combate.
drizzle,lets-go-pikachu-lets-go-eevee,ja-hrkt,"とうじょう　したときに
てんきを　あめに　する。"
drizzle,lets-go-pikachu-lets-go-eevee,ko,"등장했을 때
날씨를 비로 만든다."
drizzle,lets-go-pikachu-lets-go-eevee,zh-hant,"出場時，
會將天氣變為下雨。"
drizzle,lets-go-pikachu-lets-go-eevee,fr,"Le Pokémon invoque la pluie quand il entre
au combat."
drizzle,lets-go-pikachu-lets-go-eevee,de,Ruft bei Kampfantritt Regen herbei.
drizzle,lets-go-pikachu-lets-go-eevee,es,Hace que llueva cuando entra en combate.
drizzle,lets-go-pikachu-lets-go-eevee,it,"Quando il Pokémon entra in campo, attira la pioggia."
drizzle,lets-go-pikachu-lets-go-eevee,en,The Pokémon makes it rain when it enters a battle.
drizzle,lets-go-pikachu-lets-go-eevee,ja,"登場　したときに
天気を　雨に　する。"
drizzle,lets-go-pikachu-lets-go-eevee,zh-hans,"出场时，
会将天气变为下雨。"
drizzle,lets-go-pikachu-lets-go-eevee,es-419,Hace que llueva cuando entra en combate.
drizzle,sword-shield,ja-hrkt,"とうじょう　したときに
てんきを　あめに　する。"
drizzle,sword-shield,ko,"등장했을 때
날씨를 비로 만든다."
drizzle,sword-shield,zh-hant,"出場時，
會將天氣變為下雨。"
drizzle,sword-shield,fr,Le Pokémon invoque la pluie quand il entre au combat.
drizzle,sword-shield,de,Ruft bei Kampfantritt Regen herbei.
drizzle,sword-shield,es,Hace que llueva al entrar en combate.
drizzle,sword-shield,it,"Quando il Pokémon entra in campo, attira la pioggia."
drizzle,sword-shield,en,The Pokémon makes it rain when it enters a battle.
drizzle,sword-shield,ja,"登場　したときに
天気を　雨に　する。"
drizzle,sword-shield,zh-hans,"出场时，
会将天气变为下雨。"
drizzle,sword-shield,es-419,Hace que llueva al entrar en combate.
drizzle,scarlet-violet,fr,Le Pokémon invoque la pluie quand il entre au combat.
drizzle,scarlet-violet,en,The Pokémon makes it rain when it enters a battle.
speed-boost,ruby-sapphire,fr,Améliore la VITESSE.
speed-boost,ruby-sapphire,en,Gradually boosts SPEED.
speed-boost,emerald,fr,Améliore la VITESSE.
speed-boost,emerald,en,Gradually boosts SPEED.
speed-boost,firered-leafgreen,fr,Améliore la VITESSE.
speed-boost,firered-leafgreen,en,Gradually boosts SPEED.
speed-boost,diamond-pearl,fr,La Vitesse du Pokémon augmente progressivement.
speed-boost,diamond-pearl,en,"The Pokémon’s Speed stat
is gradually boosted."
speed-boost,platinum,fr,La Vitesse du Pokémon augmente progressivement.
speed-boost,platinum,en,"The Pokémon’s Speed stat
is gradually boosted."
speed-boost,heartgold-soulsilver,fr,La Vitesse du Pokémon augmente progressivement.
speed-boost,heartgold-soulsilver,en,"Its Speed stat is
gradually boosted."
speed-boost,black-white,fr,La Vitesse du Pokémon augmente progressivement.
speed-boost,black-white,en,"Its Speed stat is
gradually boosted."
speed-boost,black-2-white-2,fr,La Vitesse du Pokémon augmente progressivement.
speed-boost,black-2-white-2,en,"Its Speed stat is
gradually boosted."
speed-boost,x-y,ja-hrkt,"ちょっとずつ
すばやく　なっていく。"
speed-boost,x-y,ko,"조금씩
스피드가 높아진다."
speed-boost,x-y,fr,"La Vitesse du Pokémon
augmente progressivement."
speed-boost,x-y,de,Erhöht Initiative nach und nach.
speed-boost,x-y,es,"Aumenta la Velocidad
gradualmente."
speed-boost,x-y,it,"La statistica Velocità aumenta
gradualmente."
speed-boost,x-y,en,"Its Speed stat is
gradually boosted."
speed-boost,x-y,ja,"ちょっとずつ
素早く　なっていく。"
speed-boost,x-y,es-419,"Aumenta la Velocidad
gradualmente."
speed-boost,omega-ruby-alpha-sapphire,ja-hrkt,"ちょっとずつ
すばやく　なっていく。"
speed-boost,omega-ruby-alpha-sapphire,ko,"조금씩
스피드가 높아진다."
speed-boost,omega-ruby-alpha-sapphire,fr,La Vitesse du Pokémon augmente progressivement.
speed-boost,omega-ruby-alpha-sapphire,de,Erhöht Initiative nach und nach.
speed-boost,omega-ruby-alpha-sapphire,es,"Aumenta la Velocidad
gradualmente."
speed-boost,omega-ruby-alpha-sapphire,it,"La statistica Velocità aumenta
gradualmente."
speed-boost,omega-ruby-alpha-sapphire,en,"Its Speed stat is
gradually boosted."
speed-boost,omega-ruby-alpha-sapphire,ja,"ちょっとずつ
素早く　なっていく。"
speed-boost,omega-ruby-alpha-sapphire,es-419,"Aumenta la Velocidad
gradualmente."
speed-boost,sun-moon,ja-hrkt,まいターン　すばやさが　あがる。
speed-boost,sun-moon,ko,매 턴 스피드가 올라간다.
speed-boost,sun-moon,zh-hant,每一回合速度會變快。
speed-boost,sun-moon,fr,La Vitesse du Pokémon augmente à chaque tour.
speed-boost,sun-moon,de,Erhöht in jeder Runde die Initiative.
speed-boost,sun-moon,es,Aumenta la Velocidad en cada turno.
speed-boost,sun-moon,it,La Velocità aumenta a ogni turno.
speed-boost,sun-moon,en,Its Speed stat is boosted every turn.
speed-boost,sun-moon,ja,毎ターン　素早さが　上がる。
speed-boost,sun-moon,zh-hans,每一回合速度会变快。
speed-boost,sun-moon,es-419,Aumenta la Velocidad en cada turno.
speed-boost,ultra-sun-ultra-moon,ja-hrkt,まいターン　すばやさが　あがる。
speed-boost,ultra-sun-ultra-moon,ko,매 턴 스피드가 올라간다.
speed-boost,ultra-sun-ultra-moon,zh-hant,每一回合速度會變快。
speed-boost,ultra-sun-ultra-moon,fr,La Vitesse du Pokémon augmente à chaque tour.
speed-boost,ultra-sun-ultra-moon,de,Erhöht in jeder Runde die Initiative.
speed-boost,ultra-sun-ultra-moon,es,Aumenta la Velocidad en cada turno.
speed-boost,ultra-sun-ultra-moon,it,La Velocità aumenta a ogni turno.
speed-boost,ultra-sun-ultra-moon,en,Its Speed stat is boosted every turn.
speed-boost,ultra-sun-ultra-moon,ja,毎ターン　素早さが　上がる。
speed-boost,ultra-sun-ultra-moon,zh-hans,每一回合速度会变快。
speed-boost,ultra-sun-ultra-moon,es-419,Aumenta la Velocidad en cada turno.
speed-boost,lets-go-pikachu-lets-go-eevee,ja-hrkt,まいターン　すばやさが　あがる。
speed-boost,lets-go-pikachu-lets-go-eevee,ko,매 턴 스피드가 올라간다.
speed-boost,lets-go-pikachu-lets-go-eevee,zh-hant,每一回合速度會變快。
speed-boost,lets-go-pikachu-lets-go-eevee,fr,La Vitesse du Pokémon augmente à chaque tour.
speed-boost,lets-go-pikachu-lets-go-eevee,de,Erhöht in jeder Runde die Initiative.
speed-boost,lets-go-pikachu-lets-go-eevee,es,Aumenta la Velocidad en cada turno.
speed-boost,lets-go-pikachu-lets-go-eevee,it,La Velocità aumenta a ogni turno.
speed-boost,lets-go-pikachu-lets-go-eevee,en,Its Speed stat is boosted every turn.
speed-boost,lets-go-pikachu-lets-go-eevee,ja,毎ターン　素早さが　上がる。
speed-boost,lets-go-pikachu-lets-go-eevee,zh-hans,每一回合速度会变快。
speed-boost,lets-go-pikachu-lets-go-eevee,es-419,Aumenta la Velocidad en cada turno.
speed-boost,sword-shield,ja-hrkt,まいターン　すばやさが　あがる。
speed-boost,sword-shield,ko,매 턴 스피드가 올라간다.
speed-boost,sword-shield,zh-hant,每一回合速度會變快。
speed-boost,sword-shield,fr,La Vitesse du Pokémon augmente à chaque tour.
speed-boost,sword-shield,de,Erhöht in jeder Runde die Initiative.
speed-boost,sword-shield,es,Aumenta su Velocidad en cada turno.
speed-boost,sword-shield,it,La Velocità aumenta a ogni turno.
speed-boost,sword-shield,en,Its Speed stat is boosted every turn.
speed-boost,sword-shield,ja,毎ターン　素早さが　上がる。
speed-boost,sword-shield,zh-hans,每一回合速度会变快。
speed-boost,sword-shield,es-419,Aumenta su Velocidad en cada turno.
speed-boost,scarlet-violet,fr,La Vitesse du Pokémon augmente à chaque tour.
speed-boost,scarlet-violet,en,The Pokémon's Speed stat is boosted every turn.
battle-armor,ruby-sapphire,fr,Bloque les coups critiques.
battle-armor,ruby-sapphire,en,Blocks critical hits.
battle-armor,emerald,fr,Bloque les coups critiques.
battle-armor,emerald,en,Blocks critical hits.
battle-armor,firered-leafgreen,fr,Bloque les coups critiques.
battle-armor,firered-leafgreen,en,Blocks critical hits.
battle-armor,diamond-pearl,fr,Le Pokémon est protégé des coups critiques.
battle-armor,diamond-pearl,en,"The Pokémon is protected
against critical hits."
battle-armor,platinum,fr,Le Pokémon est protégé des coups critiques.
battle-armor,platinum,en,"The Pokémon is protected
against critical hits."
battle-armor,heartgold-soulsilver,fr,Le Pokémon est protégé des coups critiques.
battle-armor,heartgold-soulsilver,en,"The Pokémon is protected
against critical hits."
battle-armor,black-white,fr,Le Pokémon est protégé des coups critiques.
battle-armor,black-white,en,"The Pokémon is protected
against critical hits."
battle-armor,black-2-white-2,fr,Le Pokémon est protégé des coups critiques.
battle-armor,black-2-white-2,en,"The Pokémon is protected
against critical hits."
battle-armor,x-y,ja-hrkt,"あいての　こうげきが
きゅうしょに　あたらない。"
battle-armor,x-y,ko,"상대의 공격이
급소에 맞지 않는다."
battle-armor,x-y,fr,"Le Pokémon est protégé des
coups critiques."
battle-armor,x-y,de,Wehrt gegnerische Volltreffer ab.
battle-armor,x-y,es,Bloquea golpes críticos.
battle-armor,x-y,it,"Evita che il Pokémon subisca
brutti colpi."
battle-armor,x-y,en,"Protects the Pokémon
from critical hits."
battle-armor,x-y,ja,"相手の　攻撃が
急所に　当たらない。"
battle-armor,x-y,es-419,Bloquea golpes críticos.
battle-armor,omega-ruby-alpha-sapphire,ja-hrkt,"あいての　こうげきが
きゅうしょに　あたらない。"
battle-armor,omega-ruby-alpha-sapphire,ko,"상대의 공격이
급소에 맞지 않는다."
battle-armor,omega-ruby-alpha-sapphire,fr,Le Pokémon est protégé des coups critiques.
battle-armor,omega-ruby-alpha-sapphire,de,Wehrt gegnerische Volltreffer ab.
battle-armor,omega-ruby-alpha-sapphire,es,Bloquea los golpes críticos.
battle-armor,omega-ruby-alpha-sapphire,it,"Evita che il Pokémon subisca
brutti colpi."
battle-armor,omega-ruby-alpha-sapphire,en,"Protects the Pokémon
from critical hits."
battle-armor,omega-ruby-alpha-sapphire,ja,"相手の　攻撃が
急所に　当たらない。"
battle-armor,omega-ruby-alpha-sapphire,es-419,Bloquea los golpes críticos.
battle-armor,sun-moon,ja-hrkt,"かたい　こうらに　まもられて
あいての　こうげきが
きゅうしょに　あたらない。"
battle-armor,sun-moon,ko,"단단한 껍질에 보호받아
상대의 공격이
급소에 맞지 않는다."
battle-armor,sun-moon,zh-hant,"被堅硬的甲殼守護著，
不會被對手的攻擊擊中要害。"
battle-armor,sun-moon,fr,Le Pokémon est protégé des coups critiques par une solide carapace.
battle-armor,sun-moon,de,"Wehrt gegnerische Volltreffer mit einem harten
Panzer ab."
battle-armor,sun-moon,es,"La robusta coraza que lo protege bloquea los golpes
críticos."
battle-armor,sun-moon,it,"Il Pokémon è protetto da una dura corazza
che gli evita di subire brutti colpi."
battle-armor,sun-moon,en,Hard armor protects the Pokémon from critical hits.
battle-armor,sun-moon,ja,"硬い　甲羅に　守られて
相手の　攻撃が
急所に　当たらない。"
battle-armor,sun-moon,zh-hans,"被坚硬的甲壳守护着，
不会被对手的攻击击中要害。"
battle-armor,sun-moon,es-419,"La robusta coraza que lo protege bloquea los golpes
críticos."
battle-armor,ultra-sun-ultra-moon,ja-hrkt,"かたい　こうらに　まもられて
あいての　こうげきが
きゅうしょに　あたらない。"
battle-armor,ultra-sun-ultra-moon,ko,"단단한 껍질에 보호받아
상대의 공격이
급소에 맞지 않는다."
battle-armor,ultra-sun-ultra-moon,zh-hant,"被堅硬的甲殼守護著，
不會被對手的攻擊擊中要害。"
battle-armor,ultra-sun-ultra-moon,fr,Le Pokémon est protégé des coups critiques par une solide carapace.
battle-armor,ultra-sun-ultra-moon,de,"Wehrt gegnerische Volltreffer mit einem harten
Panzer ab."
battle-armor,ultra-sun-ultra-moon,es,"La robusta coraza que lo protege bloquea los golpes
críticos."
battle-armor,ultra-sun-ultra-moon,it,"Il Pokémon è protetto da una dura corazza
che gli evita di subire brutti colpi."
battle-armor,ultra-sun-ultra-moon,en,Hard armor protects the Pokémon from critical hits.
battle-armor,ultra-sun-ultra-moon,ja,"硬い　甲羅に　守られて
相手の　攻撃が
急所に　当たらない。"
battle-armor,ultra-sun-ultra-moon,zh-hans,"被坚硬的甲壳守护着，
不会被对手的攻击击中要害。"
battle-armor,ultra-sun-ultra-moon,es-419,"La robusta coraza que lo protege bloquea los golpes
críticos."
battle-armor,lets-go-pikachu-lets-go-eevee,ja-hrkt,"かたい　こうらに　まもられて
あいての　こうげきが
きゅうしょに　あたらない。"
battle-armor,lets-go-pikachu-lets-go-eevee,ko,"단단한 껍질에 보호받아
상대의 공격이
급소에 맞지 않는다."
battle-armor,lets-go-pikachu-lets-go-eevee,zh-hant,"被堅硬的甲殼守護著，
不會被對手的攻擊擊中要害。"
battle-armor,lets-go-pikachu-lets-go-eevee,fr,"Le Pokémon est protégé des coups critiques
par une solide carapace."
battle-armor,lets-go-pikachu-lets-go-eevee,de,"Wehrt gegnerische Volltreffer mit einem harten
Panzer ab."
battle-armor,lets-go-pikachu-lets-go-eevee,es,"La robusta coraza que lo protege bloquea los golpes
críticos."
battle-armor,lets-go-pikachu-lets-go-eevee,it,"Il Pokémon è protetto da una dura corazza
che gli evita di subire brutti colpi."
battle-armor,lets-go-pikachu-lets-go-eevee,en,Hard armor protects the Pokémon from critical hits.
battle-armor,lets-go-pikachu-lets-go-eevee,ja,"硬い　甲羅に　守られて
相手の　攻撃が
急所に　当たらない。"
battle-armor,lets-go-pikachu-lets-go-eevee,zh-hans,"被坚硬的甲壳守护着，
不会被对手的攻击击中要害。"
battle-armor,lets-go-pikachu-lets-go-eevee,es-419,"La robusta coraza que lo protege bloquea los golpes
críticos."
battle-armor,sword-shield,ja-hrkt,"かたい　こうらに　まもられて
あいての　こうげきが
きゅうしょに　あたらない。"
battle-armor,sword-shield,ko,"단단한 껍질에 보호받아
상대의 공격이
급소에 맞지 않는다."
battle-armor,sword-shield,zh-hant,"被堅硬的甲殼守護著，
不會被對手的攻擊擊中要害。"
battle-armor,sword-shield,fr,Le Pokémon est protégé des coups critiques par une solide carapace.
battle-armor,sword-shield,de,"Wehrt gegnerische Volltreffer mit einem harten
Panzer ab."
battle-armor,sword-shield,es,"La robusta coraza que lo protege bloquea los golpes
críticos."
battle-armor,sword-shield,it,"Il Pokémon è protetto da una dura corazza
che gli evita di subire brutti colpi."
battle-armor,sword-shield,en,Hard armor protects the Pokémon from critical hits.
battle-armor,sword-shield,ja,"硬い　甲羅に　守られて
相手の　攻撃が
急所に　当たらない。"
battle-armor,sword-shield,zh-hans,"被坚硬的甲壳守护着，
不会被对手的攻击击中要害。"
battle-armor,sword-shield,es-419,"La robusta coraza que lo protege bloquea los golpes
críticos."
battle-armor,scarlet-violet,fr,Le Pokémon est protégé des coups critiques\npar une solide carapace.
battle-armor,scarlet-violet,en,Hard armor protects the Pokémon from critical hits.
sturdy,ruby-sapphire,en,Negates 1-hit KO attacks.
sturdy,emerald,en,Negates 1-hit KO attacks.
sturdy,firered-leafgreen,en,Negates 1-hit KO attacks.
sturdy,diamond-pearl,en,"The Pokémon is protected
against 1-hit KO attacks."
sturdy,platinum,en,"The Pokémon is protected
against 1-hit KO attacks."
sturdy,heartgold-soulsilver,en,"It is protected against
1-hit KO attacks."
sturdy,black-white,fr,"Protège des capacités
mettant K.O. en un coup."
sturdy,black-white,en,"It cannot be knocked
out with one hit."
sturdy,black-2-white-2,en,"It cannot be knocked
out with one hit."
sturdy,x-y,ja-hrkt,"いちげきで
たおされない。"
sturdy,x-y,ko,"일격으로
쓰러지지 않는다."
sturdy,x-y,fr,"Protège des capacités mettant
K.O. en un coup."
sturdy,x-y,de,Bietet Schutz gegen K.O.-Treffer.
sturdy,x-y,es,"Evita que el rival pueda debilitarle
de un solo golpe."
sturdy,x-y,it,"Evita che il Pokémon vada KO
in un sol colpo."
sturdy,x-y,en,"It cannot be knocked
out with one hit."
sturdy,x-y,ja,一撃で　倒されない。
sturdy,x-y,es-419,"Evita que el rival pueda debilitarle
de un solo golpe."
sturdy,omega-ruby-alpha-sapphire,ja-hrkt,"いちげきで
たおされない。"
sturdy,omega-ruby-alpha-sapphire,ko,"일격으로
쓰러지지 않는다."
sturdy,omega-ruby-alpha-sapphire,fr,"Protège des capacités mettant
K.O. en un coup."
sturdy,omega-ruby-alpha-sapphire,de,Bietet Schutz gegen K.O.-Treffer.
sturdy,omega-ruby-alpha-sapphire,es,"Evita que el rival pueda debilitarle
de un solo golpe."
sturdy,omega-ruby-alpha-sapphire,it,"Evita che il Pokémon vada KO
in un sol colpo."
sturdy,omega-ruby-alpha-sapphire,en,"It cannot be knocked
out with one hit."
