form,version,language,flavor_text
tyranitar-mega,ultra-moon,en,"The effects of Mega Evolution make it more
ferocious than ever. It’s unclear whether it can
even hear its Trainer’s orders."
mawile-mega,ultra-sun,en,"It has an extremely vicious disposition. It
grips prey in its two sets of jaws and tears
them apart with raw power."
mawile-mega,ultra-moon,en,"Its two sets of jaws thrash about violently as
if they each had a will of their own. One gnash
from them can turn a boulder to dust."
manectric-mega,ultra-sun,en,"Mega Evolution fills its body with a tremendous
amount of electricity, but it’s too much for
Manectric to fully control."
manectric-mega,ultra-moon,en,"Too much electricity has built up in its body,
irritating Manectric. Its explosive speed is
equal to that of a lightning bolt."
banette-mega,ultra-sun,en,"Extraordinary energy amplifies its cursing power
to such an extent that it can’t help but curse
its own Trainer."
banette-mega,ultra-moon,en,"Mega Evolution increases its vindictiveness, and
the cursing power that was held back by its
zipper comes spilling out."
absol-mega,sun,en,"When this Pokémon whips the winglike fur on its
back as though beating its wings, it sends an
intimidating aura flying at its opponents."
absol-mega,moon,en,"As the energy of Mega Evolution fills it, its
fur bristles. What you see on its back are not
true wings, and this Pokémon isn’t able to fly."
absol-mega,ultra-sun,en,"Normally, it dislikes fighting, so it really
hates changing to this form for battles."
absol-mega,ultra-moon,en,"It converts the energy from Mega Evolution into
an intimidating aura. Fainthearted people expire
from shock at the sight of it."
garchomp-mega,sun,en,"Excess energy melted its arms and wings,
transforming them into giant scythes."
garchomp-mega,moon,en,"Its vaunted wings become scythes, sending it mad
with rage. It swings its scythes wildly and
slices the ground to pieces."
garchomp-mega,ultra-sun,en,"Its arms and wings melted into something like
scythes. Mad with rage, it rampages on and on."
garchomp-mega,ultra-moon,en,"Its disposition is more vicious than before its
Mega Evolution. Garchomp carves its opponents up
with the scythes on both arms."
lucario-mega,sun,en,"Black streaks all over its body show where its
auras and the energy of Mega Evolution
intermingled and raced through it."
lucario-mega,moon,en,"It readies itself to face its enemies by
focusing its mental energies. Its fighting style
can be summed up in a single word: heartless."
lucario-mega,ultra-sun,en,"Its aura has expanded due to Mega Evolution.
Governed only by its combative instincts, it
strikes enemies without mercy."
lucario-mega,ultra-moon,en,"Bathed in explosive energy, its combative
instincts have awakened. For its enemies, it has
no mercy whatsoever."
sableye-mega,sun,en,"The jewel from its chest, which has grown
gigantic due to the effects of Mega Evolution,
can turn back any attack."
sableye-mega,moon,en,"Supporting a giant heavy jewel, it can’t change
direction very nimbly and is vulnerable to
attack from behind."
sableye-mega,ultra-sun,en,"Bathed in the energy of Mega Evolution, the
gemstone on its chest expands, rips through its
skin, and falls out."
sableye-mega,ultra-moon,en,"It blocks any and all attacks with its
giant-sized gemstone. However, the stone’s a
heavy burden, and it limits Mega Sableye’s
movements."
sharpedo-mega,sun,en,"The spines sprouting from its head are
transformed fangs. If they’re injured or broken
off, the spines will regenerate countless times."
sharpedo-mega,moon,en,"As a consequence of Mega Evolution, its
combative instincts exploded. The yellow marks
it bears are scars from a long history of
battles."
sharpedo-mega,ultra-sun,en,"The yellow patterns it bears are old scars. The
energy from Mega Evolution runs through them,
causing it sharp pain and suffering."
sharpedo-mega,ultra-moon,en,"The moment it charges into its opponent, sharp
spikes pop out of Sharpedo’s head, leaving its
opponent with deep wounds."
slowbro-mega,sun,en,"All the energy from Mega Evolution poured into
the Shellder on its tail, leaving Slowpoke to be
swallowed whole."
slowbro-mega,moon,en,"When bathed in the energy of Mega Evolution,
Shellder converts into impregnable armor. There
is virtually no change in Slowpoke."
slowbro-mega,ultra-sun,en,"Tremendous energy strengthened the power of the
Shellder on its tail, but it doesn’t really
affect Slowpoke."
slowbro-mega,ultra-moon,en,"Having been swallowed whole by Shellder, Slowbro
now has an iron defense. It’s pretty comfortable
in there, too."
slowbro-mega,lets-go-pikachu,en,"Under the influence of Shellder’s digestive
fluids, Slowpoke has awakened, gaining a great
deal of power—and a little motivation to boot."
slowbro-mega,lets-go-eevee,en,"Under the influence of Shellder’s digestive
fluids, Slowpoke has awakened, gaining a great
deal of power—and a little motivation to boot."
pidgeot-mega,lets-go-pikachu,en,"With its muscular strength now greatly
increased, it can fly continuously for two weeks
without resting."
pidgeot-mega,lets-go-eevee,en,"With its muscular strength now greatly
increased, it can fly continuously for two weeks
without resting."
glalie-mega,sun,en,"The excess energy from Mega Evolution spilled
over from its mouth, breaking its jaw. It spews
endless blizzards."
glalie-mega,moon,en,"It envelops prey in its mouth, freezing them
instantly. But its jaw is dislocated, so it’s
unable to eat them."
glalie-mega,ultra-sun,en,"When it spews stupendously cold air from its
broken mouth, the entire area around it gets
whited out."
glalie-mega,ultra-moon,en,"The power of Mega Evolution was so strong that
it smashed Glalie’s jaw. Its inability to eat
very well leaves Glalie irritated."
metagross-mega,sun,en,"This form results from one Metagross, one
Metang, and two Beldum linking up."
metagross-mega,moon,en,"Mega Evolution stimulated its brain. It emerged
as a ruthless Pokémon that will clutch at any
means of ensuring its victories."
metagross-mega,ultra-sun,en,"Its intellect surpasses its previous level,
resulting in battles so cruel, they’ll make you
want to cover your eyes."
metagross-mega,ultra-moon,en,"When it knows it can’t win, it digs the claws on
its legs into its opponent and starts the
countdown to a big explosion."
lopunny-mega,ultra-sun,en,"It swings its ears like whips and strikes its
enemies with them. It has an intensely combative
disposition."
lopunny-mega,ultra-moon,en,"Mega Evolution awakens its combative instincts.
It has shed any fur that got in the way of its
attacks."
salamence-mega,sun,en,"Anyone standing in its path gets sliced right in
two, while this Pokémon continues its flight
without interruption."
salamence-mega,moon,en,"Mega Evolution fuels its brutality, and it may
even turn on the Trainer who raised it. It’s
been dubbed “the blood-soaked crescent.”"
salamence-mega,ultra-sun,en,"The stress of its two proud wings becoming
misshapen and stuck together because of strong
energy makes it go on a rampage."
salamence-mega,ultra-moon,en,"It puts its forelegs inside its shell to
streamline itself for flight. Salamence flies at
high speeds over all kinds of topographical
features."
beedrill-mega,lets-go-pikachu,en,"Its legs have become poison stingers. It stabs
its prey repeatedly with the stingers on its
limbs, dealing the final blow with the stinger
on its rear."
beedrill-mega,lets-go-eevee,en,"Its legs have become poison stingers. It stabs
its prey repeatedly with the stingers on its
limbs, dealing the final blow with the stinger
on its rear."
rattata-alola,sun,en,"With its incisors, it gnaws through doors and
infiltrates people’s homes. Then, with a twitch
of its whiskers, it steals whatever food it
finds."
rattata-alola,moon,en,"When the sun goes down, it becomes active. It
runs around town on a chase for good food for
the boss of its nest—Raticate."
rattata-alola,ultra-sun,en,"It shows no interest in anything that isn’t
fresh. If you take it shopping with you, it will
help you pick out ingredients."
rattata-alola,ultra-moon,en,"Night after night, they sneak into people’s
homes seeking food. A massive outbreak of them
has become an issue of public concern."
rattata-alola,lets-go-pikachu,en,"Its whiskers provide it with a keen sense of
smell, enabling it to pick up the scent of
hidden food and locate it instantly."
rattata-alola,lets-go-eevee,en,"Its whiskers provide it with a keen sense of
smell, enabling it to pick up the scent of
hidden food and locate it instantly."
raticate-alola,sun,en,"It forms a group of Rattata, which it assumes
command of. Each group has its own territory,
and disputes over food happen often."
raticate-alola,moon,en,"This gourmet Pokémon is particular about the
taste and freshness of its food. Restaurants
where Raticate live have a good reputation."
raticate-alola,ultra-sun,en,"It has an incredibly greedy personality. Its
nest is filled with so much food gathered by
Rattata at its direction, it can’t possibly eat
it all."
raticate-alola,ultra-moon,en,"It commands a nest of Rattata. Different nests
don’t get along, whipping up severe fights over
feeding grounds."
raticate-alola,lets-go-pikachu,en,"It makes its Rattata underlings gather food for
it, dining solely on the most nutritious and
delicious fare."
raticate-alola,lets-go-eevee,en,"It makes its Rattata underlings gather food for
it, dining solely on the most nutritious and
delicious fare."
raichu-alola,sun,en,"It only evolves to this form in the Alola
region. According to researchers, its diet is
one of the causes of this change."
raichu-alola,moon,en,"It uses psychokinesis to control electricity. It
hops aboard its own tail, using psychic power to
lift the tail and move about while riding it."
raichu-alola,ultra-sun,en,"It focuses psychic energy into its tail and
rides it like it’s surfing. Another name for
this Pokémon is “hodad.”"
raichu-alola,ultra-moon,en,"When you rub its cheeks, a sweet fragrance comes
wafting out. However, you’ll also get a light
shock!"
raichu-alola,lets-go-pikachu,en,"It loves pancakes prepared with a secret Alolan
recipe. Some wonder whether that recipe holds
the key to this Pokémon’s evolution."
raichu-alola,lets-go-eevee,en,"It loves pancakes prepared with a secret Alolan
recipe. Some wonder whether that recipe holds
the key to this Pokémon’s evolution."
sandshrew-alola,sun,en,"It lives on snowy mountains. Its steel shell is
very hard—so much so, it can’t roll its body up
into a ball."
sandshrew-alola,moon,en,"An ancient tradition of Alolan festivals, still
carried on to this day, is a competition to
slide Sandshrew across ice as far as one can."
sandshrew-alola,ultra-sun,en,"After fleeing a volcanic eruption, it ended up
moving to an area of snowy mountains. Its ice
shell is as hard as steel."
sandshrew-alola,ultra-moon,en,"The skin on its back is as hard as steel.
Predators go after its soft belly, so it clings
to the ground desperately."
sandshrew-alola,lets-go-pikachu,en,"Its ice-covered body lets it slide across the
ground with bullet-like speed, sending its
enemies flying when it hits them."
sandshrew-alola,lets-go-eevee,en,"Its ice-covered body lets it slide across the
ground with bullet-like speed, sending its
enemies flying when it hits them."
sandslash-alola,sun,en,"Fleeing a volcanic eruption, it settled on a
snowy mountain. As it races through the
snowfields, it sends up a spray of snow."
sandslash-alola,moon,en,"This Pokémon’s steel spikes are sheathed in ice.
Stabs from these spikes cause deep wounds and
severe frostbite as well."
sandslash-alola,ultra-sun,en,"It runs across snow-covered plains at high
speeds. It developed thick, sharp claws to plow
through the snow."
sandslash-alola,ultra-moon,en,"A long, long time ago, it lived in the desert.
With its sharp claws fully extended, it can
climb right up an iceberg without slipping."
sandslash-alola,lets-go-pikachu,en,"This is Sandslash’s form after adaptation to a
frigid environment. The cold air emitted by its
body sharpens its icy spikes."
sandslash-alola,lets-go-eevee,en,"This is Sandslash’s form after adaptation to a
frigid environment. The cold air emitted by its
body sharpens its icy spikes."
vulpix-alola,sun,en,"It exhales air colder than -58 degrees
Fahrenheit. Elderly people in Alola call this
Pokémon by an older name—Keokeo."
vulpix-alola,moon,en,"In hot weather, this Pokémon makes ice shards
with its six tails and sprays them around to
cool itself off."
vulpix-alola,ultra-sun,en,"If you carelessly approach it because it’s cute,
the boss of the pack, Ninetales, will appear and
freeze you."
vulpix-alola,ultra-moon,en,"They live together in a skulk, helping one
another. Before eating their prey, they freeze
it solid with their -58 degree Fahrenheit
breath."
vulpix-alola,lets-go-pikachu,en,"It looks like snow come to life, and the breath
it exhales is -58 degrees Fahrenheit. Another
name for it is Keokeo."
vulpix-alola,lets-go-eevee,en,"It looks like snow come to life, and the breath
it exhales is -58 degrees Fahrenheit. Another
name for it is Keokeo."
ninetales-alola,sun,en,"It creates drops of ice in its coat and showers
them over its enemies. Anyone who angers it will
be frozen stiff in an instant."
ninetales-alola,moon,en,"Possessing a calm demeanor, this Pokémon was
revered as a deity incarnate before it was
identified as a regional variant of Ninetales."
ninetales-alola,ultra-sun,en,"The reason it guides people all the way down to
the mountain’s base is that it wants them to
hurry up and leave."
ninetales-alola,ultra-moon,en,"Some said that deities visited mountains where
Ninetales live, so in times long past, no one
was allowed to go into those mountains."
ninetales-alola,lets-go-pikachu,en,"It lives on mountains perpetually covered in
snow and is revered as a deity incarnate. It
appears draped in a blizzard."
ninetales-alola,lets-go-eevee,en,"It lives on mountains perpetually covered in
snow and is revered as a deity incarnate. It
appears draped in a blizzard."
diglett-alola,sun,en,"Its head sports an altered form of whiskers made
of metal. When in communication with its
comrades, its whiskers wobble to and fro."
diglett-alola,moon,en,"Its golden hairs function as sensors. It pokes
them out of its burrow to monitor its
surroundings."
diglett-alola,ultra-sun,en,"Although it’s powerful enough to dig right
through volcanic rock, it doesn’t allow itself
to be seen very often."
diglett-alola,ultra-moon,en,"The need to dig through volcanic rock in the
ground has made them more powerful than the
Diglett of other regions."
diglett-alola,lets-go-pikachu,en,"After living in soil with high iron content for
some time, three steel whiskers sprouted from
the top of its head."
diglett-alola,lets-go-eevee,en,"After living in soil with high iron content for
some time, three steel whiskers sprouted from
the top of its head."
dugtrio-alola,sun,en,"Its shining gold hair provides it with
protection. It’s reputed that keeping any of its
fallen hairs will bring bad luck."
dugtrio-alola,moon,en,"These Pokémon are cherished in the Alola region,
where they are thought to be feminine deities of
the land incarnate."
dugtrio-alola,ultra-sun,en,"Its metallic whiskers are heavy, so it’s not
very fast, but it has the power to dig through
bedrock."
dugtrio-alola,ultra-moon,en,"Its shining gold whiskers are advanced sensors
that can detect vibrations from sounds several
miles away."
dugtrio-alola,lets-go-pikachu,en,"They’re referred to as triplets, but they’re not
identical—the metallic elements in their bodies
differ slightly. The proof shows in their
whiskers!"
dugtrio-alola,lets-go-eevee,en,"They’re referred to as triplets, but they’re not
identical—the metallic elements in their bodies
differ slightly. The proof shows in their
whiskers!"
meowth-alola,sun,en,"This Pokémon was not originally found in Alola.
Human actions caused a surge in their numbers,
and they went feral. They’re prideful and
crafty."
meowth-alola,moon,en,"When its delicate pride is wounded, or when the
gold coin on its forehead is dirtied, it flies
into a hysterical rage."
meowth-alola,ultra-sun,en,"It’s impulsive, selfish, and fickle. It’s very
popular with some Trainers who like giving it
the attention it needs."
meowth-alola,ultra-moon,en,"A royal house that flourished in the distant
past brought it here from another region. Meowth
is both selfish and prideful."
meowth-alola,lets-go-pikachu,en,"Highly intelligent and prideful, it’s famously
difficult to handle—but that’s also a reason for
its popularity."
meowth-alola,lets-go-eevee,en,"Highly intelligent and prideful, it’s famously
difficult to handle—but that’s also a reason for
its popularity."
persian-alola,sun,en,"Its round face and smooth coat—softer than the
most high-class velvet—have made this a very
popular Pokémon in Alola."
persian-alola,moon,en,"It looks down on everyone other than itself. Its
preferred tactics are sucker punches and
blindside attacks."
persian-alola,ultra-sun,en,"In contrast to its lovely face, it’s so brutal
that it tortures its weakened prey rather than
finishing them off."
persian-alola,ultra-moon,en,"Its round face is a symbol of wealth. Persian
that have bigger, plumper faces are considered
more beautiful."
persian-alola,lets-go-pikachu,en,"It has the classiest coat. The rippling of its
fur in the heat of battle has a beauty all its
own."
persian-alola,lets-go-eevee,en,"It has the classiest coat. The rippling of its
fur in the heat of battle has a beauty all its
own."
geodude-alola,sun,en,"Its body is a magnetic stone. Iron sand attaches
firmly to the portions of its body that are
particularly magnetic."
geodude-alola,moon,en,"If you accidentally step on a Geodude sleeping
on the ground, you’ll hear a crunching sound and
feel a shock ripple through your entire body."
geodude-alola,ultra-sun,en,"If you mistake it for a rock and step on it, it
will headbutt you in anger. In addition to the
pain, it will also zap you with a shock."
geodude-alola,ultra-moon,en,"Geodude compete against each other with
headbutts. The iron sand on their heads will
stick to whichever one has stronger magnetism."
geodude-alola,lets-go-pikachu,en,"Its stone head is imbued with electricity and
magnetism. If you carelessly step on one, you’ll
be in for a painful shock."
geodude-alola,lets-go-eevee,en,"Its stone head is imbued with electricity and
magnetism. If you carelessly step on one, you’ll
be in for a painful shock."
graveler-alola,sun,en,"Its preferred food is dravite. After it has
eaten this mineral, crystals form inside the
Pokémon, rising to the surface of part of its
body."
graveler-alola,moon,en,"They eat rocks and often get into a scrap over
them. The shock of Graveler smashing together
causes a flash of light and a booming noise."
graveler-alola,ultra-sun,en,"When two Graveler fight each other, it fills the
surroundings with flashes of light and sound.
People call it the “fireworks of the earth.”"
graveler-alola,ultra-moon,en,"Graveler’s entire body is tinged with
electricity due to the stones it likes to eat.
It’s very quick-tempered."
graveler-alola,lets-go-pikachu,en,"When it comes rolling down a mountain path,
anything in its way gets zapped by electricity
and sent flying."
graveler-alola,lets-go-eevee,en,"When it comes rolling down a mountain path,
anything in its way gets zapped by electricity
and sent flying."
golem-alola,sun,en,"It fires rocks charged with electricity. Even if
the rock isn’t fired that accurately, just
grazing an opponent will cause numbness and
fainting."
golem-alola,moon,en,"Because it can’t fire boulders at a rapid pace,
it’s been known to seize nearby Geodude and fire
them from its back."
golem-alola,ultra-sun,en,"It’s grumpy and stubborn. If you upset it, it
discharges electricity from the surface of its
body and growls with a voice like thunder."
golem-alola,ultra-moon,en,"It shoots large rocks that are charged with
electricity. Tremendous electric shocks are
flung out across the whole area of impact."
golem-alola,lets-go-pikachu,en,"It uses magnetism to accelerate and fire off
rocks tinged with electricity. Even if it
doesn’t score a direct hit, the jolt of
electricity will do the job."
golem-alola,lets-go-eevee,en,"It uses magnetism to accelerate and fire off
rocks tinged with electricity. Even if it
doesn’t score a direct hit, the jolt of
electricity will do the job."
grimer-alola,sun,en,"A Grimer, which had been brought in to solve a
problem with garbage, developed over time into
this form."
grimer-alola,moon,en,"The crystals on Grimer’s body are lumps of
toxins. If one falls off, lethal poisons leak
out."
grimer-alola,ultra-sun,en,"There are a hundred or so of them living in
Alola’s waste-disposal site. They’re all hard
workers who eat a lot of trash."
grimer-alola,ultra-moon,en,"Brought to Alola to solve the garbage problem,
Grimer seems to relish any and all kinds of
trash."
grimer-alola,lets-go-pikachu,en,"It has a passion for trash above all else,
speedily digesting it and creating brilliant
crystals of sparkling poison."
grimer-alola,lets-go-eevee,en,"It has a passion for trash above all else,
speedily digesting it and creating brilliant
crystals of sparkling poison."
muk-alola,sun,en,"The garbage it eats causes continuous chemical
changes in its body, which produce its
exceedingly vivid coloration."
muk-alola,moon,en,"While it’s unexpectedly quiet and friendly, if
it’s not fed any trash for a while, it will
smash its Trainer’s furnishings and eat up the
fragments."
muk-alola,ultra-sun,en,"There are over a hundred kinds of poison inside
its body. Chemical reactions between different
poisons are the source of its vitality."
muk-alola,ultra-moon,en,"What look like fangs and claws are actually
crystallized poison that will afflict you at a
mere touch, so don’t get too close."
muk-alola,lets-go-pikachu,en,"Muk’s coloration becomes increasingly vivid the
more it feasts on its favorite dish—trash."
muk-alola,lets-go-eevee,en,"Muk’s coloration becomes increasingly vivid the
more it feasts on its favorite dish—trash."
exeggutor-alola,sun,en,"Alola is the best environment for this Pokémon.
Local people take pride in its appearance,
saying this is how Exeggutor ought to look."
exeggutor-alola,moon,en,"As it grew taller and taller, it outgrew its
reliance on psychic powers, while within it
awakened the power of the sleeping dragon."
exeggutor-alola,ultra-sun,en,"Exeggutor is the pride of the Alolan people. Its
image is carved into historical buildings and
murals."
exeggutor-alola,ultra-moon,en,"It swings its long neck like a whip and smacks
its opponents. This makes Exeggutor itself
dizzy, too."
exeggutor-alola,lets-go-pikachu,en,"The strong sunlight of the Alola region has
awakened the power hidden within Exeggcute. This
is the result."
exeggutor-alola,lets-go-eevee,en,"The strong sunlight of the Alola region has
awakened the power hidden within Exeggcute. This
is the result."
marowak-alola,sun,en,"The bones it possesses were once its mother’s.
Its mother’s regrets have become like a vengeful
spirit protecting this Pokémon."
marowak-alola,moon,en,"Its custom is to mourn its lost companions.
Mounds of dirt by the side of the road mark the
graves of the Marowak."
marowak-alola,ultra-sun,en,"The rich greenery of the Alola region is hard on
Marowak. It controls fire to stay alive."
marowak-alola,ultra-moon,en,"When it beats opponents with its bone, the
cursed flames spread to them. No amount of water
will stop those flames from burning."
