item,version_group,language,flavor_text
master-ball,ultra-sun-ultra-moon,zh-hant,"性能最好的球。
必定能捉到野生寶可夢。"
master-ball,ultra-sun-ultra-moon,fr,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un Pokémon
sauvage."
master-ball,ultra-sun-ultra-moon,de,"Der beste Ball! Damit fängst du garantiert jedes
wilde Pokémon."
master-ball,ultra-sun-ultra-moon,es,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
master-ball,ultra-sun-ultra-moon,it,"La Poké Ball dalle prestazioni migliori: cattura
qualsiasi Pokémon selvatico senza mai fallire."
master-ball,ultra-sun-ultra-moon,en,"The best Poké Ball with the ultimate level of
performance. With it, you will catch any wild
Pokémon without fail."
master-ball,ultra-sun-ultra-moon,ja,"野生の　ポケモンを　必ず
捕まえることが　できる
最高　性能の　ボール。"
master-ball,ultra-sun-ultra-moon,zh-hans,"必定能捉到野生宝可梦的，
性能最好的球。"
master-ball,ultra-sun-ultra-moon,es-419,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
master-ball,lets-go-pikachu-lets-go-eevee,ja-hrkt,"やせいの　ポケモンを　かならず
つかまえることが　できる
さいこう　せいのうの　ボール。"
master-ball,lets-go-pikachu-lets-go-eevee,ko,"야생 포켓몬을 반드시
잡을 수 있는
최고 성능의 볼."
master-ball,lets-go-pikachu-lets-go-eevee,zh-hant,"性能最好的球。
必定能捉到野生寶可夢。"
master-ball,lets-go-pikachu-lets-go-eevee,fr,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un Pokémon
sauvage."
master-ball,lets-go-pikachu-lets-go-eevee,de,"Der beste Ball! Damit fängst du garantiert jedes
wilde Pokémon."
master-ball,lets-go-pikachu-lets-go-eevee,es,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
master-ball,lets-go-pikachu-lets-go-eevee,it,"La Poké Ball dalle prestazioni migliori: cattura
qualsiasi Pokémon selvatico senza mai fallire."
master-ball,lets-go-pikachu-lets-go-eevee,en,"The best Poké Ball with the ultimate level of
performance. With it, you will catch any wild
Pokémon without fail."
master-ball,lets-go-pikachu-lets-go-eevee,ja,"野生の　ポケモンを　必ず
捕まえることが　できる
最高　性能の　ボール。"
master-ball,lets-go-pikachu-lets-go-eevee,zh-hans,"必定能捉到野生宝可梦的，
性能最好的球。"
master-ball,lets-go-pikachu-lets-go-eevee,es-419,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
master-ball,sword-shield,ja-hrkt,"やせいの　ポケモンを　かならず
つかまえることが　できる
さいこう　せいのうの　ボール。"
master-ball,sword-shield,ko,"야생 포켓몬을 반드시
잡을 수 있는
최고 성능의 볼."
master-ball,sword-shield,zh-hant,"性能最好的球。
必定能捉到野生寶可夢。"
master-ball,sword-shield,fr,"Assurément la Poké Ball la plus performante.
Elle permet de capturer à coup sûr un Pokémon
sauvage."
master-ball,sword-shield,de,"Der beste Ball! Damit fängst du garantiert jedes
wilde Pokémon."
master-ball,sword-shield,es,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
master-ball,sword-shield,it,"La Poké Ball dalle prestazioni migliori: cattura
qualsiasi Pokémon selvatico senza mai fallire."
master-ball,sword-shield,en,"The best Poké Ball with the ultimate level of
performance. With it, you will catch any wild
Pokémon without fail."
master-ball,sword-shield,ja,"野生の　ポケモンを　必ず
捕まえることが　できる
最高　性能の　ボール。"
master-ball,sword-shield,zh-hans,"必定能捉到野生宝可梦的，
性能最好的球。"
master-ball,sword-shield,es-419,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
ultra-ball,ruby-sapphire,en,"A better BALL with
a higher catch rate
than a GREAT BALL."
ultra-ball,emerald,en,"A better BALL with
a higher catch rate
than a GREAT BALL."
ultra-ball,firered-leafgreen,en,"A very high-grade BALL that offers
a higher POKéMON catch rate than
a GREAT BALL."
ultra-ball,diamond-pearl,en,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
ultra-ball,platinum,en,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
ultra-ball,heartgold-soulsilver,en,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
ultra-ball,black-white,fr,"Une Ball ultraperformante dont le taux
de réussite est supérieur à celui de la
Super Ball."
ultra-ball,black-white,en,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
ultra-ball,black-2-white-2,en,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
ultra-ball,x-y,ja-hrkt,"スーパーボールよりも　さらに
ポケモンを　つかまえやすくなった
すごく　せいのうのいい　ボール。"
ultra-ball,x-y,ko,"수퍼볼보다도 더욱
포켓몬을 잡기 쉬워진
매우 성능이 좋은 볼."
ultra-ball,x-y,fr,"Une Ball ultraperformante dont le taux de
réussite est supérieur à celui de la Super Ball."
ultra-ball,x-y,de,"Ein Ball mit hoher Erfolgsquote. Dem Superball in
allen Punkten überlegen."
ultra-ball,x-y,es,"Poké Ball de rendimiento superior. Tiene un
índice de éxito mayor al de la Super Ball."
ultra-ball,x-y,it,"Poké Ball dalle prestazioni eccellenti:
fornisce maggiori probabilità di cattura rispetto
alla Mega Ball."
ultra-ball,x-y,en,"An ultra-high-performance Poké Ball
that provides a higher success rate for
catching Pokémon than a Great Ball."
ultra-ball,x-y,ja,"スーパーボールよりも　さらに
ポケモンを　捕まえやすくなった
すごく　性能のいい　ボール。"
ultra-ball,x-y,es-419,"Poké Ball de rendimiento superior. Tiene un
índice de éxito mayor al de la Super Ball."
ultra-ball,sun-moon,ja-hrkt,"スーパーボールよりも　さらに
ポケモンを　つかまえやすくなった
すごく　せいのうのいい　ボール。"
ultra-ball,sun-moon,ko,"수퍼볼보다도 더욱
포켓몬을 잡기 쉬워진
매우 성능이 좋은 볼."
ultra-ball,sun-moon,zh-hant,"性能非常不錯的球。
比起超級球
更容易捉到寶可夢。"
ultra-ball,sun-moon,fr,"Une Ball très performante dont le taux de réussite
est supérieur à celui de la Super Ball."
ultra-ball,sun-moon,de,"Ein Ball mit hoher Erfolgsquote. Dem Superball in
allen Punkten überlegen."
ultra-ball,sun-moon,es,"Poké Ball de rendimiento superior. Tiene un índice
de éxito mayor al de la Super Ball."
ultra-ball,sun-moon,it,"Poké Ball dalle prestazioni eccellenti: fornisce
maggiori probabilità di cattura rispetto alla
Mega Ball."
ultra-ball,sun-moon,en,"An ultra-high-performance Poké Ball that provides
a higher success rate for catching Pokémon than
a Great Ball."
ultra-ball,sun-moon,ja,"スーパーボールよりも　さらに
ポケモンを　捕まえやすくなった
すごく　性能のいい　ボール。"
ultra-ball,sun-moon,zh-hans,"比起超级球来
更容易捉到宝可梦的，
性能非常不错的球。"
ultra-ball,sun-moon,es-419,"Poké Ball de rendimiento superior. Tiene un índice
de éxito mayor al de la Super Ball."
ultra-ball,ultra-sun-ultra-moon,ja-hrkt,"スーパーボールよりも　さらに
ポケモンを　つかまえやすくなった
すごく　せいのうのいい　ボール。"
ultra-ball,ultra-sun-ultra-moon,ko,"수퍼볼보다도 더욱
포켓몬을 잡기 쉬워진
매우 성능이 좋은 볼."
ultra-ball,ultra-sun-ultra-moon,zh-hant,"性能非常不錯的球。
比起超級球
更容易捉到寶可夢。"
ultra-ball,ultra-sun-ultra-moon,fr,"Une Ball très performante dont le taux de réussite
est supérieur à celui de la Super Ball."
ultra-ball,ultra-sun-ultra-moon,de,"Ein Ball mit hoher Erfolgsquote. Dem Superball in
allen Punkten überlegen."
ultra-ball,ultra-sun-ultra-moon,es,"Poké Ball de rendimiento superior. Tiene un índice
de éxito mayor al de la Super Ball."
ultra-ball,ultra-sun-ultra-moon,it,"Poké Ball dalle prestazioni eccellenti: fornisce
maggiori probabilità di cattura rispetto alla
Mega Ball."
ultra-ball,ultra-sun-ultra-moon,en,"An ultra-high-performance Poké Ball that provides
a higher success rate for catching Pokémon than
a Great Ball."
ultra-ball,ultra-sun-ultra-moon,ja,"スーパーボールよりも　さらに
ポケモンを　捕まえやすくなった
すごく　性能のいい　ボール。"
ultra-ball,ultra-sun-ultra-moon,zh-hans,"比起超级球来
更容易捉到宝可梦的，
性能非常不错的球。"
ultra-ball,ultra-sun-ultra-moon,es-419,"Poké Ball de rendimiento superior. Tiene un índice
de éxito mayor al de la Super Ball."
ultra-ball,lets-go-pikachu-lets-go-eevee,ja-hrkt,"スーパーボールよりも　さらに
ポケモンを　つかまえやすくなった
すごく　せいのうのいい　ボール。"
ultra-ball,lets-go-pikachu-lets-go-eevee,ko,"수퍼볼보다도 더욱
포켓몬을 잡기 쉬워진
매우 성능이 좋은 볼."
ultra-ball,lets-go-pikachu-lets-go-eevee,zh-hant,"性能非常不錯的球。
比起超級球
更容易捉到寶可夢。"
ultra-ball,lets-go-pikachu-lets-go-eevee,fr,"Une Ball très performante dont le taux de réussite
est supérieur à celui de la Super Ball."
ultra-ball,lets-go-pikachu-lets-go-eevee,de,"Ein Ball mit hoher Erfolgsquote. Dem Superball in
allen Punkten überlegen."
ultra-ball,lets-go-pikachu-lets-go-eevee,es,"Poké Ball de rendimiento superior. Tiene un índice
de éxito mayor al de la Super Ball."
ultra-ball,lets-go-pikachu-lets-go-eevee,it,"Poké Ball dalle prestazioni eccellenti: fornisce
maggiori probabilità di cattura rispetto alla
Mega Ball."
ultra-ball,lets-go-pikachu-lets-go-eevee,en,"An ultra-high-performance Poké Ball that provides
a higher success rate for catching Pokémon than
a Great Ball."
ultra-ball,lets-go-pikachu-lets-go-eevee,ja,"スーパーボールよりも　さらに
ポケモンを　捕まえやすくなった
すごく　性能のいい　ボール。"
ultra-ball,lets-go-pikachu-lets-go-eevee,zh-hans,"比起超级球来
更容易捉到宝可梦的，
性能非常不错的球。"
ultra-ball,lets-go-pikachu-lets-go-eevee,es-419,"Poké Ball de rendimiento superior. Tiene un índice
de éxito mayor al de la Super Ball."
ultra-ball,sword-shield,ja-hrkt,"スーパーボールよりも　さらに
ポケモンを　つかまえやすくなった
すごく　せいのうのいい　ボール。"
ultra-ball,sword-shield,ko,"수퍼볼보다도 더욱
포켓몬을 잡기 쉬워진
매우 성능이 좋은 볼."
ultra-ball,sword-shield,zh-hant,"性能非常不錯的球。
比起超級球
更容易捉到寶可夢。"
ultra-ball,sword-shield,fr,"Une Poké Ball très performante dont le taux de réussite
est supérieur à celui de la Super Ball."
ultra-ball,sword-shield,de,"Ein Ball mit hoher Erfolgsquote. Dem Superball in allen
Punkten überlegen."
ultra-ball,sword-shield,es,"Poké Ball de rendimiento superior. Tiene un índice de
éxito mayor al de la Super Ball."
ultra-ball,sword-shield,it,"Poké Ball dalle prestazioni eccellenti: fornisce
maggiori probabilità di cattura rispetto alla
Mega Ball."
ultra-ball,sword-shield,en,"An ultra-high-performance Poké Ball that provides
a higher success rate for catching Pokémon than
a Great Ball."
ultra-ball,sword-shield,ja,"スーパーボールよりも　さらに
ポケモンを　捕まえやすくなった
すごく　性能のいい　ボール。"
ultra-ball,sword-shield,zh-hans,"比起超级球来
更容易捉到宝可梦的，
性能非常不错的球。"
ultra-ball,sword-shield,es-419,"Poké Ball de rendimiento superior. Tiene un índice de
éxito mayor al de la Super Ball."
great-ball,ruby-sapphire,en,"A good BALL with a
higher catch rate
than a POKé BALL."
great-ball,emerald,en,"A good BALL with a
higher catch rate
than a POKé BALL."
great-ball,firered-leafgreen,en,"A good, quality BALL that offers
a higher POKéMON catch rate than
a standard POKé BALL."
great-ball,diamond-pearl,en,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
great-ball,platinum,en,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
great-ball,heartgold-soulsilver,en,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
great-ball,black-white,fr,"Une Ball très performante dont le taux
de réussite est supérieur à celui de la
Poké Ball."
great-ball,black-white,en,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
great-ball,black-2-white-2,en,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
great-ball,x-y,ja-hrkt,"モンスターボールよりも　さらに
ポケモンを　つかまえやすくなった
すこし　せいのうのいい　ボール。"
great-ball,x-y,ko,"몬스터볼보다도 더욱
포켓몬을 잡기 쉬워진
약간 성능이 좋은 볼."
great-ball,x-y,fr,"Une Ball très performante dont le taux de
réussite est supérieur à celui de la Poké Ball."
great-ball,x-y,de,"Ein Ball mit guter Erfolgsquote. Dem Pokéball in
allen Punkten überlegen."
great-ball,x-y,es,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
great-ball,x-y,it,"Poké Ball dalle ottime prestazioni:
fornisce maggiori probabilità di cattura rispetto
alla normale Poké Ball."
great-ball,x-y,en,"A good, high-performance Poké Ball
that provides a higher Pokémon catch
rate than a standard Poké Ball can."
great-ball,x-y,ja,"モンスターボールよりも　さらに
ポケモンを　捕まえやすくなった
少し　性能のいい　ボール。"
great-ball,x-y,es-419,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
great-ball,sun-moon,ja-hrkt,"モンスターボールよりも　さらに
ポケモンを　つかまえやすくなった
すこし　せいのうのいい　ボール。"
great-ball,sun-moon,ko,"몬스터볼보다도 더욱
포켓몬을 잡기 쉬워진
약간 성능이 좋은 볼."
great-ball,sun-moon,zh-hant,"性能還算不錯的球。
比起精靈球
更容易捉到寶可夢。"
great-ball,sun-moon,fr,"Une Ball très performante dont le taux de réussite
est supérieur à celui de la Poké Ball."
great-ball,sun-moon,de,"Ein Ball mit guter Erfolgsquote. Dem Pokéball in
allen Punkten überlegen."
great-ball,sun-moon,es,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
great-ball,sun-moon,it,"Poké Ball dalle ottime prestazioni: fornisce
maggiori probabilità di cattura rispetto alla
normale Poké Ball."
great-ball,sun-moon,en,"A good, high-performance Poké Ball that provides
a higher Pokémon catch rate than a standard
Poké Ball."
great-ball,sun-moon,ja,"モンスターボールよりも　さらに
ポケモンを　捕まえやすくなった
少し　性能のいい　ボール。"
great-ball,sun-moon,zh-hans,"比起精灵球来
更容易捉到宝可梦的，
性能还算不错的球。"
great-ball,sun-moon,es-419,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
great-ball,ultra-sun-ultra-moon,ja-hrkt,"モンスターボールよりも　さらに
ポケモンを　つかまえやすくなった
すこし　せいのうのいい　ボール。"
great-ball,ultra-sun-ultra-moon,ko,"몬스터볼보다도 더욱
포켓몬을 잡기 쉬워진
약간 성능이 좋은 볼."
great-ball,ultra-sun-ultra-moon,zh-hant,"性能還算不錯的球。
比起精靈球
更容易捉到寶可夢。"
great-ball,ultra-sun-ultra-moon,fr,"Une Ball très performante dont le taux de réussite
est supérieur à celui de la Poké Ball."
great-ball,ultra-sun-ultra-moon,de,"Ein Ball mit guter Erfolgsquote. Dem Pokéball in
allen Punkten überlegen."
great-ball,ultra-sun-ultra-moon,es,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
great-ball,ultra-sun-ultra-moon,it,"Poké Ball dalle ottime prestazioni: fornisce
maggiori probabilità di cattura rispetto alla
normale Poké Ball."
great-ball,ultra-sun-ultra-moon,en,"A good, high-performance Poké Ball that provides
a higher Pokémon catch rate than a standard
Poké Ball."
great-ball,ultra-sun-ultra-moon,ja,"モンスターボールよりも　さらに
ポケモンを　捕まえやすくなった
少し　性能のいい　ボール。"
great-ball,ultra-sun-ultra-moon,zh-hans,"比起精灵球来
更容易捉到宝可梦的，
性能还算不错的球。"
great-ball,ultra-sun-ultra-moon,es-419,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
great-ball,lets-go-pikachu-lets-go-eevee,ja-hrkt,"モンスターボールよりも　さらに
ポケモンを　つかまえやすくなった
すこし　せいのうのいい　ボール。"
great-ball,lets-go-pikachu-lets-go-eevee,ko,"몬스터볼보다도 더욱
포켓몬을 잡기 쉬워진
약간 성능이 좋은 볼."
great-ball,lets-go-pikachu-lets-go-eevee,zh-hant,"性能還算不錯的球。
比起精靈球
更容易捉到寶可夢。"
great-ball,lets-go-pikachu-lets-go-eevee,fr,"Une Ball très performante dont le taux de réussite
est supérieur à celui de la Poké Ball."
great-ball,lets-go-pikachu-lets-go-eevee,de,"Ein Ball mit guter Erfolgsquote. Dem Pokéball in
allen Punkten überlegen."
great-ball,lets-go-pikachu-lets-go-eevee,es,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
great-ball,lets-go-pikachu-lets-go-eevee,it,"Poké Ball dalle ottime prestazioni: fornisce
maggiori probabilità di cattura rispetto alla
normale Poké Ball."
great-ball,lets-go-pikachu-lets-go-eevee,en,"A good, high-performance Poké Ball that provides
a higher success rate for catching Pokémon than
a standard Poké Ball."
great-ball,lets-go-pikachu-lets-go-eevee,ja,"モンスターボールよりも　さらに
ポケモンを　捕まえやすくなった
少し　性能のいい　ボール。"
great-ball,lets-go-pikachu-lets-go-eevee,zh-hans,"比起精灵球来
更容易捉到宝可梦的，
性能还算不错的球。"
great-ball,lets-go-pikachu-lets-go-eevee,es-419,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
great-ball,sword-shield,ja-hrkt,"モンスターボールよりも　さらに
ポケモンを　つかまえやすくなった
すこし　せいのうのいい　ボール。"
great-ball,sword-shield,ko,"몬스터볼보다도 더욱
포켓몬을 잡기 쉬워진
약간 성능이 좋은 볼."
great-ball,sword-shield,zh-hant,"性能還算不錯的球。
比起精靈球
更容易捉到寶可夢。"
great-ball,sword-shield,fr,"Une Poké Ball très performante dont le taux de réussite
est supérieur à celui de la Poké Ball."
great-ball,sword-shield,de,"Ein Ball mit guter Erfolgsquote. Dem Pokéball in allen
Punkten überlegen."
great-ball,sword-shield,es,"Poké Ball de alto rendimiento. Tiene un índice de éxito
superior al de la Poké Ball."
great-ball,sword-shield,it,"Poké Ball dalle ottime prestazioni: fornisce
maggiori probabilità di cattura rispetto alla
normale Poké Ball."
great-ball,sword-shield,en,"A good, high-performance Poké Ball that provides
a higher success rate for catching Pokémon than
a standard Poké Ball."
great-ball,sword-shield,ja,"モンスターボールよりも　さらに
ポケモンを　捕まえやすくなった
少し　性能のいい　ボール。"
great-ball,sword-shield,zh-hans,"比起精灵球来
更容易捉到宝可梦的，
性能还算不错的球。"
great-ball,sword-shield,es-419,"Poké Ball de alto rendimiento. Tiene un índice de éxito
superior al de la Poké Ball."
poke-ball,ruby-sapphire,en,"A tool used for
catching wild
POKéMON."
poke-ball,emerald,en,"A tool used for
catching wild
POKéMON."
poke-ball,firered-leafgreen,en,"A BALL thrown to catch a wild
POKéMON. It is designed in a
capsule style."
poke-ball,diamond-pearl,en,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
poke-ball,platinum,en,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
poke-ball,heartgold-soulsilver,en,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
poke-ball,black-white,fr,"Un objet pareil à une capsule, qui
capture les Pokémon sauvages. Il suffit
pour cela de le jeter comme une balle."
poke-ball,black-white,en,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
poke-ball,black-2-white-2,en,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
poke-ball,x-y,ja-hrkt,"やせいの　ポケモンに　なげて
つかまえる　ための　ボール。
カプセルしきに　なっている。"
poke-ball,x-y,ko,"야생 포켓몬에게 던져서
잡기 위한 볼.
캡슐식으로 되어 있다."
poke-ball,x-y,fr,"Un objet semblable à une capsule, qui capture
les Pokémon sauvages. Il suffit pour cela de le
jeter comme une balle."
poke-ball,x-y,de,"Damit fängst du wilde Pokémon. Du wirfst ihn wie
einen normalen Ball. Das Design ähnelt dem einer
Kapsel."
poke-ball,x-y,es,"Dispositivo con diseño capsular que atrapa
Pokémon salvajes. Se lanza como una bola
contra el blanco."
poke-ball,x-y,it,"Strumento dotato di capsula usato per catturare
Pokémon selvatici. Si lancia contro il bersaglio
come una palla."
poke-ball,x-y,en,"A device for catching wild Pokémon.
It’s thrown like a ball at a Pokémon,
comfortably encapsulating its target."
poke-ball,x-y,ja,"野生の　ポケモンに　投げて
捕まえるための　ボール。
カプセル式に　なっている。"
poke-ball,x-y,es-419,"Dispositivo con diseño capsular que atrapa
Pokémon salvajes. Se lanza como una bola
contra el blanco."
poke-ball,sun-moon,ja-hrkt,"やせいの　ポケモンに　なげて
つかまえる　ための　ボール。
カプセルしきに　なっている。"
poke-ball,sun-moon,ko,"야생 포켓몬에게 던져서
잡기 위한 볼.
캡슐식으로 되어 있다."
poke-ball,sun-moon,zh-hant,"用於投向野生寶可夢
並將其捕捉的球。
它是膠囊樣式的。"
poke-ball,sun-moon,fr,"Un objet semblable à une capsule, qui capture
les Pokémon sauvages. Il suffit pour cela de le
jeter comme une balle."
poke-ball,sun-moon,de,"Damit fängst du wilde Pokémon. Du wirfst ihn wie
einen normalen Ball. Das Design ähnelt dem einer
Kapsel."
poke-ball,sun-moon,es,"Dispositivo con diseño capsular que atrapa
Pokémon salvajes. Se lanza como una bola
contra el blanco."
poke-ball,sun-moon,it,"Strumento dotato di capsula usato per catturare
Pokémon selvatici. Si lancia contro il bersaglio
come una palla."
poke-ball,sun-moon,en,"A device for catching wild Pokémon. It’s thrown like
a ball at a Pokémon, comfortably encapsulating
its target."
poke-ball,sun-moon,ja,"野生の　ポケモンに　投げて
捕まえるための　ボール。
カプセル式に　なっている。"
poke-ball,sun-moon,zh-hans,"用于投向野生宝可梦
并将其捕捉的球。
它是胶囊样式的。"
poke-ball,sun-moon,es-419,"Dispositivo con diseño capsular que atrapa
Pokémon salvajes. Se lanza como una bola
contra el blanco."
poke-ball,ultra-sun-ultra-moon,ja-hrkt,"やせいの　ポケモンに　なげて
つかまえる　ための　ボール。
カプセルしきに　なっている。"
poke-ball,ultra-sun-ultra-moon,ko,"야생 포켓몬에게 던져서
잡기 위한 볼.
캡슐식으로 되어 있다."
poke-ball,ultra-sun-ultra-moon,zh-hant,"用於投向野生寶可夢
並將其捕捉的球。
它是膠囊樣式的。"
poke-ball,ultra-sun-ultra-moon,fr,"Un objet semblable à une capsule, qui capture
les Pokémon sauvages. Il suffit pour cela de le
jeter comme une balle."
poke-ball,ultra-sun-ultra-moon,de,"Damit fängst du wilde Pokémon. Du wirfst ihn wie
einen normalen Ball. Das Design ähnelt dem einer
Kapsel."
poke-ball,ultra-sun-ultra-moon,es,"Dispositivo con diseño capsular que atrapa
Pokémon salvajes. Se lanza como una bola
contra el blanco."
poke-ball,ultra-sun-ultra-moon,it,"Strumento dotato di capsula usato per catturare
Pokémon selvatici. Si lancia contro il bersaglio
come una palla."
poke-ball,ultra-sun-ultra-moon,en,"A device for catching wild Pokémon. It’s thrown like
a ball at a Pokémon, comfortably encapsulating
its target."
poke-ball,ultra-sun-ultra-moon,ja,"野生の　ポケモンに　投げて
捕まえるための　ボール。
カプセル式に　なっている。"
poke-ball,ultra-sun-ultra-moon,zh-hans,"用于投向野生宝可梦
并将其捕捉的球。
它是胶囊样式的。"
poke-ball,ultra-sun-ultra-moon,es-419,"Dispositivo con diseño capsular que atrapa
Pokémon salvajes. Se lanza como una bola
contra el blanco."
poke-ball,lets-go-pikachu-lets-go-eevee,ja-hrkt,"やせいの　ポケモンに　なげて
つかまえる　ための　ボール。
カプセルしきに　なっている。"
poke-ball,lets-go-pikachu-lets-go-eevee,ko,"야생 포켓몬에게 던져서
잡기 위한 볼.
캡슐식으로 되어 있다."
poke-ball,lets-go-pikachu-lets-go-eevee,zh-hant,"用於投向野生寶可夢
並將其捕捉的球。
它是膠囊樣式的。"
poke-ball,lets-go-pikachu-lets-go-eevee,fr,"Un objet semblable à une capsule, qui capture
les Pokémon sauvages. Il suffit pour cela de le lancer
comme une balle."
poke-ball,lets-go-pikachu-lets-go-eevee,de,"Damit fängst du wilde Pokémon. Du wirfst ihn wie
einen normalen Ball. Das Design ähnelt dem einer
Kapsel."
poke-ball,lets-go-pikachu-lets-go-eevee,es,"Dispositivo con diseño capsular que atrapa
Pokémon salvajes. Se lanza como una bola
contra el blanco."
