move,version_group,language,flavor_text
flail,legends-arceus,en,"The user flails about aimlessly to attack. The less HP the user has, the greater the move's power."
conversion-2,legends-arceus,en,The user changes its type to make itself resistant to the type of the attack the target used last.
aeroblast,legends-arceus,en,A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
cotton-spore,legends-arceus,en,"The user releases cotton-like spores that cling to opposing Pokémon, which harshly lowers their Speed stats."
reversal,legends-arceus,en,An all-out attack that becomes more powerful the less HP the user has.
spite,legends-arceus,en,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.
powder-snow,legends-arceus,en,The user attacks with a chilling gust of powdery snow. This may also leave the target with frostbite.
protect,legends-arceus,en,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
mach-punch,legends-arceus,en,The user throws a punch at blinding speed. This also raises the user's action speed.
scary-face,legends-arceus,en,The user frightens the target with a scary face to harshly lower its Speed stat.
sweet-kiss,legends-arceus,en,"The user kisses the target with a sweet, angelic cuteness that causes confusion."
belly-drum,legends-arceus,en,The user maximizes its Attack stat in exchange for HP equal to half its max HP.
sludge-bomb,legends-arceus,en,Unsanitary sludge is hurled at the target to deal damage. This may also poison the target.
mud-slap,legends-arceus,en,The user hurls mud in the target's face to inflict damage. Incoming moves also become more likely to miss.
spikes,legends-arceus,en,The user lays a trap of spikes at the target's feet. The spikes left behind by this attack continue to damage the target for several turns.
zap-cannon,legends-arceus,en,The user fires an electric blast like a cannon to inflict damage and cause paralysis.
destiny-bond,legends-arceus,en,"After using this move, if the user faints, the Pokémon that landed the knockout hit also faints. Its chance of failing rises if it is used in succession."
perish-song,legends-arceus,en,"Any Pokémon that hears this song faints in three turns, unless it switches out of battle."
icy-wind,legends-arceus,en,The user attacks with a gust of chilled air.
detect,legends-arceus,en,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
bone-rush,legends-arceus,en,The user strikes the target with a hard bone two to five times in a row.
lock-on,legends-arceus,en,The user takes sure aim at the target. This ensures the next attack does not miss the target.
outrage,legends-arceus,en,"The user attacks by going on a rampage, then becomes fixated on using this move."
sandstorm,legends-arceus,en,"A five-turn sandstorm is summoned to hurt all combatants except Rock, Ground, and Steel types. It raises the Sp. Def stat of Rock types."
giga-drain,legends-arceus,en,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
endure,legends-arceus,en,The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.
charm,legends-arceus,en,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target's Attack stat."
rollout,legends-arceus,en,"The user rolls into the target to deal damage, then becomes fixated on using this move."
false-swipe,legends-arceus,en,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
swagger,legends-arceus,en,"The user enrages and confuses the target. However, this also sharply raises the target's Attack stat."
milk-drink,legends-arceus,en,The user restores its own HP by up to half of its max HP.
spark,legends-arceus,en,The user throws an electrically charged tackle at the target to deal damage. This may also leave the target with paralysis.
fury-cutter,legends-arceus,en,The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.
steel-wing,legends-arceus,en,The target is hit with wings of steel. This may also raise the user's Defense stat.
mean-look,legends-arceus,en,"The user pins the target with a dark, arresting look. The target becomes unable to flee."
attract,legends-arceus,en,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
sleep-talk,legends-arceus,en,"While it is asleep, the user randomly uses one of the moves it knows."
heal-bell,legends-arceus,en,The user makes a soothing bell chime to heal the status conditions of all the party Pokémon.
present,legends-arceus,en,"The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes, however."
safeguard,legends-arceus,en,The user creates a protective field that prevents status conditions for five turns.
pain-split,legends-arceus,en,"The user adds its HP to the target's HP, then equally shares the combined HP with the target."
sacred-fire,legends-arceus,en,The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.
dynamic-punch,legends-arceus,en,"The user punches the target with full, concentrated power. This confuses the target if it hits."
megahorn,legends-arceus,en,"Using its tough and impressive horn, the user rams into the target to inflict damage."
dragon-breath,legends-arceus,en,The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.
baton-pass,legends-arceus,en,The user switches places with a party Pokémon in waiting and passes along any stat changes.
encore,legends-arceus,en,The user compels the target to keep using the move it encored for three turns.
rapid-spin,legends-arceus,en,"A spin attack that can also eliminate such moves as Bind, Wrap, and Leech Seed. This also raises the user's Speed stat."
sweet-scent,legends-arceus,en,A sweet scent that harshly lowers opposing Pokémon's evasiveness.
iron-tail,legends-arceus,en,The target is slammed with a steel-hard tail. This may also lower the target’s defensive stats.
metal-claw,legends-arceus,en,The target is raked with steel claws. This may also raise the user's Attack stat.
morning-sun,legends-arceus,en,The user restores its own HP. The amount of HP regained varies with the weather.
synthesis,legends-arceus,en,The user restores its own HP. The amount of HP regained varies with the weather.
moonlight,legends-arceus,en,The user restores its own HP. The amount of HP regained varies with the weather.
cross-chop,legends-arceus,en,The user delivers a double chop with its forearms crossed. Critical hits land more easily.
twister,legends-arceus,en,The user whips up a vicious tornado to tear at the target.
rain-dance,legends-arceus,en,"The user summons a heavy rain that falls for five turns, powering up Water-type moves. It lowers the power of Fire-type moves."
sunny-day,legends-arceus,en,"The user intensifies the sun for five turns, powering up Fire-type moves. It lowers the power of Water-type moves."
crunch,legends-arceus,en,The user crunches up the target with sharp fangs. This may also lower the target's defensive stats.
mirror-coat,legends-arceus,en,"A retaliation move that counters any special attack, inflicting double the damage taken."
psych-up,legends-arceus,en,The user hypnotizes itself into copying any stat change made by the target.
extreme-speed,legends-arceus,en,The user charges the target at blinding speed. This move always goes first.
ancient-power,legends-arceus,en,The user attacks with a primeval power. This may also raise the user's offensive and defensive stats.
shadow-ball,legends-arceus,en,The user hurls a shadowy blob at the target to deal damage. This may also lower the target’s defensive stats.
future-sight,legends-arceus,en,"Two turns after this move is used, a hunk of psychic energy attacks the target."
rock-smash,legends-arceus,en,The user attacks with a punch. This may also lower the target’s defensive stats.
whirlpool,legends-arceus,en,The user traps the target in a violent swirling whirlpool for four to five turns.
beat-up,legends-arceus,en,"The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks."
fake-out,legends-arceus,en,This attack hits first and makes the target flinch. It only works the first turn each time the user enters battle.
uproar,legends-arceus,en,"The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep."
stockpile,legends-arceus,en,The user charges up power and raises both its Defense and Sp. Def stats. The move can be used three times.
spit-up,legends-arceus,en,"The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the move's power."
swallow,legends-arceus,en,The power stored using the move Stockpile is absorbed by the user to heal its HP. Storing more power heals more HP.
heat-wave,legends-arceus,en,The user attacks by exhaling hot breath on opposing Pokémon. This may also leave those Pokémon with a burn.
torment,legends-arceus,en,"The user torments and enrages the target, making it incapable of using the same move twice in a row."
flatter,legends-arceus,en,"Flattery is used to confuse the target. However, this also raises the target's Sp. Atk stat."
will-o-wisp,legends-arceus,en,The user shoots a sinister flame at the target to inflict a burn.
memento,legends-arceus,en,"The user faints when using this move. In return, this harshly lowers the target's Attack and Sp. Atk stats."
facade,legends-arceus,en,"This attack move doubles its power if the user is poisoned, burned, or paralyzed."
focus-punch,legends-arceus,en,The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.
follow-me,legends-arceus,en,"The user draws attention to itself, making all targets take aim only at the user."
charge,legends-arceus,en,The user boosts the power of the Electric move it uses on the next turn. This also raises the user's Sp. Def stat.
taunt,legends-arceus,en,The target is taunted into a rage that allows it to use only attack moves for three turns.
helping-hand,legends-arceus,en,The user assists an ally by boosting the power of that ally's attack.
trick,legends-arceus,en,The user catches the target off guard and swaps its held item with its own.
role-play,legends-arceus,en,"The user mimics the target completely, copying the target's Ability."
wish,legends-arceus,en,"One turn after this move is used, the user's or its replacement's HP is restored by half the user's max HP."
ingrain,legends-arceus,en,"The user lays roots that restore its HP on every turn. Because it's rooted, it can't switch out."
superpower,legends-arceus,en,"The user attacks the target with great power. However, this also lowers the user's Attack and Defense stats."
recycle,legends-arceus,en,The user recycles a held item that has been used in battle so it can be used again.
brick-break,legends-arceus,en,"The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect."
yawn,legends-arceus,en,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.
knock-off,legends-arceus,en,"The user slaps down the target's held item, and that item can't be used in that battle. The move does more damage if the target has a held item."
endeavor,legends-arceus,en,This attack move cuts down the target's HP to equal the user's HP.
eruption,legends-arceus,en,"The user attacks opposing Pokémon with explosive fury. The lower the user's HP, the lower the move's power."
skill-swap,legends-arceus,en,The user employs its psychic power to exchange Abilities with the target.
imprison,legends-arceus,en,"If opposing Pokémon know any move also known by the user, they are prevented from using it."
dive,legends-arceus,en,"Diving on the first turn, the user floats up and attacks on the next turn."
arm-thrust,legends-arceus,en,The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.
tail-glow,legends-arceus,en,"The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat."
luster-purge,legends-arceus,en,The user lets loose a damaging burst of light. This may also lower the target's Sp. Def stat.
mist-ball,legends-arceus,en,A mist-like flurry of down envelops and damages the target. This may also lower the target's Sp. Atk stat.
feather-dance,legends-arceus,en,The user covers the target's body with a mass of down that harshly lowers its Attack stat.
teeter-dance,legends-arceus,en,The user performs a wobbly dance that confuses the Pokémon around it.
blaze-kick,legends-arceus,en,The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.
slack-off,legends-arceus,en,"The user slacks off, restoring its own HP by up to half of its max HP."
hyper-voice,legends-arceus,en,The user lets loose a horribly echoing shout with the power to inflict damage.
poison-fang,legends-arceus,en,The user bites the target with toxic fangs. This may also leave the target badly poisoned.
crush-claw,legends-arceus,en,The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat.
meteor-mash,legends-arceus,en,The target is hit with a hard punch fired like a meteor. This may also raise the user's Attack stat.
astonish,legends-arceus,en,The user attacks the target while crying out in a startling fashion.
weather-ball,legends-arceus,en,This attack move varies in power and type depending on the weather.
aromatherapy,legends-arceus,en,The user releases a soothing scent that heals all status conditions affecting the user's party.
fake-tears,legends-arceus,en,"The user feigns crying to fluster the target, harshly lowering its Sp. Def stat."
air-cutter,legends-arceus,en,The user launches razor-like wind to slash the target. This move has a heightened chance of landing a critical hit.
overheat,legends-arceus,en,The user attacks the target at full power. The recoil from this move lowers the user’s offensive stats.
rock-tomb,legends-arceus,en,Boulders are hurled at the target. This also lowers the target's Speed stat by preventing its movement.
metal-sound,legends-arceus,en,A horrible sound like scraping metal harshly lowers the target's Sp. Def stat.
tickle,legends-arceus,en,"The user tickles the target into laughing, reducing its Attack and Defense stats."
cosmic-power,legends-arceus,en,The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.
water-spout,legends-arceus,en,"The user spouts water to damage opposing Pokémon. The lower the user's HP, the lower the move's power."
shadow-punch,legends-arceus,en,The user throws a punch from the shadows. This attack never misses.
extrasensory,legends-arceus,en,"The user attacks with an odd, unseeable power."
sand-tomb,legends-arceus,en,The user traps the target inside a harshly raging sandstorm for four to five turns.
muddy-water,legends-arceus,en,The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.
bullet-seed,legends-arceus,en,The user forcefully shoots seeds at the target two to five times in a row.
aerial-ace,legends-arceus,en,"The user confounds the target with speed, then slashes. This attack never misses."
icicle-spear,legends-arceus,en,The user launches sharp icicles at the target two to five times in a row.
iron-defense,legends-arceus,en,"The user hardens its body's surface like iron, raising its defensive stats."
block,legends-arceus,en,The user blocks the target's way with arms spread wide to prevent escape.
howl,legends-arceus,en,The user howls loudly to raise the spirit of itself and allies. This raises their Attack stats.
dragon-claw,legends-arceus,en,"The user slashes the target with huge, sharp claws. This move has a heightened chance of landing a critical hit."
frenzy-plant,legends-arceus,en,The user slams the target with the roots of an enormous tree. The user can't move on the next turn.
bulk-up,legends-arceus,en,"The user tenses its muscles to bulk up its body, raising its offensive and defensive stats."
bounce,legends-arceus,en,"The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis."
mud-shot,legends-arceus,en,The user attacks by hurling a blob of mud at the target. This also lowers the target's Speed stat.
poison-tail,legends-arceus,en,The user hits the target with its tail. This may also poison the target. Critical hits land more easily.
covet,legends-arceus,en,"The user endearingly approaches the target, then steals the target's held item."
magical-leaf,legends-arceus,en,The user scatters curious leaves that chase the target. This attack never misses.
calm-mind,legends-arceus,en,The user quietly focuses its mind and calms its spirit to raise its offensive and defensive stats.
leaf-blade,legends-arceus,en,The user handles a sharp leaf like a sword and attacks by cutting its target. This move has a heightened chance of landing a critical hit.
dragon-dance,legends-arceus,en,"The user vigorously performs a mystic, powerful dance that raises its Attack and Speed stats."
rock-blast,legends-arceus,en,The user hurls hard rocks at the target. Two to five rocks are launched in a row.
shock-wave,legends-arceus,en,The user strikes the target with a quick jolt of electricity. This attack never misses.
water-pulse,legends-arceus,en,The user attacks the target with a pulsing blast of water. This attack never misses.
doom-desire,legends-arceus,en,"Two turns after this move is used, a concentrated bundle of light blasts the target."
psycho-boost,legends-arceus,en,The user attacks the target at full power. The attack's recoil harshly lowers the user's Sp. Atk stat.
roost,legends-arceus,en,The user lands and rests its body. This move restores the user's HP.
gravity,legends-arceus,en,This move enables Flying-type Pokémon or Pokémon with the Levitate Ability to be hit by Ground-type moves. Moves that involve flying can't be used.
hammer-arm,legends-arceus,en,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however."
gyro-ball,legends-arceus,en,"The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move's power."
healing-wish,legends-arceus,en,"The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured."
brine,legends-arceus,en,"If the target's HP is half or less, this attack will hit with double the power."
feint,legends-arceus,en,This attack hits a target using a move such as Protect or Detect. This also lifts the effects of those moves.
pluck,legends-arceus,en,"The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect."
tailwind,legends-arceus,en,The user whips up a turbulent whirlwind that ups the Speed stats of the user and its allies for four turns.
acupressure,legends-arceus,en,"The user applies pressure to stress points, sharply boosting one of its or its allies' stats."
metal-burst,legends-arceus,en,The user retaliates with much greater force against the opponent that last inflicted damage on it.
u-turn,legends-arceus,en,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
close-combat,legends-arceus,en,"The user fights the target up close, inflicting damage without guarding itself. This also lowers the user's defensive stats."
payback,legends-arceus,en,"The user stores power, then attacks. If the user moves after the target, this attack's power will be doubled."
assurance,legends-arceus,en,"If the target has already taken some damage in the same turn, this attack's power is doubled."
fling,legends-arceus,en,The user flings its held item at the target to attack. This move's power and effects depend on the item.
power-trick,legends-arceus,en,The user employs its psychic power to switch its Attack stat with its Defense stat.
gastro-acid,legends-arceus,en,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target's Ability.
copycat,legends-arceus,en,The user mimics the move used immediately before it. The move fails if no other move has been used yet.
power-swap,legends-arceus,en,The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.
guard-swap,legends-arceus,en,The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.
last-resort,legends-arceus,en,This move can be used only after the user has used all the other moves it knows in the battle.
worry-seed,legends-arceus,en,A seed that causes worry is planted on the target. It prevents sleep by making the target's Ability Insomnia.
sucker-punch,legends-arceus,en,This move enables the user to attack first. This move fails if the target is not readying an attack.
toxic-spikes,legends-arceus,en,The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle.
heart-swap,legends-arceus,en,The user employs its psychic power to switch stat changes with the target.
aqua-ring,legends-arceus,en,The user envelops itself in a veil made of water. It regains some HP every turn.
magnet-rise,legends-arceus,en,The user levitates using electrically generated magnetism for five turns.
flare-blitz,legends-arceus,en,The user cloaks itself in fire and charges the target to inflict damage. This also damages the user and may leave the target with a burn.
force-palm,legends-arceus,en,The target is attacked with a shock wave. This may also leave the target with paralysis.
aura-sphere,legends-arceus,en,The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.
rock-polish,legends-arceus,en,The user polishes its body to reduce drag. This sharply raises the Speed stat.
