species,form,version_group,version,language,flavor_text
1,,x-y,x,ja-hrkt,"うまれたときから　せなかに
ふしぎな　タネが　うえてあって
からだと　ともに　そだつという。"
1,,x-y,x,ko,"태어났을 때부터 등에
이상한 씨앗이 심어져 있으며
몸과 함께 자란다고 한다."
1,,x-y,x,fr,"Il a une étrange graine plantée sur son dos.
Elle grandit avec lui depuis sa naissance."
1,,x-y,x,de,"Dieses Pokémon trägt von Geburt an einen Samen
auf dem Rücken, der mit ihm keimt und wächst."
1,,x-y,x,es,"Una rara semilla le fue plantada en el lomo al nacer.
La planta brota y crece con este Pokémon."
1,,x-y,x,it,"Alla nascita gli è stato piantato sulla schiena un seme
raro. La pianta sboccia e cresce con lui."
1,,x-y,x,en,"A strange seed was planted on its back at birth.
The plant sprouts and grows with this Pokémon."
1,,x-y,x,ja,"生まれたときから　背中に
不思議な　タネが　植えてあって
体と　ともに　育つという。"
1,,x-y,x,es-419,"Una rara semilla le fue plantada en el lomo al nacer.
La planta brota y crece con este Pokémon."
1,,x-y,y,ja-hrkt,"うまれてから　しばらくの　あいだは
せなかの　タネから　えいようを
もらって　おおきく　そだつ。"
1,,x-y,y,ko,"태어나서부터 얼마 동안은
등의 씨앗으로부터 영양을
공급받아 크게 성장한다."
1,,x-y,y,fr,"Au matin de sa vie, la graine sur son dos lui fournit
les éléments dont il a besoin pour grandir."
1,,x-y,y,de,"Nach der Geburt nimmt es für eine Weile Nährstoffe
über den Samen auf seinem Rücken auf."
1,,x-y,y,es,"Después de nacer, crece alimentándose de las
semillas de su lomo."
1,,x-y,y,it,"Dopo la nascita, cresce traendo nutrimento dal seme
piantato sul suo dorso."
1,,x-y,y,en,"For some time after its birth, it grows by gaining
nourishment from the seed on its back."
1,,x-y,y,ja,"生まれてから　しばらくの　あいだは
背中の　タネから　栄養を　もらって
大きく　育つ。"
1,,x-y,y,es-419,"Después de nacer, crece alimentándose de las
semillas de su lomo."
1,,omega-ruby-alpha-sapphire,omega-ruby,ja-hrkt,"ひなたで　ひるねを　する　すがたを　みかける。
たいようの　ひかりを　いっぱい　あびることで
せなかの　タネが　おおきく　そだつのだ。"
1,,omega-ruby-alpha-sapphire,omega-ruby,ko,"양지에서 낮잠 자는 모습을 볼 수 있다.
태양의 빛을 많이 받으면
등의 씨앗이 크게 자란다."
1,,omega-ruby-alpha-sapphire,omega-ruby,fr,"Bulbizarre passe son temps à faire la sieste sous le soleil.
Il y a une graine sur son dos. Il absorbe les rayons du soleil
pour faire doucement pousser la graine."
1,,omega-ruby-alpha-sapphire,omega-ruby,de,"Bisasam macht gern einmal ein Nickerchen im
Sonnenschein. Auf seinem Rücken trägt es einen
Samen. Indem es Sonnenstrahlen aufsaugt,
wird der Samen zunehmend größer."
1,,omega-ruby-alpha-sapphire,omega-ruby,es,"A Bulbasaur es fácil verle echándose una siesta al sol.
La semilla que tiene en el lomo va creciendo cada vez más
a medida que absorbe los rayos del sol."
1,,omega-ruby-alpha-sapphire,omega-ruby,it,"È possibile vedere Bulbasaur mentre schiaccia un pisolino
sotto il sole. Ha un seme piantato sulla schiena. Grazie ai
raggi solari il seme cresce ingrandendosi progressivamente."
1,,omega-ruby-alpha-sapphire,omega-ruby,en,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger."
1,,omega-ruby-alpha-sapphire,omega-ruby,ja,"日なたで　昼寝を　する　姿を　見かける。
太陽の　光を　いっぱい　浴びることで
背中の　タネが　大きく　育つのだ。"
1,,omega-ruby-alpha-sapphire,omega-ruby,es-419,"A Bulbasaur es fácil verle echándose una siesta al sol.
La semilla que tiene en el lomo va creciendo cada vez más
a medida que absorbe los rayos del sol."
1,,omega-ruby-alpha-sapphire,alpha-sapphire,ja-hrkt,"ひなたで　ひるねを　する　すがたを　みかける。
たいようの　ひかりを　いっぱい　あびることで
せなかの　タネが　おおきく　そだつのだ。"
1,,omega-ruby-alpha-sapphire,alpha-sapphire,ko,"양지에서 낮잠 자는 모습을 볼 수 있다.
태양의 빛을 많이 받으면
등의 씨앗이 크게 자란다."
1,,omega-ruby-alpha-sapphire,alpha-sapphire,fr,"Bulbizarre passe son temps à faire la sieste sous le soleil.
Il y a une graine sur son dos. Il absorbe les rayons du soleil
pour faire doucement pousser la graine."
1,,omega-ruby-alpha-sapphire,alpha-sapphire,de,"Bisasam macht gern einmal ein Nickerchen im
Sonnenschein. Auf seinem Rücken trägt es einen
Samen. Indem es Sonnenstrahlen aufsaugt,
wird er zunehmend größer."
1,,omega-ruby-alpha-sapphire,alpha-sapphire,es,"A Bulbasaur es fácil verle echándose una siesta al sol.
La semilla que tiene en el lomo va creciendo cada vez más
a medida que absorbe los rayos del sol."
1,,omega-ruby-alpha-sapphire,alpha-sapphire,it,"È possibile vedere Bulbasaur mentre schiaccia un pisolino
sotto il sole. Ha un seme piantato sulla schiena. Grazie ai
raggi solari il seme cresce ingrandendosi progressivamente."
1,,omega-ruby-alpha-sapphire,alpha-sapphire,en,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger."
1,,omega-ruby-alpha-sapphire,alpha-sapphire,ja,"日なたで　昼寝を　する　姿を　見かける。
太陽の　光を　いっぱい　浴びることで
背中の　タネが　大きく　育つのだ。"
1,,omega-ruby-alpha-sapphire,alpha-sapphire,es-419,"A Bulbasaur es fácil verle echándose una siesta al sol.
La semilla que tiene en el lomo va creciendo cada vez más
a medida que absorbe los rayos del sol."
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,ja-hrkt,"なんにちだって　なにも　たべなくても
げんき！　せなかのタネに　たくさん
えいようが　あるから　へいきだ！"
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,ko,"며칠 동안 아무것도 먹지 않아도
건강하다! 등에 있는 씨앗에는
많은 영양분이 있어서 문제없다!"
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,zh-hant,"背上的種子裡存著很多營養，
所以就算好幾天不吃東西
也能活得好好的！"
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,fr,"Il peut survivre plusieurs jours sans manger
grâce aux nutriments contenus dans le bulbe
sur son dos."
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,de,"Es kommt tagelang ohne Nahrung aus, da es
in den Samen auf seinem Rücken Nährstoffe
speichert."
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,es,"Puede sobrevivir largo tiempo sin probar
bocado gracias a los nutrientes que guarda
en el bulbo del lomo."
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,it,"Questo Pokémon può stare a lungo senza
mangiare. Accumula energia nel bulbo che
ha sulla schiena."
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,en,"It can go for days without eating a single morsel.
In the bulb on its back, it stores energy."
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,ja,"何日だって　なにも　食べなくても
元気！　背中のタネに　たくさん
栄養が　あるから　平気だ！"
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,zh-hans,"背上的种子里储存着营养，
所以即使好几天不吃东西
也可以活得好好的！"
1,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,es-419,"Puede sobrevivir largo tiempo sin probar
bocado gracias a los nutrientes que guarda
en el bulbo del lomo."
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,ja-hrkt,"なんにちだって　なにも　たべなくても
げんき！　せなかのタネに　たくさん
えいようが　あるから　へいきだ！"
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,ko,"며칠 동안 아무것도 먹지 않아도
건강하다! 등에 있는 씨앗에는
많은 영양분이 있어서 문제없다!"
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,zh-hant,"背上的種子裡存著很多營養，
所以就算好幾天不吃東西
也能活得好好的！"
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,fr,"Il peut survivre plusieurs jours sans manger
grâce aux nutriments contenus dans le bulbe
sur son dos."
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,de,"Es kommt tagelang ohne Nahrung aus, da es
in den Samen auf seinem Rücken Nährstoffe
speichert."
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,es,"Puede sobrevivir largo tiempo sin probar
bocado gracias a los nutrientes que guarda
en el bulbo del lomo."
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,it,"Questo Pokémon può stare a lungo senza
mangiare. Accumula energia nel bulbo che
ha sulla schiena."
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,en,"It can go for days without eating a single morsel.
In the bulb on its back, it stores energy."
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,ja,"何日だって　なにも　食べなくても
元気！　背中のタネに　たくさん
栄養が　あるから　平気だ！"
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,zh-hans,"背上的种子里储存着营养，
所以即使好几天不吃东西
也可以活得好好的！"
1,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,es-419,"Puede sobrevivir largo tiempo sin probar
bocado gracias a los nutrientes que guarda
en el bulbo del lomo."
1,,sword-shield,sword,ja-hrkt,"うまれたときから　せなかに
しょくぶつの　タネが　あって
すこしずつ　おおきく　そだつ。"
1,,sword-shield,sword,ko,"태어났을 때부터 등에
식물의 씨앗이 있으며
조금씩 크게 자란다."
1,,sword-shield,sword,zh-hant,"從出生的時候開始
背上就有一顆植物種子。
這顆種子會漸漸地長大。"
1,,sword-shield,sword,fr,"Il y a une graine sur son dos depuis sa naissance.
Elle grossit un peu chaque jour."
1,,sword-shield,sword,de,"Dieses Pokémon trägt von Geburt an einen
Samen auf dem Rücken, der im Laufe der Zeit
keimt und wächst."
1,,sword-shield,sword,es,"Este Pokémon nace con una semilla en el lomo,
que brota con el paso del tiempo."
1,,sword-shield,sword,it,"Fin dalla nascita questo Pokémon ha sulla schiena
un seme che cresce lentamente."
1,,sword-shield,sword,en,"There is a plant seed on its back right from the
day this Pokémon is born. The seed slowly
grows larger."
1,,sword-shield,sword,ja,"生まれたときから　背中に
植物の　タネが　あって
少しずつ　大きく　育つ。"
1,,sword-shield,sword,zh-hans,"从出生的时候开始，
背上就有一颗植物种子。
这颗种子会渐渐地长大。"
1,,sword-shield,sword,es-419,"Este Pokémon nace con una semilla en el lomo,
que brota con el paso del tiempo."
1,,sword-shield,shield,ja-hrkt,"うまれて　しばらくの　あいだ
せなかの　タネに　つまった
えいようを　とって　そだつ。"
1,,sword-shield,shield,ko,"태어나서 얼마 동안
등의 씨앗에 담긴
영양을 섭취하며 자란다."
1,,sword-shield,shield,zh-hant,"在出生後的一段時間內，
牠會吸收背上種子裡
儲存著的營養成長。"
1,,sword-shield,shield,fr,"Quand il est jeune, il absorbe les nutriments
conservés dans son dos pour grandir
et se développer."
1,,sword-shield,shield,de,"Nach der Geburt nimmt es für eine Weile
Nährstoffe über den Samen auf seinem
Rücken auf."
1,,sword-shield,shield,es,"Desde que nace, crece alimentándose de los
nutrientes que contiene la semilla de su lomo."
1,,sword-shield,shield,it,"Appena nato, trae nutrimento dalle sostanze
contenute nel seme sul dorso."
1,,sword-shield,shield,en,"While it is young, it uses the nutrients that are
stored in the seed on its back in order to grow."
1,,sword-shield,shield,ja,"生まれて　しばらくの　あいだ
背中の　タネに　つまった
栄養を　とって　育つ。"
1,,sword-shield,shield,zh-hans,"在出生后的一段时间内，
它会吸收背上种子里
储存着的营养成长。"
1,,sword-shield,shield,es-419,"Desde que nace, crece alimentándose de los
nutrientes que contiene la semilla de su lomo."
2,,red-blue,red,en,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs."
2,,red-blue,blue,en,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs."
2,,yellow,yellow,en,"The bulb on its
back grows by
drawing energy.It gives off an
aroma when it is
ready to bloom."
2,,gold-silver,gold,en,"Exposure to sun­
light adds to its
strength. Sunlightalso makes the bud
on its back grow
larger."
2,,gold-silver,silver,en,"If the bud on its
back starts to
smell sweet, itis evidence that
the large flower
will soon bloom."
2,,crystal,crystal,en,"The bulb on its
back grows as it
absorbs nutrients.The bulb gives off
a pleasant aroma
when it blooms."
2,,ruby-sapphire,ruby,en,"There is a bud on this POKéMON’s back.
To support its weight, IVYSAUR’s legs
and trunk grow thick and strong.If it starts spending more time lying
in the sunlight, it’s a sign that the
bud will bloom into a large flower soon."
2,,ruby-sapphire,sapphire,en,"There is a bud on this POKéMON’s back.
To support its weight, IVYSAUR’s legs
and trunk grow thick and strong.If it starts spending more time lying
in the sunlight, it’s a sign that the
bud will bloom into a large flower soon."
2,,emerald,emerald,en,"To support its bulb, IVYSAUR’s legs
grow sturdy. If it spends more time lying in
the sunlight, the bud will soon bloom into
a large flower."
2,,firered-leafgreen,firered,en,"There is a plant bulb on its back.
When it absorbs nutrients, the bulb is said
to blossom into a large flower."
2,,firered-leafgreen,leafgreen,en,"When the bulb on its back grows large, it
appears to lose the ability to stand on
its hind legs."
2,,diamond-pearl,diamond,en,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
2,,diamond-pearl,pearl,en,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
2,,platinum,platinum,en,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
2,,heartgold-soulsilver,heartgold,en,"Exposure to sunlight adds to its
strength. Sunlight also makes the
bud on its back grow larger."
2,,heartgold-soulsilver,soulsilver,en,"If the bud on its back starts to
smell sweet, it is evidence that
the large flower will soon bloom."
2,,black-white,black,fr,"Lorsque le bourgeon sur son dos
éclot, il répand un doux parfum
pour célébrer sa floraison."
2,,black-white,black,en,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
2,,black-white,white,fr,"Lorsque le bourgeon sur son dos
éclot, il répand un doux parfum
pour célébrer sa floraison."
2,,black-white,white,en,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
2,,black-2-white-2,black-2,en,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
2,,black-2-white-2,white-2,en,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
2,,x-y,x,ja-hrkt,"つぼみが　せなかに　ついていて
ようぶんを　きゅうしゅうしていくと
おおきな　はなが　さくという。"
2,,x-y,x,ko,"꽃봉오리가 등에 붙어 있으며
양분을 흡수해가면
커다란 꽃이 핀다고 한다."
2,,x-y,x,fr,"Il y a un bulbe sur son dos. On dit que s’il absorbe
assez de nutriments, ce bulbe se transforme en
une jolie fleur."
2,,x-y,x,de,"Es trägt eine Knospe auf seinem Rücken. Nimmt es
Nahrung zu sich, soll aus der Knospe eine große
blühende Blume werden."
2,,x-y,x,es,"Este Pokémon tiene un bulbo en el lomo. Dicen que,
al absorber nutrientes, el bulbo se transforma en una
flor grande."
2,,x-y,x,it,"Dopo aver assorbito sufficienti sostanze nutrienti,
il bulbo sulla schiena sboccia in un magnifico fiore."
2,,x-y,x,en,"There is a plant bulb on its back.
When it absorbs nutrients, the bulb is said to
blossom into a large flower."
2,,x-y,x,ja,"つぼみが　背中に　ついていて
養分を　吸収していくと
大きな　花が　咲くという。"
2,,x-y,x,es-419,"Este Pokémon tiene un bulbo en el lomo. Dicen que,
al absorber nutrientes, el bulbo se transforma en una
flor grande."
2,,x-y,y,ja-hrkt,"せなかの　つぼみが　ふくらみだすと
あまい　においが　ただよいはじめる。
たいりんの　はなが　さく　まえぶれ。"
2,,x-y,y,ko,"등의 봉오리가 부풀어 오르면
달콤한 냄새가 감돌기 시작한다.
큰 꽃이 필 조짐이다."
2,,x-y,y,fr,"Lorsque le bourgeon sur son dos éclot, il répand
un doux parfum pour célébrer sa floraison."
2,,x-y,y,de,"Sobald die Knospe auf seinem Rücken ein süßes
Aroma abgibt, steht die Blüte kurz bevor."
2,,x-y,y,es,"Cuando el bulbo de su lomo se hincha, desprende un
dulce aroma para indicar el florecimiento."
2,,x-y,y,it,"Quando il bocciolo che ha sul dorso si gonfia, emana
un dolce profumo. È indice dell’imminente fioritura."
2,,x-y,y,en,"When the bud on its back starts swelling, a sweet
aroma wafts to indicate the flower’s coming bloom."
2,,x-y,y,ja,"背中の　つぼみが　ふくらみ出すと
甘い　においが　漂いはじめる。
大輪の　花が　咲く　前触れ。"
2,,x-y,y,es-419,"Cuando el bulbo de su lomo se hincha, desprende un
dulce aroma para indicar el florecimiento."
2,,omega-ruby-alpha-sapphire,omega-ruby,ja-hrkt,"つぼみを　ささえるため　あしこしが　つよくなる。
ひなたで　じっとする　じかんが　ながくなれば
いよいよ　たいりんの　はなが　さくころだ。"
2,,omega-ruby-alpha-sapphire,omega-ruby,ko,"꽃봉오리를 지탱하기 위해 하반신이 강해진다.
양지에서 가만히 있는 시간이 길어지면
드디어 커다란 꽃이 필 때다."
2,,omega-ruby-alpha-sapphire,omega-ruby,fr,"Un bourgeon a poussé sur le dos de ce Pokémon. Pour en
supporter le poids, Herbizarre a dû se muscler les pattes.
Lorsqu’il commence à se prélasser au soleil, ça signifie que
son bourgeon va éclore, donnant naissance à une fleur."
2,,omega-ruby-alpha-sapphire,omega-ruby,de,"Bisaknosp hat eine Knospe auf seinem Rücken.
Beine und Rumpf sind kräftig genug, um sein Gewicht
zu tragen. Wenn es lange in der Sonne liegt, ist das
ein Anzeichen dafür, dass die Knospe bald blüht."
2,,omega-ruby-alpha-sapphire,omega-ruby,es,"Este Pokémon lleva un bulbo en el lomo y, para poder con
su peso, tiene unas patas y un tronco gruesos y fuertes.
Si empieza a pasar más tiempo al sol, será porque el bulbo
está a punto de hacerse una flor grande."
2,,omega-ruby-alpha-sapphire,omega-ruby,it,"C’è un germoglio piantato nella schiena di Ivysaur.
Per sopportarne il peso, le zampe e il corpo crescono robusti.
Quando inizia a passare più tempo esposto al sole, significa
che il germoglio sboccerà presto in un grande fiore."
2,,omega-ruby-alpha-sapphire,omega-ruby,en,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon."
2,,omega-ruby-alpha-sapphire,omega-ruby,ja,"つぼみを　支えるため　足腰が　強くなる。
日なたで　じっとする　時間が　長くなれば
いよいよ　大輪の　花が　咲くころだ。"
2,,omega-ruby-alpha-sapphire,omega-ruby,es-419,"Este Pokémon lleva un bulbo en el lomo y, para poder con
su peso, tiene unas patas y un tronco gruesos y fuertes.
Si empieza a pasar más tiempo al sol, será porque el bulbo
está a punto de hacerse una flor grande."
2,,omega-ruby-alpha-sapphire,alpha-sapphire,ja-hrkt,"つぼみを　ささえるため　あしこしが　つよくなる。
ひなたで　じっとする　じかんが　ながくなれば
いよいよ　たいりんの　はなが　さくころだ。"
2,,omega-ruby-alpha-sapphire,alpha-sapphire,ko,"꽃봉오리를 지탱하기 위해 하반신이 강해진다.
양지에서 가만히 있는 시간이 길어지면
드디어 커다란 꽃이 필 때다."
2,,omega-ruby-alpha-sapphire,alpha-sapphire,fr,"Un bourgeon a poussé sur le dos de ce Pokémon. Pour en
supporter le poids, Herbizarre a dû se muscler les pattes.
Lorsqu’il commence à se prélasser au soleil, ça signifie que
son bourgeon va éclore, donnant naissance à une fleur."
2,,omega-ruby-alpha-sapphire,alpha-sapphire,de,"Bisaknosp hat eine Knospe auf seinem Rücken. Seine Beine
und sein Stamm sind kräftig genug, um sein Gewicht zu tragen.
Wenn es lange in der Sonne liegt, ist das ein Anzeichen dafür,
dass die Knospe bald blüht."
2,,omega-ruby-alpha-sapphire,alpha-sapphire,es,"Este Pokémon lleva un bulbo en el lomo y, para poder con
su peso, tiene unas patas y un tronco gruesos y fuertes.
Si empieza a pasar más tiempo al sol, será porque el bulbo
está a punto de hacerse una flor grande."
2,,omega-ruby-alpha-sapphire,alpha-sapphire,it,"C’è un germoglio piantato nella schiena di Ivysaur.
Per sopportarne il peso, le zampe e il corpo crescono robusti.
Quando inizia a passare più tempo esposto al sole, significa
che il germoglio sboccerà presto in un grande fiore."
2,,omega-ruby-alpha-sapphire,alpha-sapphire,en,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon."
2,,omega-ruby-alpha-sapphire,alpha-sapphire,ja,"つぼみを　支えるため　足腰が　強くなる。
日なたで　じっとする　時間が　長くなれば
いよいよ　大輪の　花が　咲くころだ。"
2,,omega-ruby-alpha-sapphire,alpha-sapphire,es-419,"Este Pokémon lleva un bulbo en el lomo y, para poder con
su peso, tiene unas patas y un tronco gruesos y fuertes.
Si empieza a pasar más tiempo al sol, será porque el bulbo
está a punto de hacerse una flor grande."
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,ja-hrkt,"ようぶんを　とって　おおきくなった
つぼみから　かおりが　ただよいだすと
もうすぐ　ハナがひらく　しょうこだ。"
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,ko,"양분을 흡수해서 커진 봉오리에서
향기가 나기 시작하면
곧 꽃이 핀다는 증거다."
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,zh-hant,"在吸收了養分後，
變大的花苞開始飄出香氣時，
就表示快要開花了。"
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,fr,"En emmagasinant de l’énergie, son bulbe grossit.
Un arôme en émane quand il s’apprête à éclore."
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,de,"Die Knospe auf seinem Rücken wächst, indem
sie Nährstoffe absorbiert. Kurz vor der Blüte
sondert sie einen Duft ab."
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,es,"Su bulbo crece a medida que absorbe nutrientes.
Desprende un cierto aroma cuando está a punto
de florecer."
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,it,"Il suo bocciolo cresce assorbendo nutrimento e,
quando è prossimo alla fioritura, emana un
forte profumo."
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,en,"The bud on its back grows by drawing energy. It
gives off an aroma when it is ready to bloom."
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,ja,"養分を　摂って　大きくなった
つぼみから　香りが　漂いだすと
もうすぐ　ハナが開く　証拠だ。"
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,zh-hans,"它的花苞会在吸收养分后
长大。当花苞发出香味时，
就预示着它快要开花了。"
2,,lets-go-pikachu-lets-go-eevee,lets-go-pikachu,es-419,"Su bulbo crece a medida que absorbe nutrientes.
Desprende un cierto aroma cuando está a punto
de florecer."
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,ja-hrkt,"ようぶんを　とって　おおきくなった
つぼみから　かおりが　ただよいだすと
もうすぐ　ハナがひらく　しょうこだ。"
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,ko,"양분을 흡수해서 커진 봉오리에서
향기가 나기 시작하면
곧 꽃이 핀다는 증거다."
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,zh-hant,"在吸收了養分後，
變大的花苞開始飄出香氣時，
就表示快要開花了。"
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,fr,"En emmagasinant de l’énergie, son bulbe grossit.
Un arôme en émane quand il s’apprête à éclore."
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,de,"Die Knospe auf seinem Rücken wächst, indem
sie Nährstoffe absorbiert. Kurz vor der Blüte
sondert sie einen Duft ab."
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,es,"Su bulbo crece a medida que absorbe nutrientes.
Desprende un cierto aroma cuando está a punto
de florecer."
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,it,"Il suo bocciolo cresce assorbendo nutrimento e,
quando è prossimo alla fioritura, emana un
forte profumo."
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,en,"The bud on its back grows by drawing energy. It
gives off an aroma when it is ready to bloom."
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,ja,"養分を　摂って　大きくなった
つぼみから　香りが　漂いだすと
もうすぐ　ハナが開く　証拠だ。"
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,zh-hans,"它的花苞会在吸收养分后
长大。当花苞发出香味时，
就预示着它快要开花了。"
2,,lets-go-pikachu-lets-go-eevee,lets-go-eevee,es-419,"Su bulbo crece a medida que absorbe nutrientes.
Desprende un cierto aroma cuando está a punto
de florecer."
2,,sword-shield,sword,ja-hrkt,"せなかの　つぼみが　おおきく
そだってくると　２ほんあしで
たつことが　できなくなるらしい。"
2,,sword-shield,sword,ko,"등에 있는 봉오리가 크게
자라면 두 다리로
설 수 없게 되는 듯하다."
2,,sword-shield,sword,zh-hant,"當背上的花苞長大之後，
牠似乎就無法再用兩隻腳
站立起來了。"
2,,sword-shield,sword,fr,"Son bulbe dorsal est devenu si gros qu’il ne peut
plus se tenir sur ses pattes postérieures."
2,,sword-shield,sword,de,"Sobald die Knospe auf seinem Rücken groß wird,
kann Bisaknosp nicht mehr auf zwei Beinen
stehen."
2,,sword-shield,sword,es,"Cuando le crece bastante el bulbo del lomo,
pierde la capacidad de erguirse sobre las patas
traseras."
2,,sword-shield,sword,it,"Il bulbo sulla schiena è cresciuto così tanto
da impedirgli di alzarsi in piedi sulle zampe
posteriori."
