item,version_group,version,type,subtype,location_area_pokedb,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,currency,required_badge,unlock_condition,notes,source
grit-pebble,legends-arceus,legends-arceus,npc-defeat,,icepeak-arena,From Gaeric for defeating noble Avalugg in a rematch without taking damage,1,0,1,3,,,,,Defeat noble Avalugg in a rematch without taking damage,,pokedb
grit-rock,legends-arceus,legends-arceus,request,,training-grounds,Reward for completing Request 88: Steely Lucario,0,0,1,,,,,,,,pokedb
grit-rock,legends-arceus,legends-arceus,npc-gift,,jubilife-village,From Vessa for collecting 100 wisps,0,0,1,3,,,,,After collecting 100 wisps,,pokedb
grit-rock,legends-arceus,legends-arceus,request,,galaxy-hall,Reward for completing Request 91: On the Trail of Giratina,0,0,1,,,,,,,,pokedb
grit-rock,legends-arceus,legends-arceus,request,,floaro-gardens,Reward for completing Request 92: A Token of Gratitude,0,0,1,,,,,,,,pokedb
grit-rock,legends-arceus,legends-arceus,request,,oreburrow-tunnel,Reward for completing Request 103: Digging for Tomorrow,0,0,1,,,,,,,,pokedb
grit-rock,legends-arceus,legends-arceus,request,,training-grounds,Reward for completing Request 104: Battling the Security Corps' Secret Weapon,0,0,1,3,,,,,,,pokedb
grit-rock,legends-arceus,legends-arceus,npc-gift,,galaxy-hall,From Cyllene for achieving Full Star rank,0,0,1,10,,,,,After achieving Full Star rank,,pokedb
grit-rock,legends-arceus,legends-arceus,dropped,,,Dropped by wild Pokémon,1,0,0,,,,,,,,pokedb
grit-rock,legends-arceus,legends-arceus,dropped,,pastures,After releasing Pokémon,1,0,0,,,,,,,,pokedb
grit-rock,legends-arceus,legends-arceus,exchange,,training-grounds,Trade 10 Grit Pebbles with Zisu,1,0,1,,,10,,,,Cost is in Grit Pebbles,pokedb
grit-rock,legends-arceus,legends-arceus,tournament,,,Eternal Battle Reverie,1,0,0,,,,,,,,pokedb
hasty-mint,legends-arceus,legends-arceus,harvest,,,Farm mint harvest,1,0,0,,,,,,,,pokedb
hearty-grains,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,Recurring item locations,1,0,1,,,,,,,,pokedb
hearty-grains,legends-arceus,legends-arceus,dropped,,,Dropped by wild Budew,1,0,0,,,,,,,,pokedb
hearty-grains,legends-arceus,legends-arceus,dropped,,,Dropped by wild Roselia,1,0,0,,,,,,,,pokedb
hearty-grains,legends-arceus,legends-arceus,dropped,,,Dropped by wild Roserade,1,0,0,,,,,,,,pokedb
hearty-grains,legends-arceus,legends-arceus,dropped,,,Dropped by wild Yanma,1,0,0,,,,,,,,pokedb
hearty-grains,legends-arceus,legends-arceus,dropped,,,Dropped by wild Yanmega,1,0,0,,,,,,,,pokedb
hearty-grains,legends-arceus,legends-arceus,harvest,,,Farm (vegetable harvest),1,0,1,,,,,,,,pokedb
hearty-grains,legends-arceus,legends-arceus,crafting,craftworks,,Craftworks,1,0,1,,,,,,,,pokedb
hearty-grains,legends-arceus,legends-arceus,overworld,recurring,crimson-mirelands,Recurring item locations,1,0,1,,,,,,,,pokedb
heavy-ball,legends-arceus,legends-arceus,shop,vendor,,General store and base camp stores,1,0,1,,,120,poke-dollar,,After completing Request 23: Getting Ahold of New Wares,,pokedb
heavy-ball,legends-arceus,legends-arceus,shop,vendor,,Ginkgo Guild cart (Ginter),1,0,0,30,,,poke-dollar,,,Randomly sold.,pokedb
heavy-ball,legends-arceus,legends-arceus,request,,,Reward for completing Request 36: Watering with Care,0,0,1,15,,,,,,,pokedb
heavy-ball,legends-arceus,legends-arceus,crafting,recipe,,Crafting with 1 Apricorn and 1 Black Tumblestone,1,0,1,,,,,,,,pokedb
hometown-muffin,legends-arceus,legends-arceus,request,,jubilife-village,Given by Floaro after completing Request 48,0,0,1,,,,,,"After giving Floaro 3 Hearty Grains, 2 Hopo Berries, and 1 Razz Berry",,pokedb
honey-cake,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"Reward for completing Request 12: ""A Perfect Pickling Stone""",0,0,1,3,,,,,,,pokedb
honey-cake,legends-arceus,legends-arceus,crafting,recipe,,1 Dazzling Honey and 1 Cake-Lure Base,1,0,1,,,,,,,,pokedb
honey-cake,legends-arceus,legends-arceus,dropped,,cobalt-coastlands,Boxes,1,0,0,,,,,,,,pokedb
honey-cake,legends-arceus,legends-arceus,dropped,,coronet-highlands,Boxes,1,0,0,,,,,,,,pokedb
honey-cake,legends-arceus,legends-arceus,shop,vendor,jubilife-village,General store and base camp stores,1,0,1,,,400,poke-dollar,,"After completing Request 23: ""Getting Ahold of New Wares""",,pokedb
honey-cake,legends-arceus,legends-arceus,shop,vendor,,Ginkgo Guild cart (Ginter),1,0,0,10,,,,,,Randomly sold,pokedb
hopo-berry,legends-arceus,legends-arceus,berry-tree,,,"Yellow berry trees in Crimson Mirelands, Coronet Highlands, and Alabaster Icelands",1,0,0,,,,,,,,pokedb
hopo-berry,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Usual berry harvest,1,0,0,,,,,,,,pokedb
hopo-berry,legends-arceus,legends-arceus,shop,vendor,jubilife-village,"Ginkgo Guild cart (Ginter, random)",1,0,0,10,,,,,,,pokedb
hopo-berry,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Ginkgo Guild cart (Tuli),1,0,0,,,,,,,,pokedb
hopo-berry,legends-arceus,legends-arceus,request,,jubilife-village,"Reward for completing Request 29: ""The Search for Bitter Leaves""",0,0,1,5,,,,,,,pokedb
icicle-plate,legends-arceus,,request,,icepeak-arena,"Icepeak Arena (reward for defeating the noble Hisuian Avalugg during Mission 12: ""The Slumbering Lord of the Tundra"")",0,0,1,,,,,,,,bulbapedia
impish-mint,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Mint harvest,1,0,1,,,,,,,,pokedb
insect-plate,legends-arceus,,request,,grandtree-arena,"Grandtree Arena (reward for defeating the noble Kleavor during Mission 7: ""The Frenzy of the Lord of the Woods"")",0,0,1,,,,,,,,bulbapedia
iron-barktongue,legends-arceus,legends-arceus,overworld,recurring,crimson-mirelands,,1,0,1,,,,,,,,pokedb
iron-barktongue,legends-arceus,legends-arceus,overworld,recurring,obsidian-fieldlands,,1,0,1,,,,,,,,pokedb
iron-barktongue,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,,1,0,1,,,,,,,,pokedb
iron-barktongue,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,,1,0,1,,,,,,,,pokedb
iron-barktongue,legends-arceus,legends-arceus,harvest,,,Farm (mushroom harvest),1,0,1,,,,,,,,pokedb
iron-barktongue,legends-arceus,legends-arceus,shop,vendor,,Ginkgo Guild cart (Tuli),1,0,1,,,,,,,,pokedb
iron-chunk,legends-arceus,legends-arceus,request,,,Request 40: The Charm Lost in the Swamp,0,0,1,5,,,,,,,pokedb
iron-chunk,legends-arceus,legends-arceus,mining,,oreburrow-tunnel,Breakable rock,1,0,1,3,,,,,,,pokedb
