region,area,poi_name,description,page,source
kanto,Celadon City,Celadon Department Store,"Celadon's department store is the largest building in the city, as well as the largest shop in Kanto. It is located in the northwest corner of the city. The store has two sliding door entrances, and is six stories high, including a rooftop floor.",Celadon City,bulbapedia
kanto,Celadon City,Celadon Condominiums,"Celadon Condominiums (known as Celadon Mansion prior to Generation IV) is located next to the Pokémon Center. In the Generation I games and Pokémon FireRed and LeafGreen, the player can find a Poké Ball containing an Eevee here. Game Freak has an office in this building, where the player can receive a diploma from the lead developer if they have completed their Pokédex. In Pokémon FireRed and LeafGreen, this is where the player obtains the Tea, which is required to enter Saffron City. In Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, the player receives the Tea from Brock in front of the building.",Celadon City,bulbapedia
kanto,Celadon City,Celadon Game Corner,"The Celadon Game Corner is located in the southeast of the city. It was originally run by Team Rocket, being known as the Rocket Game Corner while under their management. The Team Rocket Hideout is located underneath it; the staircase to the base is revealed by pressing a switch hidden behind a poster. In the Generation I to IV games, the Game Corner consists of two adjacent buildings: the Game Corner proper (the larger building on the west) and the Prize Corner (the smaller building on the east). The main building contains the casino itself, where the player can earn Coins; the Prize Corner is where the player can exchange Coins for prizes, including Pokémon, TMs, and other items. In Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, the Game Corner is one building with two entrances; the space on the west side contains the arcade while the space on the east side is just a sitting area. In Generation IV, there is a man in the Prize Corner building who can tell the player the type of their Pokémon's Hidden Power.",Celadon City,bulbapedia
kanto,Celadon City,Team Rocket Hideout,"The Team Rocket Hideout is an underground four-floor-deep complex beneath the Rocket Game Corner. The Rocket Hideout is accessed by pressing a switch behind a poster in the Game Corner in Celadon City. In the Generation I, III, and VII games, the player must go into the underbelly of the Game Corner and defeat Team Rocket.",Celadon City,bulbapedia
kanto,Celadon City,Celadon Hotel,"The Celadon Hotel is a luxurious hotel building located in the southeastern part of the city. The player is not able to rent a room due to all the rooms being booked. The hotel's layout is remarkably similar to a Pokémon Center. The hotel is closed in Generation II and IV. In Pokémon Red and Blue (but not Pokémon Yellow), there is an invisible PC in the hotel; it is speculated that this is an oversight that occurred due to the interior of the hotel being created by copying a Pokémon Center's layout, but the code that allows the player to activate the PC at that position was mistakenly not removed.",Celadon City,bulbapedia
kanto,Celadon City,Move Tutors,"The man who can only be accessed by Surf gives out Softboiled in Generation I. In Generation III, he instead offers to directly teach this move to certain Pokémon. In Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, a Tamer in the Pokémon Center will teach the player's Partner Pokémon exclusive moves.",Celadon City,bulbapedia
kanto,Celadon City,Fortune Teller,"In Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, on the left side of the Pokémon Center is a Channeler called Madam Celadon with her Abra. For 10,000, Madam Celadon can influence the Nature of wild Pokémon they encounter for the rest of the day. Nature is determined with two questions; the first question determining the Nature's strength, and the second determining its weakness. The following chart describes the possible results. Due to lack of breeding and Abilities, this is the only way to influence Natures in these games.",Celadon City,bulbapedia
kanto,Celadon City,Celadon Gym,"The Celadon Gym is the official Gym of Celadon City. It is based on Grass Pokémon. The Gym Leader is Erika. Trainers who defeat her receive the Rainbow. The Celadon Gym is a garden full of Trainers. It is impossible to reach Erika without fighting at least one other Trainer and using Cut (I) (II) (FRLG) (HGSS)/Chop Down. (PE) In all versions and adaptations of Pokémon, Celadon Gym is consistently rendered as a greenhouse.",Celadon City,bulbapedia
kanto,Saffron City,Silph Co. Head Office,"The Silph Co. Head Office is the largest and tallest building in the city. Silph Co. are the leading manufacturer of Pokémon technology in the world, and produce a variety of goods for Trainers, such as the Poké Ball and the Silph Scope. Their status makes them a target of Team Rocket, who orchestrated the takeover of their headquarters in Saffron City in order to obtain the Master Ball. However, the player successfully drives them out and the President of Silph gives the player the Master Ball for saving the company. The Silph Co. Head Office is an eleven-floor skyscraper, and effectively a giant maze. The building contains a number of warp panels, which must be used in order to reach different rooms. Some of Silph's doors require a Card Key to open. In Generations II and IV, Silph Co. has increased security, and the player is not allowed to enter the upper floors. In Pokémon HeartGold and SoulSilver, one of the Hoenn region's first partner Pokémon may be obtained here from Hoenn Champion . In Pokémon HeartGold and SoulSilver, Rotom's Room is located in this building, which contains appliances that allow Rotom to change forms.",Saffron City,bulbapedia
kanto,Saffron City,Fighting Dojo,"In addition to Sabrina's Psychic Gym, there is also an unofficial Gym, the Fighting Dojo, which specializes in Fighting Pokémon. The player can obtain their choice of Hitmonchan or Hitmonlee by defeating the Karate Master Koichi. The Fighting Dojo and the Saffron Gym once competed against each other to determine which one would be Saffron City's Gym. Due to the type advantage that the Saffron Gym's Psychic-type Pokémon had over the Dojo's Fighting-type Pokémon, Saffron Gym easily won and became the official Gym. In Generation II, the Dojo is closed because the Karate Master Kiyo has left to train in Johto's Mt. Mortar. In Pokémon HeartGold and SoulSilver, the player can schedule rematches with Kanto and Johto Gym Leaders to be held here using their Pokégear.",Saffron City,bulbapedia
kanto,Saffron City,Magnet Train station,"In the Generation II games and Pokémon HeartGold and SoulSilver, the Magnet Train runs from Saffron City to Goldenrod City in Johto, connecting the two regions. It is one of the few methods players can use to travel from region to region, and it will allow rapid travel between the two cities, going at over 340 miles per hour (550 kilometers per hour). To board the train, the player must have a Pass. The Copycat in Saffron City has one and is willing to give it up as a reward for returning her the Poké Doll that Red gave to her three years before. Initially, the train is out of service as a minion of Team Rocket has stolen a valuable part from the Kanto Power Plant. After defeating him on Route 24, the player can retrieve the part from the Cerulean Gym and return it to the Power Plant. With the component back in place, the train will have the necessary power to run. In Pokémon HeartGold and SoulSilver, Vermilion City's Gym Leader Lt. Surge will come here and offer to trade his Pikachu for the player's Pikachu. This Pikachu is notable because it originates from a different language than that of the player's game: in the English releases, it is French and in all other releases, it is English.",Saffron City,bulbapedia
kanto,Saffron City,Mr. Psychic's House,"Mr. Psychic lives in a small house that is located on the southeastern side of the city, being better accessible by entering Saffron City from the southern entrance. He sits at a table in the middle of the room. When talked to for the first time in every game he is featured in, he will claim to know that the player really wants to receive a gift from him, giving the TM for Psychic to the player. In the Pokémon: Official Nintendo Player's Guide, it is implied that actually Mr. Psychic may not be able to discover what the player was actually thinking, that being the reason why he was expelled from the ""Friendly Psychic Network"". ""You weren't thinking about a TM 29? Oh, well, maybe that's why he was booted out of the Friendly Psychic Network."" - Pokémon: Official Nintendo Player's Guide, page 42 Don't Call Me Uncle Psychic! Mr. Psychic's House",Saffron City,bulbapedia
kanto,Saffron City,Copycat's house,"In the Generation I games, Pokémon FireRed and LeafGreen, and Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, Copycat lives in a house that is located in the northwest of the city. In the Generation I games, if the player gives her a Poké Doll she will give them Mimic; in Pokémon FireRed and LeafGreen she will offer to teach one of the player's Pokémon Mimic if the player gives her a Poké Doll; and in Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, she gives the player Substitute if they show her a Clefairy. There is a video game system in her bedroom: in the Generation I games and Pokémon FireRed and LeafGreen it is an SNES with a game that has Mario with a bucket on his head; in Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, it is a Nintendo Switch with a game featuring cube-shaped Pokémon. Between the events of Generations I and II, Copycat's house in Saffron City was torn down to make room for the Magnet Train station. Copycat and her family move to a house slightly south of the station. In the Generation II games and Pokémon HeartGold and SoulSilver, Copycat's Clefairy doll goes missing, being found by a member of the Pokémon Fan Club in Vermilion City. When the player returns her lost doll, Copycat will reward them with a ticket to ride the Magnet Train that travels between Kanto and Johto.",Saffron City,bulbapedia
kanto,Saffron City,Pokémon Trainer Fan Club,"People gather to discuss their favorite celebrity Trainers at the Pokémon Trainer Fan Club, which only exists in Pokémon FireRed and LeafGreen. POKéMON TRAINER FAN CLUB Many TRAINERS have scribbled their names on this sign.",Saffron City,bulbapedia
kanto,Saffron City,Saffron Gym,The Saffron Gym is the official Gym of Saffron City. It is based on Psychic Pokémon. The Gym Leader is Sabrina. Trainers who defeat her receive the Marsh. The Saffron Gym is a maze of warp panels and nine rooms.,Saffron City,bulbapedia
kanto,Lavender Town,Pokémon Tower,"In Generations I, III, and VII, Pokémon Tower is a seven-floor graveyard that holds the grave of departed Pokémon. On all seven floors, the tower houses hundreds of graves of deceased Pokémon. Many people visit the building daily to pay their respects to the fallen. On all floors other than the first two, though, the possibility of being attacked by wild Pokémon is present. Populated by Channelers, it was notable for numerous ghost sightings (Pokémon killed by Team Rocket), as well as the location of Team Rocket's kidnapping of Mr. Fuji. Although players can encounter Ghost Pokémon here, they can not be seen or captured unless they have a Silph Scope. Aside from graves, the tower is home to wild Cubone as well as many Ghost Pokémon. Prior to the player's visit, Team Rocket tried to steal the Cubone to sell their valuable skulls. In the process, a mother Marowak that was protecting her Cubone child was killed. Marowak of the mother Marowak haunted the tower until the player confronted it, calming her spirit and allowing her to pass on into the afterlife. The Ghost-type Pokémon in the tower have the unique ability to disguise themselves as literal ghosts. Any Pokémon who attempts to fight the ghosts without the player having a Silph Scope will be ""too scared to move"" and will be unable to attack or do anything else except run. However, the Silph Scope will reveal their true natures and identity, allowing the Pokémon to be engaged in battle.",Lavender Town,bulbapedia
kanto,Lavender Town,Kanto Radio Station,"In Generations II and IV, the tower was converted to the Kanto Radio Station, with all graves being moved to either the House of Memories or underground. The new House of Memories is placed where the Poké Mart has been before, which in turn was moved next to the Pokémon Center. The Kanto Radio Station can be entered, like its Johto counterpart, but only the ground floor, as the upper floors are completely off limits. This was done to prevent a takeover similar to the one that was seen in Johto. Talking to the receptionist on the ground floor, the player can receive a Pokégear radio card for Kanto. The Radio Station broadcasts music and radio programs, including the Poké Flute channel, to the radios and Pokégear of Kanto. After restoring power to Kanto by fixing the generator at the Kanto Power Plant, Trainers can receive the EXPN Card from the manager of the tower, allowing Pokégears to tune into the Poké Flute channel, which can be used to move Snorlax from its slumber. The stairs in Generation II lead down into a basement instead of up into the tower, but the player is blocked by a guard.",Lavender Town,bulbapedia
kanto,Lavender Town,Lavender Volunteer Pokémon House,"The Lavender Volunteer Pokémon House (Japanese: あいのボランティアポケモンハウス Caring Volunteer Pokémon House), located in central Lavender Town, was founded by Mr. Fuji in order to care for abandoned and orphaned Pokémon. Many members of the organization live in the safe house, looking after the abandoned Pokémon. Many Pokémon have stayed at the Volunteer Pokémon House over time, including Psyduck, Nidorino, and after the Team Rocket attack on the Pokémon Tower, Cubone. A newborn Cubone has been Mr. Fuji's biggest concern ever since the attack on the Pokémon Tower and the death of its mother at the hands of Team Rocket, with him praying for it every night and caring for it everyday in the Volunteer Pokémon House. After going through the Pokémon Tower and defeating Team Rocket, Mr. Fuji will give the player a Poké Flute in gratitude. The player then uses this flute to progress the game. The Lavender Volunteer Pokémon House is in fact Mr. Fuji's own house, however, it is designed for abandoned Pokémon. There is a pen in the corner for Pokémon to play in, and a kitchen area that has a delicious smelling odor emitting from it. There are also Pokémon magazines lined on the shelf, such as the Pokémon Insider, Pokémon Fan, and on the table there is an open copy of Pokémon Fan Magazine with a clipping of the Monthly Grand Prize Draw application form missing. In addition to this there are several different kind of pot plants around the room and a TV with a show about a Pokémon having fun. Inside design: Outside design:",Lavender Town,bulbapedia
kanto,Lavender Town,Name Rater,"The Name Rater is located in the south end of town, and allows the player to change, or grant a nickname to any of their Pokémon. If the Pokémon was caught by the player that currently owns it, he'll say that the name could be better and offer the player the option of changing it. If the Pokémon he's judging was obtained via a trade, he will say that the name is perfect and refuse to change it. However, if both players have identical Trainer IDs and secret IDs, he will allow name changes.",Lavender Town,bulbapedia
kanto,Lavender Town,House of Memories,"The House of Memories, named Soul House in Generation II, is a small building located on the southeastern side of Lavender Town during the events of Generation II and IV. The House of Memories was built to hold graves from the Pokémon Tower when it was converted to the Kanto Radio Station. There are many chambers within the building, but they cannot be accessed by anyone other than Mr. Fuji. There are no wild Pokémon or Trainer battles found within the House of Memories.",Lavender Town,bulbapedia
kanto,Lavender Town,Silph Scope advertisement,"In Generation I and LeafGreen, there's a sign advertising the Silph Scope. New SILPH SCOPE! Make the Invisible Plain to See! SILPH CO.",Lavender Town,bulbapedia
kanto,Viridian City,Viridian Gym,"The Viridian Gym is the official Gym of Viridian City. Trainers who defeat this Gym's Leader receive the Earth. The Gym is usually strewn with the same one-way spin tiles seen in the Team Rocket Hideout, except in Generation II, where the floor is bare of any obstacles. In Generations I, III, and VII, it is based on Ground Pokémon and the Gym Leader is Giovanni, the head of Team Rocket. The Gym is initially locked due to its Leader's absence and will not re-open until the player has collected the other seven Badges. In Generations II, IV, and VII, Team Rocket has disbanded and Blue takes over as the Gym's Leader. Under Blue's direction, the Gym no longer concentrates on any particular type.",Viridian City,bulbapedia
kanto,Viridian City,Trainers' School,"In Generations I, III and VII, this school is located in the center of Viridian. It is a place dedicated to teaching the basics of Pokémon to inexperienced Trainers. Before Let's Go Pikachu and Eevee, it was referred to as the Pokémon Academy. In Generations II and IV, this school has been replaced by the Trainer House.",Viridian City,bulbapedia
kanto,Viridian City,Trainer House,"In Generations II and IV, the Trainer House replaces the Trainers' School in the center of Viridian. The first floor is occupied by a handful of people, while the basement is primarily dedicated to a battlefield. In the basement, the player may battle other Trainers once a day. In Generation II, the opposing Trainer in the basement will be the last person the player has used Mystery Gift with, with whatever party they had when Mystery Gift was used. If the player has never used Mystery Gift with anyone, the opposing Trainer will be Cal. In Generation IV, the player will initially only find Ace Trainer Cal in the basement. When the player meets another Trainer via the Pokéwalker and re-syncs the Pokéwalker back to their game, the other Trainer will also appear in the basement with their party. Up to 10 additional Trainers may be encountered in this way. Any Pokémon in a Trainer's party above level 50 will have their level reduced to 50. Battles here give no experience or money, but the player will receive 1 BP for each victory.",Viridian City,bulbapedia
kanto,Viridian City,Old Man,"In Generation I and III, a grumpy old man blocks the player from progressing to Route 2 until he has had his daily coffee (in the Japanese script he is drunk and has passed out), preventing players from wandering past Viridian City until they've delivered Oak's Parcel to Professor Oak. When returning to the area after delivering Oak's Parcel, he can teach the player how to catch a Pokémon. He will also give the player a Teachy TV in Pokémon FireRed and LeafGreen, which instructs the player about battling and catching Pokémon through a variety of programs. He makes an appearance in the same spot in Generation II and IV sequels, declaring that he has had his espresso and that he was once an expert at catching Pokémon, referencing the events three years prior. In Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, his role is instead served by Jessie, James, and .",Viridian City,bulbapedia
kanto,Viridian City,TM man/Move Tutor,"There is a man on the west side of Viridian City that requires Cut or Surf to access, or Secret Technique Chop Down in Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!. In Generation I, II, and IV, he gives the player a TM for Dream Eater. In Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, he gives the player the TM for Will-O-Wisp. In Generation III, he is a Move Tutor for Dream Eater.",Viridian City,bulbapedia
kanto,Vermilion City,Port,"Vermilion Port (II) (HGSS) (PE) or Vermilion Harbor (I) (FRLG) (Japanese: クチバ (みなと) Kuchiba Port) is one of the larger docks in the Kanto region, and boats such as the S.S. Anne, (I) (FRLG) (PE) S.S. Aqua, (II) (HGSS) and Seagallop (FRLG) dock here. A truck present in the Generation I and III games has also been the source of rumors.",Vermilion City,bulbapedia
kanto,Vermilion City,Pokémon Fan Club,"Pokémon Fan Club All Pokémon Fans Welcome! The Kanto chapter of the Pokémon Fan Club is located in Vermilion. The Pokémon Fan Club is an organization spread throughout the Pokémon world, with at least one Club House in nearly every region. The Fan Club is a place for people to meet and chat about their favorite Pokémon and to show off their collections to each other. In general, the members are usually more oriented to unevolved, cute Pokémon. By talking to the Fan Club Chairman, he will start a long talk with the player. He talks about his two favorite Pokémon, Rapidash and Fearow at length and then gives the player a voucher to get a bicycle, (I) (FRLG) a Rare Candy, (II) (HGSS) or clothing sets for the player based on Pikachu (P) or Eevee, (E) or clothing sets for both the player and their Partner Pokémon based on Raichu (P) or the Eeveelutions. (E) In Pokémon Yellow, he has a new hobby: taking Pokémon photos. The big photos of his Rapidash and Fearow can be seen on the walls of the clubhouse.",Vermilion City,bulbapedia
kanto,Vermilion City,Vermilion Gym,"The Vermilion Gym is the official Gym of Vermilion City. Its Gym Leader, Lt. Surge, focuses on Electric Pokémon. Trainers who defeat him receive the Thunder. The Vermilion Gym appears in all games set in the Kanto region, appearing much the same in each: the main room is filled with 15 trash cans, and Trainers are scattered about this room. Beyond this room is another, guarded by electric doors in Generation I, and an electric fence in Generation III and VII. The only way to get in the final room in these generations, where Lt. Surge is located, is to find two switches underneath the trash cans. If the first switch was found, but the player incorrectly guessed the second one, the traps would reset. In Generation II, these traps are not turned on. After Lt. Surge is defeated, he will give the player the Thunder Badge, Thunderbolt (I)/Shock Wave (FRLG) (HGSS)/Thunderbolt, (PE) Surge's Autograph, (PE) and the ability to use Fly outside of battle. (I) (FRLG)",Vermilion City,bulbapedia
kanto,Vermilion City,Construction site,"In the northeastern part of the city, there is an old man whose Machop is preparing a plot of land for construction of a building. They still have not finished three years after he started in Generation I, as he does not have enough money to begin building. This man's Machop can cause a glitch in Generation II. In Generation IV, the construction site consumes most of the north-eastern side of the city, playing a slightly bigger role in the game; there are many breakable rocks surrounding the building site that conceal many hidden items such as Shards, Heart Scales, and other valuable items.",Vermilion City,bulbapedia
kanto,Vermilion City,In-game trade,"In one of the houses south and a little east of the Pokémon Center is a girl that wants to trade the player a Farfetch'd for a Pidgey (in Japanese Blue) or Spearow. (I) (FRLG) The Farfetch'd will be nicknamed "" Dux "" in Generation I or "" Ch'ding "" in Generation III, and it will be holding a Stick in Generation III. The OT will be "" Elyssa "" and its ID will be 08810. The Pokémon's level will be the same as the one that the player traded. Although the sprite and name of the owner are female, Ch'ding 's original Trainer data defines Elyssa as male, likely as an error. In FireRed and LeafGreen, this is undifferentiable from a female original Trainer, but if Ch'ding is traded to Emerald or transferred forward to Generation IV (via Pal Park), the OT name is shown colored blue. In Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, this house is occupied by a Gentleman who owns a Farfetch'd, again nicknamed Dux like the girl from Generation I's Farfetch'd, but he instead intends to catch Spearow himself. In Let's Go, Pikachu! and Let's Go, Eevee, a Hiker in the Pokémon Center will trade an Alolan Geodude for a Geodude from Kanto. This can be done repeatedly.",Vermilion City,bulbapedia
kanto,Vermilion City,Fishing Brother,"In Generations I and III, a man known as the Fishing Guru can be found in Vermilion City. He gives away an Old Rod to the player. Later (in the Johto-based games), he is known as the Fishing Dude and claims to be the eldest of the Fishing Brothers.",Vermilion City,bulbapedia
kanto,Vermilion City,Sleeping Pokémon notice,"In Generations I, III, and VII, there is a notice near the entrance to Diglett's Cave about a sleeping Pokémon blocking Route 12. The notice advises people wishing to go to Lavender Town to detour through the Rock Tunnel instead in the meantime.",Vermilion City,bulbapedia
kanto,Pallet Town,Professor Oak's Lab,"In the southeast corner of town is Professor Oak's Lab. Here, Pokémon Trainers just beginning their quest are given the choice to receive either a Bulbasaur, Charmander, or Squirtle from Professor Oak. On the occasion that Professor Oak is out of the previously listed Pokémon, he has been seen to hand out Pikachu and Eevee. This is also the location of the player's first battle, which was against their rival, Blue (RBY) (FRLG) or Trace (PE). The lab is a small building near the player's house that has been slightly modified in every game. In Pokémon Red and Blue the sign says ""Here is the Institute of Dr. Okido."" in Japanese, and ""Oak Pokémon Research Lab"" in the English language versions. Inside are three of Professor Oak's aides, two men and one woman, a couple of shelves full of books, a table with three Poké Balls, a computer, two blank Pokédexes, and two tips for the player. In Pokémon Yellow the lab is the same as Red and Blue, except there is only one Poké Ball on the table, and next to the table stands a trash can. In Pokémon FireRed and LeafGreen, other than the significant graphical enhancements, the laboratory also has two plants in the entrance, a mysterious machine, books on the floor, two regular machines in the corner, and a window.",Pallet Town,bulbapedia
