item,version_group,language,flavor_text
autograph,legends-arceus,en,"The autograph you got from the Vermilion City Gym Leader, Lt. Surge. He wrote, ""Good luck!"""
aux-evasion,legends-arceus,en,An item that makes moves less likely to strike a Pokémon during a battle. This effect disappears if the Pokémon leaves the battle.
aux-guard,legends-arceus,en,An item that sharply boosts the defensive stats of a Pokémon during a battle. These effects disappear if the Pokémon leaves the battle.
aux-power,legends-arceus,en,An item that sharply boosts the offensive stats of a Pokémon during a battle. These effects disappear if the Pokémon leaves the battle.
aux-powerguard,legends-arceus,en,An item that sharply boosts the offensive and defensive stats of a Pokémon during a battle. These effects disappear if the Pokémon leaves the battle.
awakening,legends-arceus,en,A spray-type medicine to wake the sleeping. It can be used to rouse a single Pokémon from the clutches of sleep.
azelfs-fang,legends-arceus,en,"Proof that you have completed the trial set by Azelf, the Being of Willpower that lives in Lake Valor. This item is needed to forge the Red Chain."
azure-flute,legends-arceus,en,A flute that puts out echoing sounds that do not seem to be of this world. No one knows who made it or when.
babiri-berry,legends-arceus,en,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Steel-type attack."
bachs-food-tin,legends-arceus,en,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.
ball-of-mud,legends-arceus,en,"A ball of mud that has become stiff and hard. Hitting a Pokémon with one may stun the Pokémon, creating an opening for you to act."
band-autograph,legends-arceus,en,"It's signed by all members of the Galar region's most charismatic band, the Maximizers."
basculegion-food,legends-arceus,en,"A favored food of Basculegion, a Pokémon that will bear you on its back. This food is crafted in an unusual way, from ingredients gathered via equally unusual methods."
basement-key-johto,legends-arceus,en,A key that opens a door in the Goldenrod Tunnel.
beach-glass,legends-arceus,en,A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.
bean-cake,legends-arceus,en,"A cake made by combining beans with a Cake-Lure Base. These cakes are potently effective at attracting fish Pokémon, as well as bird Pokémon and their flying ilk."
beast-ball,legends-arceus,en,A somewhat different Poké Ball that has a low success rate for catching a Pokémon.
berry-pots,legends-arceus,en,Handy containers for cultivating Berries wherever you go.
berry-sweet,legends-arceus,en,"A berry-shaped sweet. When a Milcery holds this, it spins around happily."
big-malasada,legends-arceus,en,The Alola region's local specialty—fried bread. It can be used once to heal all the status conditions of a Pokémon.
big-mushroom,legends-arceus,en,A very large and rare mushroom. It's popular with a certain class of collectors.
big-pearl,legends-arceus,en,A rather large pearl that has a very nice silvery sheen. It can be sold at a high price to shops.
big-root,legends-arceus,en,An item to be held by a Pokémon. It boosts the amount of HP the holder restores from HP-stealing moves.
black-apricorn,legends-arceus,en,A black Apricorn. It has a scent beyond one's experience.
black-augurite,legends-arceus,en,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.
black-mane-hair,legends-arceus,en,"Mane hair that belonged to the King of Bountiful Harvests' beloved steed, Spectrier. The hair is very smooth to the touch."
black-sludge,legends-arceus,en,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.
black-tumblestone,legends-arceus,en,"When combined with an Apricorn, this mysterious black stone can draw out the properties required to forge a Heavy Ball."
blank-plate,legends-arceus,en,"A stone tablet imbued with the essence of normalcy. When used on a certain Pokémon, it allows that Pokémon to gain the power of the Normal type."
blue-apricorn,legends-arceus,en,A blue Apricorn. It smells a bit like grass.
blue-card,legends-arceus,en,A card to save points for the Buena's Password show.
blue-orb,legends-arceus,en,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.
blue-petal,legends-arceus,en,A pressed flower petal you receive from Lana during Mina's trial. The goal is to collect seven different kinds of petals.
blue-shard,legends-arceus,en,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
blunder-policy,legends-arceus,en,Raises Speed sharply when a Pokémon misses with a move because of accuracy.
bobs-food-tin,legends-arceus,en,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.
boiled-egg,legends-arceus,en,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.
bold-mint,legends-arceus,en,"When a Pokémon smells this mint, its Defense will grow more easily, but its Attack will grow more slowly."
brave-mint,legends-arceus,en,"When a Pokémon smells this mint, its Attack will grow more easily, but its Speed will grow more slowly."
bread,legends-arceus,en,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.
bridgemail-m,legends-arceus,en,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
bridgemail-t,legends-arceus,en,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridgemail-v,legends-arceus,en,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
bug-gem,legends-arceus,en,"A gem with an insect-like essence. When held, it strengthens the power of a Bug-type move one time."
bug-memory,legends-arceus,en,A memory disc that contains Bug-type data. It changes the type of the holder if held by a certain species of Pokémon.
buginium-z--held,legends-arceus,en,It converts Z-Power into crystals that upgrade Bug-type moves to Bug-type Z-Moves.
bugwort,legends-arceus,en,"A wildflower that can be found growing across the Hisui region. It does have medicinal properties, but it is so bitter that no wild Pokémon will eat it."
burn-drive,legends-arceus,en,A cassette to be held by Genesect. It changes Genesect's Techno Blast move so it becomes Fire type.
burn-heal,legends-arceus,en,A spray-type medicine for treating burns. It can be used to heal a single Pokémon suffering from a burn.
cake-lure-base,legends-arceus,en,A type of field provision that enhances the flavor of other foods it is mixed with.
calm-mint,legends-arceus,en,"When a Pokémon smells this mint, its Sp. Def will grow more easily, but its Attack will grow more slowly."
camping-gear,legends-arceus,en,Everything you need to set up a tent and get cooking in a Wild Area or at a camping spot.
candy-truffle,legends-arceus,en,A sweet-fleshed truffle that is packed full of mysterious energy. It is one of the materials needed for crafting various items.
card-key,legends-arceus,en,A card key that unlocks doors in Silph Co.'s head office in Saffron City.
careful-mint,legends-arceus,en,"When a Pokémon smells this mint, its Sp. Def will grow more easily, but its Sp. Atk will grow more slowly."
carrot-seeds,legends-arceus,en,Seeds to plant in a field. The kind of carrot you'll get is determined by which field you plant the seeds in.
caster-fern,legends-arceus,en,"A fern used for crafting items made to be thrown. When these curled leaves are unfurled, they can serve as nature's wrapping paper."
catching-charm,legends-arceus,en,"Holding it is said to increase the chance of getting a critical catch. Curiously, the charm doesn't shake much."
celestica-flute,legends-arceus,en,A flute that can be used to call special Pokémon that are willing to bear you around the region. Its timbre is eerie and mysterious.
chalky-stone,legends-arceus,en,A small whitish stone picked up at the edge of the road.
charcoal,legends-arceus,en,It's a combustible fuel that boosts the power of Fire-type moves.
charti-berry,legends-arceus,en,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Rock-type attack."
cheri-berry,legends-arceus,en,A Berry that can be fed to a Pokémon to cure its paralysis or thrown to attract wild Pokémon.
cherish-ball,legends-arceus,en,A quite rare Poké Ball that has been crafted in order to commemorate a special occasion of some sort.
chesto-berry,legends-arceus,en,A Berry that can cure a Pokémon’s drowsiness or draw wild Pokémon’s attention.
chilan-berry,legends-arceus,en,"If held by a Pokémon, this Berry will lessen the damage taken from one Normal-type attack."
chill-drive,legends-arceus,en,A cassette to be held by Genesect. It changes Genesect's Techno Blast move so it becomes Ice type.
chipped-pot,legends-arceus,en,"A peculiar teapot that can make a certain species of Pokémon evolve. It may be chipped, but tea poured from it is delicious."
choice-dumpling,legends-arceus,en,A dumpling that will make a Pokémon become fixated on a move in battle. The Pokémon will deal more damage when using that move but will take more damage as well.
choice-scarf,legends-arceus,en,An item to be held by a Pokémon. This curious scarf boosts Speed but only allows the use of one move.
choice-specs,legends-arceus,en,An item to be held by a Pokémon. These curious glasses boost Sp. Atk but only allow the use of one move.
chople-berry,legends-arceus,en,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fighting-type attack."
cleanse-tag,legends-arceus,en,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the head of the party.
clear-bell,legends-arceus,en,A very old-fashioned bell that makes a gentle ringing sound.
clever-wing,legends-arceus,en,An item for use on a Pokémon. It slightly increases the Sp. Def base points of a single Pokémon.
clover-sweet,legends-arceus,en,"A clover-shaped sweet. When a Milcery holds this, it spins around happily."
coconut-milk,legends-arceus,en,One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.
colbur-berry,legends-arceus,en,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Dark-type attack."
colress-machine,legends-arceus,en,A special device that wrings out the potential of Pokémon. It's an imperfect prototype.
comet-shard,legends-arceus,en,A shard that fell to the ground when a comet passed nearby. It can be sold at a high price at the general store.
contest-pass,legends-arceus,en,A pass required for entering Pokémon Contests. It has a drawing of an award ribbon on its front.
courage-candy,legends-arceus,en,"A candy that is packed with energy. When given to a Pokémon, it will increase that Pokémon's Sp. Defense."
courage-candy-l,legends-arceus,en,"A big candy that is packed with energy. When given to a Pokémon Lv. 30 or higher, it will increase that Pokémon's Sp. Defense."
courage-candy-xl,legends-arceus,en,"A huge candy that is packed with energy. When given to a Pokémon, it will increase that Pokémon's Sp. Defense."
cracked-pot,legends-arceus,en,"A peculiar teapot that can make a certain species of Pokémon evolve. It may be cracked, but tea poured from it is delicious."
crafting-kit,legends-arceus,en,"A kit containing everything you might need for crafting, even when there is no workbench around. However, you can only use the materials you have in your satchel."
crown-pass,legends-arceus,en,A pass to go to the Crown Tundra. Show it to the rail staff at Wedgehurst Station.
crunchy-salt,legends-arceus,en,"Translucent crystals that are beloved by Pokémon bearing a resemblance to grass, plants, or minerals. They will gather wherever a lump of this salt is thrown."
custap-berry,legends-arceus,en,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it will be able to move first just once when it's in a pinch."
damp-mulch,legends-arceus,en,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
damp-rock,legends-arceus,en,An item to be held by a Pokémon. It extends the duration of the move Rain Dance when used by the holder.
dark-memory,legends-arceus,en,A memory disc that contains Dark-type data. It changes the type of the holder if held by a certain species of Pokémon.
dark-stone,legends-arceus,en,Zekrom's body was destroyed and changed into this stone. It is said to be waiting for the emergence of a hero.
dazzling-honey,legends-arceus,en,"Honey that sparkles with an amber hue. It is beloved by bug Pokémon and Pokémon with fairylike charms, so they will gather wherever a comb of it is thrown."
devon-parts,legends-arceus,en,A case that contains mechanical parts of some sort made by the Devon Corporation.
devon-scuba-gear,legends-arceus,en,A device made by Devon Corporation that provides oxygen to users during the use of Dive.
direshroom,legends-arceus,en,"Mushrooms that, when consumed, sharpen the eater’s focus. They make it easier to land critical hits and are one of the materials needed for crafting Dire Hits."
discount-coupon,legends-arceus,en,This special coupon allows you to buy items at a discount when you are shopping at a boutique.
doppel-bonnets,legends-arceus,en,"Mushrooms that, when consumed, make the eater feel nimble and agile as a fleeting shadow. They are one of the materials needed for crafting Aux Evasions."
douse-drive,legends-arceus,en,A cassette to be held by Genesect. It changes Genesect's Techno Blast move so it becomes Water type.
draco-plate,legends-arceus,en,"A stone tablet imbued with the essence of dragons. When used on a certain Pokémon, it allows that Pokémon to gain the power of the Dragon type."
dragon-memory,legends-arceus,en,A memory disc that contains Dragon-type data. It changes the type of the holder if held by a certain species of Pokémon.
dragon-skull,legends-arceus,en,A skull of a Pokémon that was said to have braved the angry waters to fly around the world.
dragonium-z--held,legends-arceus,en,It converts Z-Power into crystals that upgrade Dragon-type moves to Dragon-type Z-Moves.
dread-plate,legends-arceus,en,"A stone tablet imbued with the essence of darkness. When used on a certain Pokémon, it allows that Pokémon to gain the power of the Dark type."
dream-ball,legends-arceus,en,A somewhat different Poké Ball that makes it easier to catch wild Pokémon while they're asleep.
dropped-item,legends-arceus,en,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy. The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a girl.
dubious-disc,legends-arceus,en,A transparent device overflowing with dubious data. It's loved by a certain Pokémon.
dusk-ball,legends-arceus,en,A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places such as caves.
dusk-stone,legends-arceus,en,A peculiar stone that can make certain species of Pokémon evolve. It holds shadows as dark as can be.
dynamax-band,legends-arceus,en,A Wishing Star has been affixed to it. It lets out a light that allows Pokémon to Dynamax when at a Power Spot.
dynamax-candy,legends-arceus,en,"A candy that is packed with energy. When consumed, it will raise the Dynamax Level of a single Pokémon by one. A higher level means higher HP when Dynamaxed."
dynite-ore,legends-arceus,en,Mysterious ore that can be obtained in the Max Lair. Something good will happen if you give it to a collector in the Crown Tundra.
earth-plate,legends-arceus,en,"A stone tablet imbued with the essence of the earth. When used on a certain Pokémon, it allows that Pokémon to gain the power of the Ground type."
eevium-z--held,legends-arceus,en,It converts Z-Power into crystals that upgrade Eevee's Last Resort to an exclusive Z-Move.
eject-button,legends-arceus,en,"An item to be held by a Pokémon. If the holder is hit by an attack, it will be switched out of battle."
eject-pack,legends-arceus,en,"An item to be held by a Pokémon. When the holder's stats are lowered, it will be switched out of battle."
electirizer,legends-arceus,en,A box packed with a tremendous amount of electric energy. It's loved by a certain Pokémon.
electric-memory,legends-arceus,en,A memory disc that contains Electric-type data. It changes the type of the holder if held by a certain species of Pokémon.
electric-seed,legends-arceus,en,An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.
electrium-z--held,legends-arceus,en,It converts Z-Power into crystals that upgrade Electric-type moves to Electric-type Z-Moves.
elevator-key,legends-arceus,en,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.
endorsement,legends-arceus,en,A letter of recommendation that you'll need in order to participate in the Gym Challenge.
energy-root,legends-arceus,en,An extremely bitter medicinal root. It can be used to restore 120 HP to a single Pokémon.
enigmatic-card,legends-arceus,en,A mysterious card. Written on it is a request for you to go to a guest room in an Akala motel on Route 8.
eon-flute,legends-arceus,en,A flute that can be used to summon Latios or Latias no matter where you are.
eternal-ice,legends-arceus,en,"A type of ice beloved by the Lord of the Tundra, Avalugg. This ice is said to be fragments of ancient Avalugg that lived long ago."
exp-candy-l,legends-arceus,en,"A candy that is packed with energy. When consumed, it will grant a single Pokémon a large amount of Exp. Points."
exp-candy-m,legends-arceus,en,"A candy that is packed with energy. When consumed, it will grant a single Pokémon a moderate amount of Exp. Points."
exp-candy-s,legends-arceus,en,"A candy that is packed with energy. When consumed, it will grant a single Pokémon a small amount of Exp. Points."
exp-candy-xl,legends-arceus,en,"A candy that is packed with energy. When consumed, it will grant a single Pokémon a very large amount of Exp. Points."
exp-candy-xs,legends-arceus,en,"A candy that is packed with energy. When consumed, it will grant a single Pokémon a very small amount of Exp. Points."
exp-charm,legends-arceus,en,A charm that increases the Exp. Points that Pokémon can get. A machine-like object is inside the charm.
expert-belt,legends-arceus,en,An item to be held by a Pokémon. It's a well-worn belt that slightly boosts the power of supereffective moves.
explorer-kit,legends-arceus,en,A bag filled with convenient tools for exploring. It provides access to the Underground in the Sinnoh region.
fairium-z--held,legends-arceus,en,It converts Z-Power into crystals that upgrade Fairy-type moves to Fairy-type Z-Moves.
fairy-gem,legends-arceus,en,"A gem with an essence of the fey. When held, it strengthens the power of a Fairy-type move one time."
fairy-memory,legends-arceus,en,A memory disc that contains Fairy-type data. It changes the type of the holder if held by a certain species of Pokémon.
fancy-apple,legends-arceus,en,One of the many ingredients that can be used for cooking at your camp. An apple chosen above others. It has spectacular form and a brilliant sheen.
fashion-case,legends-arceus,en,A lovely case to store colorful Props for your Pokémon to wear in a musical.
fast-ball,legends-arceus,en,A Poké Ball that makes it easier to catch Pokémon that are usually very quick to run away.
favored-mail,legends-arceus,en,Stationery designed to make it easier to write about your favorite things. Have a Pokémon hold it for delivery.
festival-ticket,legends-arceus,en,A ticket that allows you to host a mission in Festival Plaza.
fighting-memory,legends-arceus,en,A memory disc that contains Fighting-type data. It changes the type of the holder if held by a certain species of Pokémon.
figy-berry,legends-arceus,en,A Berry that can be fed to a Pokémon to restore its HP by up to half its max.
fine-remedy,legends-arceus,en,"An herbal medicine that can restore 100 HP to a Pokémon, just as a Super Potion does. Yet the bitter taste will make the Pokémon less friendly toward you."
fire-memory,legends-arceus,en,A memory disc that contains Fire-type data. It changes the type of the holder if held by a certain species of Pokémon.
firium-z--held,legends-arceus,en,It converts Z-Power into crystals that upgrade Fire-type moves to Fire-type Z-Moves.
fist-plate,legends-arceus,en,"A stone tablet imbued with the essence of fighting spirit. When used on a certain Pokémon, it allows that Pokémon to gain the power of the Fighting type."
flame-orb,legends-arceus,en,An item to be held by a Pokémon. It's a bizarre orb that will afflict the holder with a burn during battle.
flame-plate,legends-arceus,en,"A stone tablet imbued with the essence of fire. When used on a certain Pokémon, it allows that Pokémon to gain the power of the Fire type."
float-stone,legends-arceus,en,An item to be held by a Pokémon. This very light stone reduces the weight of a Pokémon when held.
flower-sweet,legends-arceus,en,"A flower-shaped sweet. When a Milcery holds this, it spins around happily."
flying-memory,legends-arceus,en,A memory disc that contains Flying-type data. It changes the type of the holder if held by a certain species of Pokémon.
flyinium-z--held,legends-arceus,en,It converts Z-Power into crystals that upgrade Flying-type moves to Flying-type Z-Moves.
focus-sash,legends-arceus,en,"An item to be held by a Pokémon. If the holder has full HP, it will endure a potential KO attack with 1 HP. The item then disappears."
forage-bag,legends-arceus,en,A bag to carry ingredients gathered during Mallow's trial in the jungle.
forest-balm,legends-arceus,en,"A mysterious balm that gives off a soothing scent. It can be used to help calm the frenzy of the Lord of the Woods, Kleavor."
fossilized-bird,legends-arceus,en,The fossil of an ancient Pokémon that once soared through the sky. What it looked like is a mystery.
fossilized-dino,legends-arceus,en,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
fossilized-drake,legends-arceus,en,The fossil of an ancient Pokémon that once roamed the land. What it looked like is a mystery.
fossilized-fish,legends-arceus,en,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
fresh-cream,legends-arceus,en,One of the many ingredients that can be used for cooking at your camp. Add some whipped cream to a spicy curry to give it some sweetness.
fried-food,legends-arceus,en,"One of the many ingredients that can be used for cooking at your camp. It's been a while since it was fried, so it's gotten greasy."
fruit-bunch,legends-arceus,en,One of the many ingredients that can be used for cooking at your camp. The syrupy fruits give off a strong tropical feel.
full-incense,legends-arceus,en,An item to be held by a Pokémon. This exotic-smelling incense makes the holder bloated and slow moving.
galarica-cuff,legends-arceus,en,A cuff made from woven-together Galarica Twigs. Giving it to Galarian Slowpoke makes the Pokémon very happy.
galarica-twig,legends-arceus,en,A twig from a species of tree called Galarica that grows in certain areas around the Galar region. It's a material for an accessory for a certain Pokémon.
galarica-wreath,legends-arceus,en,A wreath made from woven-together Galarica Twigs. Placing it on the head of a Galarian Slowpoke makes the Pokémon very happy.
galladite,legends-arceus,en,"One of a variety of mysterious Mega Stones. Have Gallade hold it, and this stone will enable it to Mega Evolve during battle."
gb-sounds,legends-arceus,en,A music player that allows you to listen to nostalgic songs. It's operated with the flip of a single switch.
genius-wing,legends-arceus,en,An item for use on a Pokémon. It slightly increases the Sp. Atk base points of a single Pokémon.
gentle-mint,legends-arceus,en,"When a Pokémon smells this mint, its Sp. Def will grow more easily, but its Defense will grow more slowly."
ghost-memory,legends-arceus,en,A memory disc that contains Ghost-type data. It changes the type of the holder if held by a certain species of Pokémon.
gigantamix,legends-arceus,en,One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.
go-goggles,legends-arceus,en,Nifty goggles to protect eyes from desert sandstorms.
gold-leaf,legends-arceus,en,A mysterious gold leaf. No trees with this leaf have been found yet.
golden-nanab-berry,legends-arceus,en,A Berry that calms wild Pokémon you're trying to catch drastically when given to them.
golden-pinap-berry,legends-arceus,en,A Berry that makes you drastically more likely to get an item when given to Pokémon you're trying to catch.
golden-razz-berry,legends-arceus,en,A Berry that makes it drastically easier to catch Pokémon when given to them.
gooey-mulch,legends-arceus,en,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
gracidea,legends-arceus,en,"A flower sometimes bundled in bouquets to convey gratitude on special occasions, such as birthdays or anniversaries."
grain-cake,legends-arceus,en,A cake made by combining grains with a Cake-Lure Base. These cakes are potently effective at attracting Pokémon that dwell and wander among the fields.
grass-memory,legends-arceus,en,A memory disc that contains Grass-type data. It changes the type of the holder if held by a certain species of Pokémon.
grassium-z--held,legends-arceus,en,It converts Z-Power into crystals that upgrade Grass-type moves to Grass-type Z-Moves.
grassy-seed,legends-arceus,en,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.
great-ball-hisuian,legends-arceus,en,A mysterious ball that provides a higher success rate for catching Pokémon than a standard Poké Ball.
green-apricorn,legends-arceus,en,"A green Apricorn. It has a mysterious, aromatic scent."
green-petal,legends-arceus,en,A pressed flower petal you receive from Mallow during Mina's trial. The goal is to collect seven different kinds of petals.
green-shard,legends-arceus,en,A small green shard. It appears to be a fragment of some sort of implement made long ago.
grip-claw,legends-arceus,en,"An item to be held by a Pokémon. It extends the duration of multi-turn attacks, such as Bind and Wrap."
griseous-core,legends-arceus,en,"When used on Giratina, this large, glowing gem wells with power and allows the Pokémon to change form."
griseous-orb,legends-arceus,en,A glowing orb to be held by Giratina. It boosts the power of Dragon- and Ghost-type moves when it is held.
grit-dust,legends-arceus,en,"Mysterious dust that can raise the effort level for one of a Pokémon’s stats. It can be used to raise effort levels only up to level three, however."
grit-gravel,legends-arceus,en,Mysterious gravel that can raise the effort level for one of a Pokémon’s stats. It can be used only if the effort level is at least level three and no greater than level five.
grit-pebble,legends-arceus,en,A mysterious pebble that can raise the effort level for one of a Pokémon’s stats. It can be used only if the effort level is at least level six and no greater than level eight.
grit-rock,legends-arceus,en,A mysterious rock that can raise the effort level for one of a Pokémon’s stats. It can be used only if the effort level has already reached level nine.
ground-memory,legends-arceus,en,A memory disc that contains Ground-type data. It changes the type of the holder if held by a certain species of Pokémon.
groundium-z--held,legends-arceus,en,It converts Z-Power into crystals that upgrade Ground-type moves to Ground-type Z-Moves.
growth-mulch,legends-arceus,en,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
grubby-hanky,legends-arceus,en,A handkerchief dropped by a regular at the Café Warehouse. It smells faintly like a Pokémon.
haban-berry,legends-arceus,en,"If held by a Pokémon, this Berry will lessen the damage taken from one super effective Dragon-type attack."
hasty-mint,legends-arceus,en,"When a Pokémon smells this mint, its Speed will grow more easily, but its Defense will grow more slowly."
heal-ball,legends-arceus,en,A remedial Poké Ball that restores the HP of a Pokémon caught with it and eliminates any status conditions.
heal-powder,legends-arceus,en,A very bitter medicinal powder. It can be used once to heal all the status conditions of a Pokémon.
health-candy,legends-arceus,en,"A candy that is packed with energy. When given to a Pokémon, it will increase that Pokémon's HP."
health-candy-l,legends-arceus,en,"A big candy that is packed with energy. When given to a Pokémon Lv. 30 or higher, it will increase that Pokémon's HP."
health-candy-xl,legends-arceus,en,"A huge candy that is packed with energy. When given to a Pokémon Lv. 60 or higher, it will increase that Pokémon's HP."
hearty-grains,legends-arceus,en,Beautiful stalks of rice bursting with life. Pokémon that dwell and wander among the fields love these grains and will gather wherever the stalks are thrown.
heat-rock,legends-arceus,en,An item to be held by a Pokémon. It extends the duration of the move Sunny Day when used by the holder.
heavy-ball,legends-arceus,en,"A ball that is too heavy to fly high or far, but it is highly effective if you manage to hit an unsuspecting Pokémon."
heavy-duty-boots,legends-arceus,en,These boots prevent the effects of traps set on the battlefield.
hi-tech-earbuds,legends-arceus,en,Strange earbuds that allow you to freely control the volume of various sounds.
hometown-muffin,legends-arceus,en,"A baked treat made from Berries and other ingredients, which is often eaten in regions such as Galar. It is beloved by a surprising number of Pokémon."
honey,legends-arceus,en,A sweet honey collected by Pokémon. It has a lush aroma and can be sold at a low price to shops.
honey-cake,legends-arceus,en,A cake made by combining honey with a Cake-Lure Base. These cakes are potently effective at attracting bug Pokémon and also those with fairylike charms.
hopo-berry,legends-arceus,en,"A Berry that can be fed to a Pokémon to restore its PP. If a wild Pokémon eats one of these Berries, that Pokémon's reactions will be dulled."
hyper-potion,legends-arceus,en,It can be used to restore 150 HP to a single Pokémon.
iapapa-berry,legends-arceus,en,A Berry that restores up to half HP. Wild Pokémon that hate sour flavors will briefly pause.
ice-heal,legends-arceus,en,A spray-type medicine for treating freezing. It can be used to thaw out a single Pokémon that has been frozen solid.
ice-memory,legends-arceus,en,A memory disc that contains Ice-type data. It changes the type of the holder if held by a certain species of Pokémon.
ice-stone,legends-arceus,en,A peculiar stone that can make certain species of Pokémon evolve. It has a snowflake pattern in it.
iceroot-carrot,legends-arceus,en,Produce that the King of Bountiful Harvests' beloved steed likes to eat. It grew in a field covered in snow.
icicle-plate,legends-arceus,en,"A stone tablet imbued with the essence of ice. When used on a certain Pokémon, it allows that Pokémon to gain the power of the Ice type."
icium-z--held,legends-arceus,en,It converts Z-Power into crystals that upgrade Ice-type moves to Ice-type Z-Moves.
icy-rock,legends-arceus,en,An item to be held by a Pokémon. It extends the duration of the move Hail when used by the holder.
ilimas-normalium-z,legends-arceus,en,The Normalium Z you were entrusted with by Ilima. You were asked to place it on the pedestal at the back of Verdant Cavern.
