identifier,column,pokeapi,pokedb
tail-whip,name_zh-hant,搖尾巴,搖尾巴 / 摇尾巴
poison-sting,name_zh-hant,毒針,毒針 / 毒针
twineedle,name_zh-hant,雙針,雙針 / 双针
pin-missile,name_zh-hant,飛彈針,飛彈針 / 飞弹针
leer,name_fr,Groz’Yeux,Groz'Yeux
growl,name_zh-hant,叫聲,叫聲 / 叫声
flamethrower,name_zh-hant,噴射火焰,噴射火焰 / 喷射火焰
mist,name_zh-hant,白霧,白霧 / 白雾
water-gun,name_zh-hant,水槍,水槍 / 水枪
surf,name_zh-hant,衝浪,衝浪 / 冲浪
ice-beam,name_zh-hant,冰凍光束,冰凍光束 / 冰冻光束
blizzard,name_zh-hant,暴風雪,暴風雪 / 暴风雪
psybeam,name_zh-hant,幻象光線,幻象光線 / 幻象光线
bubble-beam,name_fr,Bulles d’O,Bulles d'O
bubble-beam,name_zh-hant,泡沫光線,泡沫光線 / 泡沫光线
aurora-beam,name_zh-hant,極光束,極光束 / 极光束
hyper-beam,name_zh-hant,破壞光線,破壞光線 / 破坏光线
drill-peck,name_zh-hant,啄鑽,啄鑽 / 啄钻
submission,name_zh-hant,地獄翻滾,地獄翻滾 / 地狱翻滚
counter,name_zh-hant,雙倍奉還,雙倍奉還 / 双倍奉还
seismic-toss,name_it,Movim. Sismico,Movim. Sismico
mega-drain,name_zh-hant,超級吸取,超級吸取 / 超级吸取
leech-seed,name_zh-hant,寄生種子,寄生種子 / 寄生种子
growth,name_zh-hant,生長,生長 / 生长
razor-leaf,name_fr,Tranch’Herbe,Tranch'Herbe
razor-leaf,name_zh-hant,飛葉快刀,飛葉快刀 / 飞叶快刀
string-shot,name_zh-hant,吐絲,吐絲 / 吐丝
dragon-rage,name_zh-hant,龍之怒,龍之怒 / 龙之怒
fire-spin,name_zh-hant,火焰旋渦,火焰旋渦 / 火焰旋涡
thunder-shock,name_zh-hant,電擊,電擊 / 电击
thunderbolt,name_ko,10만볼트,１０만볼트
thunderbolt,name_zh-hant,十萬伏特,十萬伏特 / 十万伏特
thunder-wave,name_zh-hant,電磁波,電磁波 / 电磁波
toxic,name_zh-hant,劇毒,劇毒 / 剧毒
psychic,name_zh-hant,精神強念,精神強念 / 精神强念
hypnosis,name_zh-hant,催眠術,催眠術 / 催眠术
meditate,name_zh-hant,瑜伽姿勢,瑜伽姿勢 / 瑜伽姿势
agility,name_zh-hant,高速移動,高速移動 / 高速移动
quick-attack,name_fr,Vive-Attaque,Vive-attaque
quick-attack,name_zh-hant,電光一閃,電光一閃 / 电光一闪
rage,name_zh-hant,憤怒,憤怒 / 愤怒
teleport,name_zh-hant,瞬間移動,瞬間移動 / 瞬间移动
screech,name_zh-hant,刺耳聲,刺耳聲 / 刺耳声
harden,name_zh-hant,變硬,變硬 / 变硬
minimize,name_zh-hant,變小,變小 / 变小
smokescreen,name_zh-hant,煙幕,煙幕 / 烟幕
confuse-ray,name_zh-hant,奇異之光,奇異之光 / 奇异之光
withdraw,name_zh-hant,縮入殼中,縮入殼中 / 缩入壳中
defense-curl,name_fr,Boul’Armure,Boul'Armure
defense-curl,name_zh-hant,變圓,變圓 / 变圆
light-screen,name_zh-hant,光牆,光牆 / 光墙
haze,name_zh-hant,黑霧,黑霧 / 黑雾
focus-energy,name_zh-hant,聚氣,聚氣 / 聚气
metronome,name_zh-hant,揮指,揮指 / 挥指
mirror-move,name_zh-hant,鸚鵡學舌,鸚鵡學舌 / 鹦鹉学舌
smog,name_zh-hant,濁霧,濁霧 / 浊雾
sludge,name_zh-hant,污泥攻擊,污泥攻擊 / 污泥攻击
bone-club,name_fr,Massd’Os,Massd'Os
clamp,name_zh-hant,貝殼夾擊,貝殼夾擊 / 贝壳夹击
skull-bash,name_fr,Coud’Krâne,Coud'Krâne
skull-bash,name_ko,로켓박치기,로케트박치기
skull-bash,name_zh-hant,火箭頭錘,火箭頭錘 / 火箭头锤
spike-cannon,name_zh-hant,尖刺加農炮,尖刺加農炮 / 尖刺加农炮
constrict,name_zh-hant,纏繞,纏繞 / 缠绕
amnesia,name_zh-hant,瞬間失憶,瞬間失憶 / 瞬间失忆
kinesis,name_zh-hant,折彎湯匙,折彎湯匙 / 折弯汤匙
high-jump-kick,name_es,Patada Salto Alta,Pat. Salto Alta
high-jump-kick,name_zh-hant,飛膝踢,飛膝踢 / 飞膝踢
dream-eater,name_zh-hant,食夢,食夢 / 食梦
sky-attack,name_zh-hant,神鳥猛擊,神鳥猛擊 / 神鸟猛击
transform,name_zh-hant,變身,變身 / 变身
flash,name_zh-hant,閃光,閃光 / 闪光
splash,name_zh-hant,躍起,躍起 / 跃起
crabhammer,name_ko,집게해머,찝게햄머
crabhammer,name_zh-hant,蟹鉗錘,蟹鉗錘 / 蟹钳锤
fury-swipes,name_zh-hant,亂抓,亂抓 / 乱抓
bonemerang,name_zh-hant,骨頭回力鏢,骨頭回力鏢 / 骨头回力镖
rest,name_zh-hant,睡覺,睡覺 / 睡觉
hyper-fang,name_zh-hant,必殺門牙,必殺門牙 / 必杀门牙
sharpen,name_zh-hant,稜角化,棱角化
conversion,name_zh-hant,紋理,紋理 / 纹理
tri-attack,name_zh-hant,三重攻擊,三重攻擊 / 三重攻击
super-fang,name_zh-hant,憤怒門牙,憤怒門牙 / 愤怒门牙
slash,name_zh-hant,劈開,劈開 / 劈开
struggle,name_zh-hant,掙扎,掙扎 / 挣扎
sketch,name_zh-hant,寫生,寫生 / 写生
triple-kick,name_zh-hant,三連踢,三連踢 / 三连踢
spider-web,name_zh-hant,蛛網,蛛網 / 蛛网
nightmare,name_zh-hant,惡夢,惡夢 / 恶梦
flame-wheel,name_ko,화염바퀴,화염자동차
flame-wheel,name_zh-hant,火焰輪,火焰輪 / 火焰轮
curse,name_zh-hant,詛咒,詛咒 / 诅咒
conversion-2,name_fr,Conversion 2,Conversion2
conversion-2,name_es,Conversión 2,Conversión2
conversion-2,name_ko,텍스처2,텍스처２
conversion-2,name_zh-hant,紋理２,紋理２ / 纹理２
aeroblast,name_zh-hant,氣旋攻擊,氣旋攻擊 / 气旋攻击
powder-snow,name_zh-hant,細雪,細雪 / 细雪
feint-attack,name_zh-hant,出奇一擊,出奇一擊 / 出奇一击
sludge-bomb,name_zh-hant,污泥炸彈,污泥炸彈 / 污泥炸弹
mud-slap,name_fr,Coud’Boue,Coud'Boue
mud-slap,name_zh-hant,擲泥,擲泥 / 掷泥
octazooka,name_zh-hant,章魚桶炮,章魚桶炮 / 章鱼桶炮
zap-cannon,name_zh-hant,電磁炮,電磁炮 / 电磁炮
foresight,name_zh-hant,識破,識破 / 识破
perish-song,name_zh-hant,滅亡之歌,滅亡之歌 / 灭亡之歌
icy-wind,name_ko,얼어붙은바람,얼다바람
icy-wind,name_zh-hant,冰凍之風,冰凍之風 / 冰冻之风
bone-rush,name_ko,본러시,본러쉬
bone-rush,name_zh-hant,骨棒亂打,骨棒亂打 / 骨棒乱打
lock-on,name_zh-hant,鎖定,鎖定 / 锁定
outrage,name_zh-hant,逆鱗,逆鱗 / 逆鳞
sandstorm,name_es,Tormenta de Arena,Tormenta Arena
giga-drain,name_zh-hant,終極吸取,終極吸取 / 终极吸取
charm,name_zh-hant,撒嬌,撒嬌 / 撒娇
rollout,name_zh-hant,滾動,滾動 / 滚动
false-swipe,name_zh-hant,點到為止,點到為止 / 点到为止
swagger,name_es,Fanfarronear,Contoneo
swagger,name_zh-hant,虛張聲勢,虛張聲勢 / 虚张声势
spark,name_zh-hant,電光,電光 / 电光
fury-cutter,name_zh-hant,連斬,連斬 / 连斩
steel-wing,name_fr,Ailes d’Acier,Ailes d'Acier
steel-wing,name_zh-hant,鋼翼,鋼翼 / 钢翼
sleep-talk,name_zh-hant,夢話,夢話 / 梦话
heal-bell,name_zh-hant,治癒鈴聲,治癒鈴聲 / 治愈铃声
return,name_zh-hant,報恩,報恩 / 报恩
present,name_zh-hant,禮物,禮物 / 礼物
frustration,name_zh-hant,遷怒,遷怒 / 迁怒
safeguard,name_zh-hant,神秘守護,神秘守護 / 神秘守护
pain-split,name_zh-hant,分擔痛楚,分擔痛楚 / 分担痛楚
sacred-fire,name_zh-hant,神聖之火,神聖之火 / 神圣之火
magnitude,name_zh-hant,震級,震級 / 震级
megahorn,name_ko,메가혼,메가폰
megahorn,name_zh-hant,超級角擊,超級角擊 / 超级角击
dragon-breath,name_zh-hant,龍息,龍息 / 龙息
baton-pass,name_ko,배턴터치,바톤터치
encore,name_ko,앙코르,앵콜
encore,name_zh-hant,再來一次,再來一次 / 再来一次
rapid-spin,name_zh-hant,高速旋轉,高速旋轉 / 高速旋转
sweet-scent,name_zh-hant,甜甜香氣,甜甜香氣 / 甜甜香气
iron-tail,name_zh-hant,鐵尾,鐵尾 / 铁尾
metal-claw,name_ko,메탈클로,메탈크로우
metal-claw,name_zh-hant,金屬爪,金屬爪 / 金属爪
synthesis,name_es,Fotosíntesis,Síntesis
moonlight,name_ko,달빛,달의불빛
hidden-power,name_zh-hant,覺醒力量,覺醒力量 / 觉醒力量
twister,name_zh-hant,龍捲風,龍捲風 / 龙卷风
mirror-coat,name_zh-hant,鏡面反射,鏡面反射 / 镜面反射
extreme-speed,name_es,Velocidad Extrema,Veloc. Extrema
shadow-ball,name_fr,Ball’Ombre,Ball'Ombre
future-sight,name_zh-hant,預知未來,預知未來 / 预知未来
beat-up,name_zh-hant,圍攻,圍攻 / 围攻
fake-out,name_ko,속이기,속이다
fake-out,name_zh-hant,擊掌奇襲,擊掌奇襲 / 击掌奇袭
uproar,name_zh-hant,吵鬧,吵鬧 / 吵闹
spit-up,name_zh-hant,噴出,噴出 / 喷出
swallow,name_it,Introenergia,Intoenergia
heat-wave,name_zh-hant,熱風,熱風 / 热风
torment,name_zh-hant,無理取鬧,無理取鬧 / 无理取闹
memento,name_zh-hant,臨別禮物,臨別禮物 / 临别礼物
facade,name_es,Fachada,Imagen
facade,name_zh-hant,硬撐,硬撐 / 硬撑
focus-punch,name_zh-hant,真氣拳,真氣拳 / 真气拳
charge,name_zh-hant,充電,充電 / 充电
taunt,name_zh-hant,挑釁,挑釁 / 挑衅
helping-hand,name_fr,Coup d’Main,Coup d'Main
helping-hand,name_zh-hant,幫助,幫助 / 帮助
trick,name_zh-hant,戲法,戲法 / 戏法
wish,name_zh-hant,祈願,祈願 / 祈愿
superpower,name_zh-hant,蠻力,蠻力 / 蛮力
revenge,name_zh-hant,報復,報復 / 报复
brick-break,name_ko,깨뜨리다,깨트리다
endeavor,name_zh-hant,蠻幹,蠻幹 / 蛮干
eruption,name_zh-hant,噴火,噴火 / 喷火
skill-swap,name_ko,스킬스왑,스킬스웹
skill-swap,name_zh-hant,特性互換,特性互換 / 特性互换
refresh,name_ko,리프레시,리프레쉬
refresh,name_zh-hant,煥然一新,煥然一新 / 焕然一新
snatch,name_ko,가로채기,가로챔
snatch,name_zh-hant,搶奪,搶奪 / 抢夺
dive,name_zh-hant,潛水,潛水 / 潜水
camouflage,name_zh-hant,保護色,保護色 / 保护色
tail-glow,name_zh-hant,螢火,螢火 / 萤火
luster-purge,name_ko,러스터퍼지,라스트버지
luster-purge,name_zh-hant,潔淨光芒,潔淨光芒 / 洁净光芒
mist-ball,name_fr,Ball’Brume,Ball'Brume
mist-ball,name_zh-hant,薄霧球,薄霧球 / 薄雾球
teeter-dance,name_zh-hant,搖晃舞,搖晃舞 / 摇晃舞
blaze-kick,name_ko,블레이즈킥,브레이즈킥
ice-ball,name_fr,Ball’Glace,Ball'Glace
slack-off,name_ko,게으름피우기,태만함
slack-off,name_zh-hant,偷懶,偷懶 / 偷懒
hyper-voice,name_zh-hant,巨聲,巨聲 / 巨声
poison-fang,name_ko,맹독엄니,독엄니
poison-fang,name_zh-hant,劇毒牙,劇毒牙 / 剧毒牙
crush-claw,name_ko,브레이크클로,브레이크크루
blast-burn,name_ko,블라스트번,블러스트번
hydro-cannon,name_zh-hant,加農水炮,加農水炮 / 加农水炮
astonish,name_zh-hant,驚嚇,驚嚇 / 惊吓
weather-ball,name_fr,Ball’Météo,Ball'Météo
weather-ball,name_zh-hant,氣象球,氣象球 / 气象球
aromatherapy,name_zh-hant,芳香治療,芳香治療 / 芳香治疗
air-cutter,name_fr,Tranch’Air,Tranch'Air
air-cutter,name_ko,에어커터,에어컷터
air-cutter,name_zh-hant,空氣利刃,空氣利刃 / 空气利刃
overheat,name_zh-hant,過熱,過熱 / 过热
odor-sleuth,name_zh-hant,氣味偵測,氣味偵測 / 气味侦测
rock-tomb,name_zh-hant,岩石封鎖,岩石封鎖 / 岩石封锁
silver-wind,name_zh-hant,銀色旋風,銀色旋風 / 银色旋风
metal-sound,name_zh-hant,金屬音,金屬音 / 金属音
grass-whistle,name_fr,Siffl’Herbe,Siffl'Herbe
grass-whistle,name_zh-hant,草笛,草笛 / 草笛
tickle,name_zh-hant,搔癢,撓癢 / 挠痒
water-spout,name_zh-hant,噴水,噴水 / 喷水
signal-beam,name_zh-hant,信號光束,信號光束 / 信号光束
sky-uppercut,name_ko,스카이어퍼,스카이업퍼
sky-uppercut,name_zh-hant,衝天拳,衝天拳 / 冲天拳
sand-tomb,name_zh-hant,流沙地獄,流沙地獄 / 流沙地狱
sheer-cold,name_zh-hant,絕對零度,絕對零度 / 绝对零度
muddy-water,name_zh-hant,濁流,濁流 / 浊流
bullet-seed,name_ko,씨기관총,기관총
bullet-seed,name_zh-hant,種子機關槍,種子機關槍 / 种子机关枪
icicle-spear,name_fr,Stalactite,Stalagtite
icicle-spear,name_zh-hant,冰錐,冰錐 / 冰锥
iron-defense,name_zh-hant,鐵壁,鐵壁 / 铁壁
block,name_zh-hant,擋路,擋路 / 挡路
howl,name_ko,멀리짖기,멀리짖음
howl,name_zh-hant,長嚎,長嚎 / 长嚎
dragon-claw,name_ko,드래곤클로,드래곤크루
dragon-claw,name_zh-hant,龍爪,龍爪 / 龙爪
frenzy-plant,name_zh-hant,瘋狂植物,瘋狂植物 / 疯狂植物
bounce,name_ko,뛰어오르기,뛰어오르다
bounce,name_zh-hant,彈跳,彈跳 / 弹跳
mud-shot,name_ko,머드샷,머드숏
mud-shot,name_zh-hant,泥巴射擊,泥巴射擊 / 泥巴射击
volt-tackle,name_es,Placaje Eléctrico,Placaje Eléc
volt-tackle,name_zh-hant,伏特攻擊,伏特攻擊 / 伏特攻击
magical-leaf,name_ko,매지컬리프,메지컬리프
magical-leaf,name_zh-hant,魔法葉,魔法葉 / 魔法叶
leaf-blade,name_zh-hant,葉刃,葉刃 / 叶刃
dragon-dance,name_zh-hant,龍之舞,龍之舞 / 龙之舞
rock-blast,name_ko,록블라스트,락블레스트
rock-blast,name_zh-hant,岩石爆擊,岩石爆擊 / 岩石爆击
shock-wave,name_zh-hant,電擊波,電擊波 / 电击波
water-pulse,name_zh-hant,水之波動,水之波動 / 水之波动
doom-desire,name_zh-hant,破滅之願,破滅之願 / 破灭之愿
psycho-boost,name_zh-hant,精神突進,精神突進 / 精神突进
roost,name_zh-hant,羽棲,羽棲 / 羽栖
miracle-eye,name_zh-hant,奇跡之眼,奇跡之眼 / 奇迹之眼
wake-up-slap,name_zh-hant,喚醒巴掌,喚醒巴掌 / 唤醒巴掌
hammer-arm,name_zh-hant,臂錘,臂錘 / 臂锤
healing-wish,name_zh-hant,治癒之願,治癒之願 / 治愈之愿
brine,name_zh-hant,鹽水,鹽水 / 盐水
tailwind,name_zh-hant,順風,順風 / 顺风
acupressure,name_zh-hant,點穴,點穴 / 点穴
metal-burst,name_zh-hant,金屬爆炸,金屬爆炸 / 金属爆炸
close-combat,name_zh-hant,近身戰,近身戰 / 近身战
payback,name_zh-hant,以牙還牙,以牙還牙 / 以牙还牙
assurance,name_zh-hant,惡意追擊,惡意追擊 / 恶意追击
fling,name_zh-hant,投擲,投擲 / 投掷
psycho-shift,name_it,Psicotransfer,Psicotrasfer
psycho-shift,name_zh-hant,精神轉移,精神轉移 / 精神转移
heal-block,name_zh-hant,回復封鎖,回復封鎖 / 回复封锁
wring-out,name_zh-hant,絞緊,絞緊 / 绞紧
power-trick,name_zh-hant,力量戲法,力量戲法 / 力量戏法
lucky-chant,name_zh-hant,幸運咒語,幸運咒語 / 幸运咒语
me-first,name_fr,Moi d’Abord,Moi d'Abord
me-first,name_zh-hant,搶先一步,搶先一步 / 抢先一步
power-swap,name_ko,파워스왑,파워스웹
power-swap,name_zh-hant,力量互換,力量互換 / 力量互换
guard-swap,name_ko,가드스왑,가드스웹
guard-swap,name_zh-hant,防守互換,防守互換 / 防守互换
punishment,name_zh-hant,懲罰,懲罰 / 惩罚
last-resort,name_ko,비장의무기,뒀다쓰기
worry-seed,name_zh-hant,煩惱種子,煩惱種子 / 烦恼种子
sucker-punch,name_zh-hant,突襲,突襲 / 突袭
heart-swap,name_ko,하트스왑,하트스웹
heart-swap,name_zh-hant,心靈互換,心靈互換 / 心灵互换
aqua-ring,name_zh-hant,水流環,水流環 / 水流环
magnet-rise,name_zh-hant,電磁飄浮,電磁飄浮 / 电磁飘浮
flare-blitz,name_zh-hant,閃焰衝鋒,閃焰衝鋒 / 闪焰冲锋
force-palm,name_zh-hant,發勁,發勁 / 发劲
aura-sphere,name_it,Forzasfera,Sferapulsar
aura-sphere,name_zh-hant,波導彈,波導彈 / 波导弹
poison-jab,name_zh-hant,毒擊,毒擊 / 毒击
dark-pulse,name_zh-hant,惡之波動,惡之波動 / 恶之波动
night-slash,name_zh-hant,暗襲要害,暗襲要害 / 暗袭要害
seed-bomb,name_zh-hant,種子炸彈,種子炸彈 / 种子炸弹
air-slash,name_fr,Lame d’Air,Lame d'Air
air-slash,name_zh-hant,空氣斬,空氣斬 / 空气斩
bug-buzz,name_zh-hant,蟲鳴,蟲鳴 / 虫鸣
dragon-pulse,name_zh-hant,龍之波動,龍之波動 / 龙之波动
dragon-rush,name_zh-hant,龍之俯衝,龍之俯衝 / 龙之俯冲
focus-blast,name_zh-hant,真氣彈,真氣彈 / 真气弹
brave-bird,name_zh-hant,勇鳥猛攻,勇鳥猛攻 / 勇鸟猛攻
giga-impact,name_zh-hant,終極衝擊,終極衝擊 / 终极冲击
nasty-plot,name_zh-hant,詭計,詭計 / 诡计
bullet-punch,name_zh-hant,子彈拳,子彈拳 / 子弹拳
ice-shard,name_zh-hant,冰礫,冰礫 / 冰砾
shadow-claw,name_ko,섀도클로,섀도크루
ice-fang,name_zh-hant,冰凍牙,冰凍牙 / 冰冻牙
shadow-sneak,name_zh-hant,影子偷襲,影子偷襲 / 影子偷袭
mud-bomb,name_zh-hant,泥巴炸彈,泥巴炸彈 / 泥巴炸弹
zen-headbutt,name_fr,Psykoud’Boul,Psykoud'Boul
zen-headbutt,name_zh-hant,意念頭錘,意念頭錘 / 意念头锤
mirror-shot,name_ko,미러샷,미러숏
mirror-shot,name_zh-hant,鏡光射擊,鏡光射擊 / 镜光射击
flash-cannon,name_es,Cañón Resplandor,Foco Resplandor
flash-cannon,name_zh-hant,加農光炮,加農光炮 / 加农光炮
rock-climb,name_ko,록클라임,락클라임
defog,name_zh-hant,清除濃霧,清除濃霧 / 清除浓雾
trick-room,name_zh-hant,戲法空間,戲法空間 / 戏法空间
discharge,name_fr,Coup d’Jus,Coup d'Jus
discharge,name_zh-hant,放電,放電 / 放电
lava-plume,name_zh-hant,噴煙,噴煙 / 喷烟
leaf-storm,name_es,Lluevehojas,Lluevahojas
leaf-storm,name_zh-hant,飛葉風暴,飛葉風暴 / 飞叶风暴
power-whip,name_zh-hant,強力鞭打,強力鞭打 / 强力鞭打
gunk-shot,name_zh-hant,垃圾射擊,垃圾射擊 / 垃圾射击
iron-head,name_zh-hant,鐵頭,鐵頭 / 铁头
magnet-bomb,name_zh-hant,磁鐵炸彈,磁鐵炸彈 / 磁铁炸弹
stone-edge,name_zh-hant,尖石攻擊,尖石攻擊 / 尖石攻击
captivate,name_zh-hant,誘惑,誘惑 / 诱惑
stealth-rock,name_zh-hant,隱形岩,隱形岩 / 隐形岩
grass-knot,name_zh-hant,打草結,打草結 / 打草结
judgment,name_zh-hant,制裁光礫,制裁光礫 / 制裁光砾
bug-bite,name_ko,벌레먹기,벌레먹음
bug-bite,name_zh-hant,蟲咬,蟲咬 / 虫咬
charge-beam,name_zh-hant,充電光束,充電光束 / 充电光束
aqua-jet,name_zh-hant,水流噴射,水流噴射 / 水流喷射
attack-order,name_fr,Appel Attaque,Appel Attak
attack-order,name_zh-hant,攻擊指令,攻擊指令 / 攻击指令
defend-order,name_zh-hant,防禦指令,防禦指令 / 防御指令
heal-order,name_zh-hant,回復指令,回復指令 / 回复指令
head-smash,name_fr,Fracass’Tête,Fracass'Tête
head-smash,name_zh-hant,雙刃頭錘,雙刃頭錘 / 双刃头锤
double-hit,name_zh-hant,二連擊,二連擊 / 二连击
roar-of-time,name_zh-hant,時光咆哮,時光咆哮 / 时光咆哮
spacial-rend,name_zh-hant,亞空裂斬,亞空裂斬 / 亚空裂斩
magma-storm,name_zh-hant,熔岩風暴,熔岩風暴 / 熔岩风暴
seed-flare,name_zh-hant,種子閃光,種子閃光 / 种子闪光
ominous-wind,name_zh-hant,奇異之風,奇異之風 / 奇异之风
shadow-force,name_zh-hant,暗影潛襲,暗影潛襲 / 暗影潜袭
wide-guard,name_zh-hant,廣域防守,廣域防守 / 广域防守
wonder-room,name_zh-hant,奇妙空間,奇妙空間 / 奇妙空间
psyshock,name_zh-hant,精神衝擊,精神衝擊 / 精神冲击
venoshock,name_zh-hant,毒液衝擊,毒液衝擊 / 毒液冲击
autotomize,name_zh-hant,身體輕量化,身體輕量化 / 身体轻量化
rage-powder,name_zh-hant,憤怒粉,憤怒粉 / 愤怒粉
magic-room,name_zh-hant,魔法空間,魔法空間 / 魔法空间
smack-down,name_zh-hant,擊落,擊落 / 击落
storm-throw,name_zh-hant,山嵐摔,山嵐摔 / 山岚摔
flame-burst,name_zh-hant,烈焰濺射,烈焰濺射 / 烈焰溅射
heavy-slam,name_zh-hant,重磅衝撞,重磅衝撞 / 重磅冲撞
synchronoise,name_zh-hant,同步干擾,同步干擾 / 同步干扰
electro-ball,name_zh-hant,電球,電球 / 电球
flame-charge,name_zh-hant,蓄能焰襲,蓄能焰襲 / 蓄能焰袭
coil,name_zh-hant,盤蜷,盤蜷 / 盘蜷
low-sweep,name_zh-hant,下盤踢,下盤踢 / 下盘踢
acid-spray,name_zh-hant,酸液炸彈,酸液炸彈 / 酸液炸弹
foul-play,name_zh-hant,欺詐,欺詐 / 欺诈
simple-beam,name_zh-hant,單純光束,單純光束 / 单纯光束
entrainment,name_zh-hant,找夥伴,找夥伴 / 找伙伴
after-you,name_zh-hant,您先請,您先請 / 您先请
round,name_zh-hant,輪唱,輪唱 / 轮唱
echoed-voice,name_zh-hant,回聲,回聲 / 回声
chip-away,name_zh-hant,逐步擊破,逐步擊破 / 逐步击破
clear-smog,name_zh-hant,清除之煙,清除之煙 / 清除之烟
stored-power,name_zh-hant,輔助力量,輔助力量 / 辅助力量
quick-guard,name_ko,패스트가드,퍼스트가드
ally-switch,name_zh-hant,交換場地,交換場地 / 交换场地
scald,name_zh-hant,熱水,熱水 / 热水
shell-smash,name_zh-hant,破殼,破殼 / 破壳
heal-pulse,name_it,Ondasana,Curapulsar
heal-pulse,name_zh-hant,治癒波動,治癒波動 / 治愈波动
hex,name_zh-hant,禍不單行,禍不單行 / 祸不单行
sky-drop,name_zh-hant,自由落體,自由落體 / 自由落体
shift-gear,name_fr,Chgt Vitesse,Chgt Vitesse
shift-gear,name_zh-hant,換檔,換檔 / 换挡
incinerate,name_zh-hant,燒盡,燒盡 / 烧尽
quash,name_zh-hant,延後,延後 / 延后
acrobatics,name_zh-hant,雜技,雜技 / 杂技
reflect-type,name_zh-hant,鏡面屬性,鏡面屬性 / 镜面属性
retaliate,name_zh-hant,報仇,報仇 / 报仇
bestow,name_zh-hant,傳遞禮物,傳遞禮物 / 传递礼物
inferno,name_fr,Feu d’Enfer,Feu d'Enfer
inferno,name_zh-hant,煉獄,煉獄 / 炼狱
water-pledge,name_fr,Aire d’Eau,Aire d'Eau
water-pledge,name_zh-hant,水之誓約,水之誓約 / 水之誓约
fire-pledge,name_zh-hant,火之誓約,火之誓約 / 火之誓约
grass-pledge,name_fr,Aire d’Herbe,Aire d'Herbe
grass-pledge,name_zh-hant,草之誓約,草之誓約 / 草之誓约
volt-switch,name_zh-hant,伏特替換,伏特替換 / 伏特替换
struggle-bug,name_zh-hant,蟲之抵抗,蟲之抵抗 / 虫之抵抗
dragon-tail,name_zh-hant,龍尾,龍尾 / 龙尾
work-up,name_zh-hant,自我激勵,自我激勵 / 自我激励
electroweb,name_zh-hant,電網,電網 / 电网
wild-charge,name_zh-hant,瘋狂伏特,瘋狂伏特 / 疯狂伏特
drill-run,name_zh-hant,直衝鑽,直衝鑽 / 直冲钻
dual-chop,name_zh-hant,二連劈,二連劈 / 二连劈
heart-stamp,name_fr,Crève-Cœur,Crèvecœur
heart-stamp,name_zh-hant,愛心印章,愛心印章 / 爱心印章
horn-leech,name_ko,우드혼,우드호른
sacred-sword,name_zh-hant,聖劍,聖劍 / 圣剑
razor-shell,name_zh-hant,貝殼刃,貝殼刃 / 贝壳刃
heat-crash,name_zh-hant,高溫重壓,高溫重壓 / 高温重压
leaf-tornado,name_zh-hant,青草攪拌器,青草攪拌器 / 青草搅拌器
steamroller,name_zh-hant,瘋狂滾壓,瘋狂滾壓 / 疯狂滚压
