key,column,pokeapi,pokedb,chosen
black-apricorn/black-2-white-2,flavor_text,"A black Apricorn
It has an indescribable scent.",A black Apricorn. It has an indescribable scent.,"A black Apricorn
It has an indescribable scent."
black-apricorn/black-white,flavor_text,"A black Apricorn
It has an indescribable scent.",A black Apricorn. It has an indescribable scent.,"A black Apricorn
It has an indescribable scent."
black-apricorn/heartgold-soulsilver,flavor_text,"A black Apricorn
It has an indescribable scent.",A black Apricorn. It has an indescribable scent.,"A black Apricorn
It has an indescribable scent."
black-belt/diamond-pearl,flavor_text,"An item to be held by a Pokémon.
It is a belt that boosts determination
and Fighting-type moves.",It is a belt that boosts determination and Fighting-type moves.,"An item to be held by a Pokémon.
It is a belt that boosts determination
and Fighting-type moves."
black-belt/x-y,flavor_text,"An item to be held by a Pokémon.
This belt helps the wearer to focus and
boosts the power of Fighting-type moves.",This belt helps the wearer to focus and boosts the power of Fighting-type moves.,"An item to be held by a Pokémon.
This belt helps the wearer to focus and
boosts the power of Fighting-type moves."
buginium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Bug-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Bug-type moves to Bug-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Bug-type moves to Z-Moves."
buginium-z--held/sword-shield,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Bug-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Bug-type moves to Bug-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Bug-type moves to Z-Moves."
buginium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Bug-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Bug-type moves to Bug-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Bug-type moves to Z-Moves."
card-key/emerald,flavor_text,"A card-type door
key used in SILPH
CO’s office.",A card-type door key used in Silph Co.'s office.,"A card-type door
key used in SILPH
CO’s office."
card-key/lets-go-pikachu-lets-go-eevee,flavor_text,"A card key that opens a shutter in the
Radio Tower.",A card key that unlocks doors in Silph Co.'s head office in Saffron City.,"A card key that opens a shutter in the
Radio Tower."
card-key/sword-shield,flavor_text,"A card key that opens a shutter in the
Radio Tower.",A card key that unlocks doors in Silph Co.'s head office in Saffron City.,"A card key that opens a shutter in the
Radio Tower."
charcoal/black-2-white-2,flavor_text,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves.",It is a combustible fuel that boosts the power of Fire-type moves.,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves."
charcoal/black-white,flavor_text,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves.",It is a combustible fuel that boosts the power of Fire-type moves.,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves."
charcoal/diamond-pearl,flavor_text,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves.",It is a combustible fuel that boosts the power of Fire-type moves.,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves."
charcoal/firered-leafgreen,flavor_text,"An item to be held by a POKéMON.
A combustible fuel that boosts the
power of FIRE-type moves.",A combustible fuel that boosts the power of Fire-type moves.,"An item to be held by a POKéMON.
A combustible fuel that boosts the
power of FIRE-type moves."
charcoal/heartgold-soulsilver,flavor_text,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves.",It is a combustible fuel that boosts the power of Fire-type moves.,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves."
charcoal/platinum,flavor_text,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves.",It is a combustible fuel that boosts the power of Fire-type moves.,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves."
charcoal/sun-moon,flavor_text,"An item to be held by a Pokémon. It’s a combustible
fuel that boosts the power of Fire-type moves.",It's a combustible fuel that boosts the power of Fire-type moves.,"An item to be held by a Pokémon. It’s a combustible
fuel that boosts the power of Fire-type moves."
charcoal/sword-shield,flavor_text,"An item to be held by a Pokémon. It’s a combustible
fuel that boosts the power of Fire-type moves.",It's a combustible fuel that boosts the power of Fire-type moves.,"An item to be held by a Pokémon. It’s a combustible
fuel that boosts the power of Fire-type moves."
charcoal/ultra-sun-ultra-moon,flavor_text,"An item to be held by a Pokémon. It’s a combustible
fuel that boosts the power of Fire-type moves.",It's a combustible fuel that boosts the power of Fire-type moves.,"An item to be held by a Pokémon. It’s a combustible
fuel that boosts the power of Fire-type moves."
charcoal/x-y,flavor_text,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves.",It is a combustible fuel that boosts the power of Fire-type moves.,"An item to be held by a Pokémon.
It is a combustible fuel that boosts
the power of Fire-type moves."
chesto-berry/diamond-pearl,flavor_text,"A Poffin ingredient. It may be used
or held by a Pokémon to recover from
sleep.",It may be used or held by a Pokémon to recover from sleep.,"A Poffin ingredient. It may be used
or held by a Pokémon to recover from
sleep."
chesto-berry/platinum,flavor_text,"A Poffin ingredient. It may be used
or held by a Pokémon to recover from
sleep.",It may be used or held by a Pokémon to recover from sleep.,"A Poffin ingredient. It may be used
or held by a Pokémon to recover from
sleep."
chesto-berry/x-y,flavor_text,"A Berry to be consumed by Pokémon.
If a Pokémon holds one, it can recover
from sleep on its own in battle.","A Berry to be consumed by Pokémon. If held, it can recover from sleep in battle.","A Berry to be consumed by Pokémon.
If a Pokémon holds one, it can recover
from sleep on its own in battle."
courage-candy/lets-go-pikachu-lets-go-eevee,flavor_text,"A candy that is packed with energy. When given to
a Pokémon, it will increase that Pokémon’s Sp. Def stat.","A candy that is packed with energy. When given to a Pokémon, it will increase that Pokémon's Sp. Defense.","A candy that is packed with energy. When given to
a Pokémon, it will increase that Pokémon’s Sp. Def stat."
courage-candy/sword-shield,flavor_text,"A candy that is packed with energy. When given to
a Pokémon, it will increase that Pokémon’s Sp. Def stat.","A candy that is packed with energy. When given to a Pokémon, it will increase that Pokémon's Sp. Defense.","A candy that is packed with energy. When given to
a Pokémon, it will increase that Pokémon’s Sp. Def stat."
courage-candy-l/lets-go-pikachu-lets-go-eevee,flavor_text,"A big candy that is packed with energy. When given to
a Pokémon at Lv. 30 or higher, it will increase that
Pokémon’s Sp. Def stat.","A big candy that is packed with energy. When given to a Pokémon Lv. 30 or higher, it will increase that Pokémon's Sp. Defense.","A big candy that is packed with energy. When given to
a Pokémon at Lv. 30 or higher, it will increase that
Pokémon’s Sp. Def stat."
courage-candy-l/sword-shield,flavor_text,"A big candy that is packed with energy. When given to
a Pokémon at Lv. 30 or higher, it will increase that
Pokémon’s Sp. Def stat.","A big candy that is packed with energy. When given to a Pokémon Lv. 30 or higher, it will increase that Pokémon's Sp. Defense.","A big candy that is packed with energy. When given to
a Pokémon at Lv. 30 or higher, it will increase that
Pokémon’s Sp. Def stat."
courage-candy-xl/lets-go-pikachu-lets-go-eevee,flavor_text,"A huge candy that is packed with energy. When given
to a Pokémon at Lv. 60 or higher, it will increase that
Pokémon’s Sp. Def stat.","A huge candy that is packed with energy. When given to a Pokémon, it will increase that Pokémon's Sp. Defense.","A huge candy that is packed with energy. When given
to a Pokémon at Lv. 60 or higher, it will increase that
Pokémon’s Sp. Def stat."
courage-candy-xl/sword-shield,flavor_text,"A huge candy that is packed with energy. When given
to a Pokémon at Lv. 60 or higher, it will increase that
Pokémon’s Sp. Def stat.","A huge candy that is packed with energy. When given to a Pokémon, it will increase that Pokémon's Sp. Defense.","A huge candy that is packed with energy. When given
to a Pokémon at Lv. 60 or higher, it will increase that
Pokémon’s Sp. Def stat."
data-card-01/x-y,flavor_text,"It holds Pokéathlon records. It is a
card that shows how many victories
you have had in the Pokéathlon.",Pokéathlon records. It is a card that shows how many victories you have had in the Pokéathlon.,"It holds Pokéathlon records. It is a
card that shows how many victories
you have had in the Pokéathlon."
decidium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Decidueye’s Spirit Shackle to a Z-Move.",It converts Z-Power into crystals that upgrade Decidueye's Spirit Shackle to an exclusive Z-Move.,"This is a crystallized form of Z-Power.
It upgrades Decidueye’s Spirit Shackle to a Z-Move."
decidium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Decidueye’s Spirit Shackle to a Z-Move.",It converts Z-Power into crystals that upgrade Decidueye's Spirit Shackle to an exclusive Z-Move.,"This is a crystallized form of Z-Power.
It upgrades Decidueye’s Spirit Shackle to a Z-Move."
dragonium-z--held/lets-go-pikachu-lets-go-eevee,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Dragon-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Dragon-type moves to Dragon-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Dragon-type moves to Z-Moves."
dragonium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Dragon-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Dragon-type moves to Dragon-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Dragon-type moves to Z-Moves."
dragonium-z--held/sword-shield,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Dragon-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Dragon-type moves to Dragon-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Dragon-type moves to Z-Moves."
dragonium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Dragon-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Dragon-type moves to Dragon-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Dragon-type moves to Z-Moves."
dropped-item/black-2-white-2,flavor_text,"The Xtransceiver found at the
Nimbasa City amusement park.
It seems it belongs to a boy.",The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy. The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a girl.,"The Xtransceiver found at the
Nimbasa City amusement park.
It seems it belongs to a boy."
dropped-item/sword-shield,flavor_text,"The Xtransceiver found at the Nimbasa City
amusement park. It seems it belongs to a boy.",The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy. The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a girl.,"The Xtransceiver found at the Nimbasa City
amusement park. It seems it belongs to a boy."
dropped-item/x-y,flavor_text,"The Xtransceiver found at the
Nimbasa City amusement park.
It seems it belongs to a boy.",The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy. The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a girl.,"The Xtransceiver found at the
Nimbasa City amusement park.
It seems it belongs to a boy."
eevium-z--held/lets-go-pikachu-lets-go-eevee,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Eevee’s Last Resort to a Z-Move.",It converts Z-Power into crystals that upgrade Eevee's Last Resort to an exclusive Z-Move.,"This is a crystallized form of Z-Power.
It upgrades Eevee’s Last Resort to a Z-Move."
eevium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Eevee’s Last Resort to a Z-Move.",It converts Z-Power into crystals that upgrade Eevee's Last Resort to an exclusive Z-Move.,"This is a crystallized form of Z-Power.
It upgrades Eevee’s Last Resort to a Z-Move."
eevium-z--held/sword-shield,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Eevee’s Last Resort to a Z-Move.",It converts Z-Power into crystals that upgrade Eevee's Last Resort to an exclusive Z-Move.,"This is a crystallized form of Z-Power.
It upgrades Eevee’s Last Resort to a Z-Move."
eevium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Eevee’s Last Resort to a Z-Move.",It converts Z-Power into crystals that upgrade Eevee's Last Resort to an exclusive Z-Move.,"This is a crystallized form of Z-Power.
It upgrades Eevee’s Last Resort to a Z-Move."
electrium-z--held/lets-go-pikachu-lets-go-eevee,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Electric-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Electric-type moves to Electric-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Electric-type moves to Z-Moves."
electrium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Electric-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Electric-type moves to Electric-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Electric-type moves to Z-Moves."
electrium-z--held/sword-shield,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Electric-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Electric-type moves to Electric-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Electric-type moves to Z-Moves."
electrium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Electric-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Electric-type moves to Electric-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Electric-type moves to Z-Moves."
explorer-kit/black-2-white-2,flavor_text,"A bag filled with convenient tools
for exploring. It provides access to
the Underground.",A bag filled with convenient tools for exploring. It provides access to the Underground in the Sinnoh region.,"A bag filled with convenient tools
for exploring. It provides access to
the Underground."
explorer-kit/black-white,flavor_text,"A bag filled with convenient tools
for exploring. It provides access to
the Underground.",A bag filled with convenient tools for exploring. It provides access to the Underground in the Sinnoh region.,"A bag filled with convenient tools
for exploring. It provides access to
the Underground."
fairium-z--held/lets-go-pikachu-lets-go-eevee,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Fairy-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Fairy-type moves to Fairy-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Fairy-type moves to Z-Moves."
fairium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Fairy-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Fairy-type moves to Fairy-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Fairy-type moves to Z-Moves."
fairium-z--held/sword-shield,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Fairy-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Fairy-type moves to Fairy-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Fairy-type moves to Z-Moves."
fairium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Fairy-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Fairy-type moves to Fairy-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Fairy-type moves to Z-Moves."
lafeather-ball/legends-arceus,flavor_text,"Can be thrown further than a regular Poké Ball.
Is more effective for catching Pokémon that fly high in the air.",A ball that flies fast and true—ideal for catching nimble Pokémon or Pokémon that fly high in the air.,"Can be thrown further than a regular Poké Ball.
Is more effective for catching Pokémon that fly high in the air."
fightinium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Fighting-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Fighting-type moves to Fighting-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Fighting-type moves to Z-Moves."
fightinium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Fighting-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Fighting-type moves to Fighting-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Fighting-type moves to Z-Moves."
figy-berry/diamond-pearl,flavor_text,"A Poffin ingredient. If held by a
Pokémon, it restores the user’s HP in
a pinch, but may also cause confusion.","If held by a Pokémon, it restores the user's HP in a pinch, but may also cause confusion.","A Poffin ingredient. If held by a
Pokémon, it restores the user’s HP in
a pinch, but may also cause confusion."
figy-berry/platinum,flavor_text,"A Poffin ingredient. If held by a
Pokémon, it restores the user’s HP in
a pinch, but may also cause confusion.","If held by a Pokémon, it restores the user's HP in a pinch, but may also cause confusion.","A Poffin ingredient. If held by a
Pokémon, it restores the user’s HP in
a pinch, but may also cause confusion."
firium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Fire-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Fire-type moves to Fire-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Fire-type moves to Z-Moves."
firium-z--held/sword-shield,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Fire-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Fire-type moves to Fire-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Fire-type moves to Z-Moves."
firium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Fire-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Fire-type moves to Fire-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Fire-type moves to Z-Moves."
fishing-rod/sword-shield,flavor_text,"A fishing rod made by Captain Lana. Cast a line
over piles of underwater rocks to fish for wild
aquatic Pokémon.",Use it by the water to fish up various kinds of Pokémon.,"A fishing rod made by Captain Lana. Cast a line
over piles of underwater rocks to fish for wild
aquatic Pokémon."
flyinium-z--held/lets-go-pikachu-lets-go-eevee,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Flying-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Flying-type moves to Flying-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Flying-type moves to Z-Moves."
flyinium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Flying-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Flying-type moves to Flying-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Flying-type moves to Z-Moves."
flyinium-z--held/sword-shield,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Flying-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Flying-type moves to Flying-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Flying-type moves to Z-Moves."
flyinium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Flying-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Flying-type moves to Flying-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Flying-type moves to Z-Moves."
focus-band/diamond-pearl,flavor_text,"An item to be held by a Pokémon.
The holder may endure a potential KO
attack, leaving it with just 1 HP.","The holder may endure a potential KO attack, leaving it with just 1 HP.","An item to be held by a Pokémon.
The holder may endure a potential KO
attack, leaving it with just 1 HP."
focus-band/firered-leafgreen,flavor_text,"An item to be held by a POKéMON.
The holding POKéMON may endure an
attack, leaving just 1 HP.","The holding Pokémon may endure an attack, leaving just 1 HP.","An item to be held by a POKéMON.
The holding POKéMON may endure an
attack, leaving just 1 HP."
focus-band/platinum,flavor_text,"An item to be held by a Pokémon.
The holder may endure a potential KO
attack, leaving it with just 1 HP.","The holder may endure a potential KO attack, leaving it with just 1 HP.","An item to be held by a Pokémon.
The holder may endure a potential KO
attack, leaving it with just 1 HP."
galactic-key/black-2-white-2,flavor_text,"A card key for disengaging security
systems in the Galactic HQ. Losing it
can result in punishment, apparently.","A card key for disengaging the security systems in the Galactic HQ. Losing it can result in punishment, apparently.","A card key for disengaging security
systems in the Galactic HQ. Losing it
can result in punishment, apparently."
galactic-key/black-white,flavor_text,"A card key for disengaging security
systems in the Galactic HQ. Losing it
can result in punishment, apparently.","A card key for disengaging the security systems in the Galactic HQ. Losing it can result in punishment, apparently.","A card key for disengaging security
systems in the Galactic HQ. Losing it
can result in punishment, apparently."
ghostium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Ghost-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Ghost-type moves to Ghost-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Ghost-type moves to Z-Moves."
ghostium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Ghost-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Ghost-type moves to Ghost-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Ghost-type moves to Z-Moves."
lagigaton-ball/legends-arceus,flavor_text,"Upgraded version of the Leaden Ball. Doesn't fly far,
but is more effective if the Pokémon hasn't noticed the player.","The ultimate iteration of the Heavy Ball. A ball that is too heavy to fly high or far, but it is highly effective if you manage to hit an unsuspecting Pokémon.","Upgraded version of the Leaden Ball. Doesn't fly far,
but is more effective if the Pokémon hasn't noticed the player."
grassium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Grass-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Grass-type moves to Grass-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Grass-type moves to Z-Moves."
grassium-z--held/sword-shield,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Grass-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Grass-type moves to Grass-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Grass-type moves to Z-Moves."
grassium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Grass-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Grass-type moves to Grass-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Grass-type moves to Z-Moves."
grepa-berry/diamond-pearl,flavor_text,"A Poffin ingredient. Using it on a
Pokémon makes it more friendly, but
it also lowers its base Sp. Def stat.","Using it on a Pokémon makes it more friendly, but it also lowers its base Sp. Def stat.","A Poffin ingredient. Using it on a
Pokémon makes it more friendly, but
it also lowers its base Sp. Def stat."
grepa-berry/platinum,flavor_text,"A Poffin ingredient. Using it on a
Pokémon makes it more friendly, but
it also lowers its base Sp. Def stat.","Using it on a Pokémon makes it more friendly, but it also lowers its base Sp. Def stat.","A Poffin ingredient. Using it on a
Pokémon makes it more friendly, but
it also lowers its base Sp. Def stat."
grepa-berry/sword-shield,flavor_text,"A Berry to be consumed by Pokémon. Using it on a
Pokémon makes it more friendly but lowers its
Sp. Def base points.",A Berry to be consumed by Pokémon. Using it makes it more friendly but lowers its Sp. Def base points.,"A Berry to be consumed by Pokémon. Using it on a
Pokémon makes it more friendly but lowers its
Sp. Def base points."
groundium-z--held/lets-go-pikachu-lets-go-eevee,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Ground-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Ground-type moves to Ground-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Ground-type moves to Z-Moves."
groundium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Ground-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Ground-type moves to Ground-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Ground-type moves to Z-Moves."
groundium-z--held/sword-shield,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Ground-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Ground-type moves to Ground-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Ground-type moves to Z-Moves."
groundium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power.
It upgrades Ground-type moves to Z-Moves.",It converts Z-Power into crystals that upgrade Ground-type moves to Ground-type Z-Moves.,"This is a crystallized form of Z-Power.
It upgrades Ground-type moves to Z-Moves."
grubby-hanky/black-2-white-2,flavor_text,"A handkerchief dropped by
a regular at Café Warehouse.
It smells faintly like a Pokémon.",A handkerchief dropped by a regular at the Café Warehouse. It smells faintly like a Pokémon.,"A handkerchief dropped by
a regular at Café Warehouse.
It smells faintly like a Pokémon."
grubby-hanky/lets-go-pikachu-lets-go-eevee,flavor_text,"A handkerchief dropped by a regular at
Café Warehouse. It smells faintly like a Pokémon.",A handkerchief dropped by a regular at the Café Warehouse. It smells faintly like a Pokémon.,"A handkerchief dropped by a regular at
Café Warehouse. It smells faintly like a Pokémon."
grubby-hanky/sun-moon,flavor_text,"A handkerchief dropped by a regular at
Café Warehouse. It smells faintly like a Pokémon.",A handkerchief dropped by a regular at the Café Warehouse. It smells faintly like a Pokémon.,"A handkerchief dropped by a regular at
Café Warehouse. It smells faintly like a Pokémon."
