key,column,pokeapi,pokedb,chosen
breakneck-blitz/sun-moon/es-419,flavor_text(z-split),"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original.",Dummy data,"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original."
breakneck-blitz/ultra-sun-ultra-moon/ja-hrkt,flavor_text(z-split),"Ｚパワーで　いきおいを　つけて
ぜんりょくで　あいてに　ぶつかる。
もとになった　わざで　いりょくが　かわる。",ダミーデータ,"Ｚパワーで　いきおいを　つけて
ぜんりょくで　あいてに　ぶつかる。
もとになった　わざで　いりょくが　かわる。"
breakneck-blitz/ultra-sun-ultra-moon/ko,flavor_text(z-split),"Z파워로 기세를 몰아
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다.",Dummy Data,"Z파워로 기세를 몰아
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다."
breakneck-blitz/ultra-sun-ultra-moon/zh-hant,flavor_text(z-split),"透過Ｚ力量氣勢猛烈地
全力撞擊對手。
威力會隨原本的招式而改變。",ダミーデータ,"透過Ｚ力量氣勢猛烈地
全力撞擊對手。
威力會隨原本的招式而改變。"
breakneck-blitz/ultra-sun-ultra-moon/fr,flavor_text(z-split),"Le Pokémon utilise la Force Z pour s’élancer à toute
vitesse sur l’adversaire. La puissance varie selon
celle de la capacité originale.",Dummy,"Le Pokémon utilise la Force Z pour s’élancer à toute
vitesse sur l’adversaire. La puissance varie selon
celle de la capacité originale."
breakneck-blitz/ultra-sun-ultra-moon/de,flavor_text(z-split),"Der durch Z-Kraft energiegeladene Anwender rennt
mit ganzer Kraft gegen das Ziel. Die Stärke variiert
je nach zugrunde liegender Attacke.",Dummy data,"Der durch Z-Kraft energiegeladene Anwender rennt
mit ganzer Kraft gegen das Ziel. Die Stärke variiert
je nach zugrunde liegender Attacke."
breakneck-blitz/ultra-sun-ultra-moon/es,flavor_text(z-split),"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original.",Dummy data,"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original."
breakneck-blitz/ultra-sun-ultra-moon/it,flavor_text(z-split),"Grazie al Potere Z, chi la usa accumula energia e si
lancia a tutta forza contro il bersaglio. La potenza
varia a seconda della mossa su cui si basa.",Dummy Data,"Grazie al Potere Z, chi la usa accumula energia e si
lancia a tutta forza contro il bersaglio. La potenza
varia a seconda della mossa su cui si basa."
breakneck-blitz/ultra-sun-ultra-moon/en,flavor_text(z-split),"The user builds up its momentum using its Z-Power
and crashes into the target at full speed. The power
varies, depending on the original move.",Dummy Data,"The user builds up its momentum using its Z-Power
and crashes into the target at full speed. The power
varies, depending on the original move."
breakneck-blitz/ultra-sun-ultra-moon/ja,flavor_text(z-split),"Ｚパワーで　勢いを　つけて
全力で　相手に　ぶつかる。
元になった　技で　威力が　変わる。",ダミーデータ,"Ｚパワーで　勢いを　つけて
全力で　相手に　ぶつかる。
元になった　技で　威力が　変わる。"
breakneck-blitz/ultra-sun-ultra-moon/zh-hans,flavor_text(z-split),"通过Ｚ力量气势猛烈地
全力撞上对手。
威力会根据原来的招式而改变。",ダミーデータ,"通过Ｚ力量气势猛烈地
全力撞上对手。
威力会根据原来的招式而改变。"
breakneck-blitz/ultra-sun-ultra-moon/es-419,flavor_text(z-split),"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original.",Dummy data,"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original."
breakneck-blitz/lets-go-pikachu-lets-go-eevee/ja-hrkt,flavor_text(z-split),"Ｚパワーで　いきおいを　つけて
ぜんりょくで　あいてに　ぶつかる。
もとになった　わざで　いりょくが　かわる。",ダミーデータ,"Ｚパワーで　いきおいを　つけて
ぜんりょくで　あいてに　ぶつかる。
もとになった　わざで　いりょくが　かわる。"
breakneck-blitz/lets-go-pikachu-lets-go-eevee/ko,flavor_text(z-split),"Z파워로 기세를 몰아
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다.",Dummy Data,"Z파워로 기세를 몰아
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다."
breakneck-blitz/lets-go-pikachu-lets-go-eevee/zh-hant,flavor_text(z-split),"透過Ｚ力量氣勢猛烈地
全力撞擊對手。
威力會隨原本的招式而改變。",ダミーデータ,"透過Ｚ力量氣勢猛烈地
全力撞擊對手。
威力會隨原本的招式而改變。"
breakneck-blitz/lets-go-pikachu-lets-go-eevee/fr,flavor_text(z-split),"Le Pokémon utilise la Force Z pour s’élancer
à toute vitesse sur l’adversaire. La puissance
varie selon celle de la capacité originale.",Dummy,"Le Pokémon utilise la Force Z pour s’élancer
à toute vitesse sur l’adversaire. La puissance
varie selon celle de la capacité originale."
breakneck-blitz/lets-go-pikachu-lets-go-eevee/de,flavor_text(z-split),"Der durch Z-Kraft energiegeladene Anwender rennt
mit ganzer Kraft gegen das Ziel. Die Stärke variiert
je nach zugrunde liegender Attacke.",Dummy data,"Der durch Z-Kraft energiegeladene Anwender rennt
mit ganzer Kraft gegen das Ziel. Die Stärke variiert
je nach zugrunde liegender Attacke."
breakneck-blitz/lets-go-pikachu-lets-go-eevee/es,flavor_text(z-split),"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original.",Dummy data,"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original."
breakneck-blitz/lets-go-pikachu-lets-go-eevee/it,flavor_text(z-split),"Grazie al Potere Z, chi la usa accumula energia e si
lancia a tutta forza contro il bersaglio. La potenza
varia a seconda della mossa su cui si basa.",Dummy Data,"Grazie al Potere Z, chi la usa accumula energia e si
lancia a tutta forza contro il bersaglio. La potenza
varia a seconda della mossa su cui si basa."
breakneck-blitz/lets-go-pikachu-lets-go-eevee/en,flavor_text(z-split),"The user builds up its momentum using its Z-Power
and crashes into the target at full speed. The power
varies, depending on the original move.",Dummy Data,"The user builds up its momentum using its Z-Power
and crashes into the target at full speed. The power
varies, depending on the original move."
breakneck-blitz/lets-go-pikachu-lets-go-eevee/ja,flavor_text(z-split),"Ｚパワーで　勢いを　つけて
全力で　相手に　ぶつかる。
元になった　技で　威力が　変わる。",ダミーデータ,"Ｚパワーで　勢いを　つけて
全力で　相手に　ぶつかる。
元になった　技で　威力が　変わる。"
breakneck-blitz/lets-go-pikachu-lets-go-eevee/zh-hans,flavor_text(z-split),"通过Ｚ力量气势猛烈地
全力撞上对手。
威力会根据原来的招式而改变。",ダミーデータ,"通过Ｚ力量气势猛烈地
全力撞上对手。
威力会根据原来的招式而改变。"
breakneck-blitz/lets-go-pikachu-lets-go-eevee/es-419,flavor_text(z-split),"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original.",Dummy data,"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original."
all-out-pummeling/sun-moon/ja-hrkt,flavor_text(z-split),"Ｚパワーで　つくった　エネルギーの　たまを
ぜんりょくで　あいてに　ぶつける。
もとになった　わざで　いりょくが　かわる。",ダミーデータ,"Ｚパワーで　つくった　エネルギーの　たまを
ぜんりょくで　あいてに　ぶつける。
もとになった　わざで　いりょくが　かわる。"
all-out-pummeling/sun-moon/ko,flavor_text(z-split),"Z파워로 만든 에너지 구슬을
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다.",Dummy Data,"Z파워로 만든 에너지 구슬을
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다."
all-out-pummeling/sun-moon/zh-hant,flavor_text(z-split),"將透過Ｚ力量製造的
能量彈全力撞向對手。
威力會隨原本的招式而改變。",ダミーデータ,"將透過Ｚ力量製造的
能量彈全力撞向對手。
威力會隨原本的招式而改變。"
all-out-pummeling/sun-moon/fr,flavor_text(z-split),"Le Pokémon utilise la Force Z pour créer une boule
d’énergie qu’il projette sur l’adversaire. La puissance
varie selon celle de la capacité originale.",Dummy,"Le Pokémon utilise la Force Z pour créer une boule
d’énergie qu’il projette sur l’adversaire. La puissance
varie selon celle de la capacité originale."
all-out-pummeling/sun-moon/de,flavor_text(z-split),"Aus Z-Kraft hergestellte Energiebälle prallen mit
voller Wucht auf das Ziel. Die Stärke variiert je nach
zugrunde liegender Attacke.",Dummy data,"Aus Z-Kraft hergestellte Energiebälle prallen mit
voller Wucht auf das Ziel. Die Stärke variiert je nach
zugrunde liegender Attacke."
all-out-pummeling/sun-moon/es,flavor_text(z-split),"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original.",Dummy data,"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original."
all-out-pummeling/sun-moon/it,flavor_text(z-split),"Chi la usa scaglia sul bersaglio una scarica di colpi
carichi di Potere Z. La potenza varia a seconda
della mossa su cui si basa.",Dummy Data,"Chi la usa scaglia sul bersaglio una scarica di colpi
carichi di Potere Z. La potenza varia a seconda
della mossa su cui si basa."
all-out-pummeling/sun-moon/en,flavor_text(z-split),"The user rams an energy orb created by its Z-Power
into the target with full force. The power varies,
depending on the original move.",Dummy Data,"The user rams an energy orb created by its Z-Power
into the target with full force. The power varies,
depending on the original move."
all-out-pummeling/sun-moon/ja,flavor_text(z-split),"Ｚパワーで　作った　エネルギーの　弾を
全力で　相手に　ぶつける。
元になった　技で　威力が　変わる。",ダミーデータ,"Ｚパワーで　作った　エネルギーの　弾を
全力で　相手に　ぶつける。
元になった　技で　威力が　変わる。"
all-out-pummeling/sun-moon/zh-hans,flavor_text(z-split),"通过Ｚ力量制造出能量弹，
全力撞向对手。
威力会根据原来的招式而改变。",ダミーデータ,"通过Ｚ力量制造出能量弹，
全力撞向对手。
威力会根据原来的招式而改变。"
all-out-pummeling/sun-moon/es-419,flavor_text(z-split),"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original.",Dummy data,"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original."
all-out-pummeling/ultra-sun-ultra-moon/ja-hrkt,flavor_text(z-split),"Ｚパワーで　つくった　エネルギーの　たまを
ぜんりょくで　あいてに　ぶつける。
もとになった　わざで　いりょくが　かわる。",ダミーデータ,"Ｚパワーで　つくった　エネルギーの　たまを
ぜんりょくで　あいてに　ぶつける。
もとになった　わざで　いりょくが　かわる。"
all-out-pummeling/ultra-sun-ultra-moon/ko,flavor_text(z-split),"Z파워로 만든 에너지 구슬을
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다.",Dummy Data,"Z파워로 만든 에너지 구슬을
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다."
all-out-pummeling/ultra-sun-ultra-moon/zh-hant,flavor_text(z-split),"將透過Ｚ力量製造的
能量彈全力撞向對手。
威力會隨原本的招式而改變。",ダミーデータ,"將透過Ｚ力量製造的
能量彈全力撞向對手。
威力會隨原本的招式而改變。"
all-out-pummeling/ultra-sun-ultra-moon/fr,flavor_text(z-split),"Le Pokémon utilise la Force Z pour créer une boule
d’énergie qu’il projette sur l’adversaire. La puissance
varie selon celle de la capacité originale.",Dummy,"Le Pokémon utilise la Force Z pour créer une boule
d’énergie qu’il projette sur l’adversaire. La puissance
varie selon celle de la capacité originale."
all-out-pummeling/ultra-sun-ultra-moon/de,flavor_text(z-split),"Aus Z-Kraft hergestellte Energiebälle prallen mit
voller Wucht auf das Ziel. Die Stärke variiert je nach
zugrunde liegender Attacke.",Dummy data,"Aus Z-Kraft hergestellte Energiebälle prallen mit
voller Wucht auf das Ziel. Die Stärke variiert je nach
zugrunde liegender Attacke."
all-out-pummeling/ultra-sun-ultra-moon/es,flavor_text(z-split),"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original.",Dummy data,"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original."
all-out-pummeling/ultra-sun-ultra-moon/it,flavor_text(z-split),"Chi la usa scaglia sul bersaglio una scarica di colpi
carichi di Potere Z. La potenza varia a seconda
della mossa su cui si basa.",Dummy Data,"Chi la usa scaglia sul bersaglio una scarica di colpi
carichi di Potere Z. La potenza varia a seconda
della mossa su cui si basa."
all-out-pummeling/ultra-sun-ultra-moon/en,flavor_text(z-split),"The user rams an energy orb created by its Z-Power
into the target with full force. The power varies,
depending on the original move.",Dummy Data,"The user rams an energy orb created by its Z-Power
into the target with full force. The power varies,
depending on the original move."
all-out-pummeling/ultra-sun-ultra-moon/ja,flavor_text(z-split),"Ｚパワーで　作った　エネルギーの　弾を
全力で　相手に　ぶつける。
元になった　技で　威力が　変わる。",ダミーデータ,"Ｚパワーで　作った　エネルギーの　弾を
全力で　相手に　ぶつける。
元になった　技で　威力が　変わる。"
all-out-pummeling/ultra-sun-ultra-moon/zh-hans,flavor_text(z-split),"通过Ｚ力量制造出能量弹，
全力撞向对手。
威力会根据原来的招式而改变。",ダミーデータ,"通过Ｚ力量制造出能量弹，
全力撞向对手。
威力会根据原来的招式而改变。"
all-out-pummeling/ultra-sun-ultra-moon/es-419,flavor_text(z-split),"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original.",Dummy data,"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original."
all-out-pummeling/lets-go-pikachu-lets-go-eevee/ja-hrkt,flavor_text(z-split),"Ｚパワーで　つくった　エネルギーの　たまを
ぜんりょくで　あいてに　ぶつける。
もとになった　わざで　いりょくが　かわる。",ダミーデータ,"Ｚパワーで　つくった　エネルギーの　たまを
ぜんりょくで　あいてに　ぶつける。
もとになった　わざで　いりょくが　かわる。"
all-out-pummeling/lets-go-pikachu-lets-go-eevee/ko,flavor_text(z-split),"Z파워로 만든 에너지 구슬을
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다.",Dummy Data,"Z파워로 만든 에너지 구슬을
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다."
all-out-pummeling/lets-go-pikachu-lets-go-eevee/zh-hant,flavor_text(z-split),"將透過Ｚ力量製造的
能量彈全力撞向對手。
威力會隨原本的招式而改變。",ダミーデータ,"將透過Ｚ力量製造的
能量彈全力撞向對手。
威力會隨原本的招式而改變。"
all-out-pummeling/lets-go-pikachu-lets-go-eevee/fr,flavor_text(z-split),"Le Pokémon utilise la Force Z pour créer une boule
d’énergie qu’il projette sur l’adversaire. La puissance
varie selon celle de la capacité originale.",Dummy,"Le Pokémon utilise la Force Z pour créer une boule
d’énergie qu’il projette sur l’adversaire. La puissance
varie selon celle de la capacité originale."
all-out-pummeling/lets-go-pikachu-lets-go-eevee/de,flavor_text(z-split),"Aus Z-Kraft hergestellte Energiebälle prallen mit
voller Wucht auf das Ziel. Die Stärke variiert je nach
zugrunde liegender Attacke.",Dummy data,"Aus Z-Kraft hergestellte Energiebälle prallen mit
voller Wucht auf das Ziel. Die Stärke variiert je nach
zugrunde liegender Attacke."
all-out-pummeling/lets-go-pikachu-lets-go-eevee/es,flavor_text(z-split),"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original.",Dummy data,"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original."
all-out-pummeling/lets-go-pikachu-lets-go-eevee/it,flavor_text(z-split),"Chi la usa scaglia sul bersaglio una scarica di colpi
carichi di Potere Z. La potenza varia a seconda
della mossa su cui si basa.",Dummy Data,"Chi la usa scaglia sul bersaglio una scarica di colpi
carichi di Potere Z. La potenza varia a seconda
della mossa su cui si basa."
all-out-pummeling/lets-go-pikachu-lets-go-eevee/en,flavor_text(z-split),"The user rams an energy orb created by its Z-Power
into the target with full force. The power varies,
depending on the original move.",Dummy Data,"The user rams an energy orb created by its Z-Power
into the target with full force. The power varies,
depending on the original move."
all-out-pummeling/lets-go-pikachu-lets-go-eevee/ja,flavor_text(z-split),"Ｚパワーで　作った　エネルギーの　弾を
全力で　相手に　ぶつける。
元になった　技で　威力が　変わる。",ダミーデータ,"Ｚパワーで　作った　エネルギーの　弾を
全力で　相手に　ぶつける。
元になった　技で　威力が　変わる。"
all-out-pummeling/lets-go-pikachu-lets-go-eevee/zh-hans,flavor_text(z-split),"通过Ｚ力量制造出能量弹，
全力撞向对手。
威力会根据原来的招式而改变。",ダミーデータ,"通过Ｚ力量制造出能量弹，
全力撞向对手。
威力会根据原来的招式而改变。"
all-out-pummeling/lets-go-pikachu-lets-go-eevee/es-419,flavor_text(z-split),"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original.",Dummy data,"Emplea el Poder Z para lanzar una sarta de golpes
demoledores contra el objetivo. Su potencia depende
de la del movimiento original."
supersonic-skystrike/sun-moon/ja-hrkt,flavor_text(z-split),"Ｚパワーで　いきおいよく　とびあがり
あいてに　むかって　ぜんりょくで　らっか。
もとになった　わざで　いりょくが　かわる。",ダミーデータ,"Ｚパワーで　いきおいよく　とびあがり
あいてに　むかって　ぜんりょくで　らっか。
もとになった　わざで　いりょくが　かわる。"
supersonic-skystrike/sun-moon/ko,flavor_text(z-split),"Z파워로 기세 좋게 날아올라
상대를 향해 전력으로 낙하한다.
원래 기술에 따라 위력이 변한다.",Dummy Data,"Z파워로 기세 좋게 날아올라
상대를 향해 전력으로 낙하한다.
원래 기술에 따라 위력이 변한다."
supersonic-skystrike/sun-moon/zh-hant,flavor_text(z-split),"透過Ｚ力量猛烈地飛向天空，
向著對手全力墜下。
威力會隨原本的招式而改變。",ダミーデータ,"透過Ｚ力量猛烈地飛向天空，
向著對手全力墜下。
威力會隨原本的招式而改變。"
supersonic-skystrike/sun-moon/fr,flavor_text(z-split),"Le Pokémon utilise la Force Z pour s’envoler très haut
dans le ciel avant de plonger sur l’adversaire. La
puissance varie selon celle de la capacité originale.",Dummy,"Le Pokémon utilise la Force Z pour s’envoler très haut
dans le ciel avant de plonger sur l’adversaire. La
puissance varie selon celle de la capacité originale."
supersonic-skystrike/sun-moon/de,flavor_text(z-split),"Der Anwender schwingt sich durch Z-Kraft in die
Lüfte und stürzt sich dann auf das Ziel hinab. Die
Stärke variiert je nach zugrunde liegender Attacke.",Dummy data,"Der Anwender schwingt sich durch Z-Kraft in die
Lüfte und stürzt sich dann auf das Ziel hinab. Die
Stärke variiert je nach zugrunde liegender Attacke."
supersonic-skystrike/sun-moon/es,flavor_text(z-split),"El usuario emplea el Poder Z para volar muy alto y
abalanzarse en picado sobre el objetivo. Su potencia
depende de la del movimiento original.",Dummy data,"El usuario emplea el Poder Z para volar muy alto y
abalanzarse en picado sobre el objetivo. Su potencia
depende de la del movimiento original."
supersonic-skystrike/sun-moon/it,flavor_text(z-split),"Chi la usa si serve del Potere Z per alzarsi in volo
e attaccare il bersaglio piombandogli addosso. La
potenza varia a seconda della mossa su cui si basa.",Dummy Data,"Chi la usa si serve del Potere Z per alzarsi in volo
e attaccare il bersaglio piombandogli addosso. La
potenza varia a seconda della mossa su cui si basa."
supersonic-skystrike/sun-moon/en,flavor_text(z-split),"The user soars up with its Z-Power and plummets
toward the target at full speed. The power varies,
depending on the original move.",Dummy Data,"The user soars up with its Z-Power and plummets
toward the target at full speed. The power varies,
depending on the original move."
supersonic-skystrike/sun-moon/ja,flavor_text(z-split),"Ｚパワーで　勢いよく　飛びあがり
相手に　向かって　全力で　落下。
元になった　技で　威力が　変わる。",ダミーデータ,"Ｚパワーで　勢いよく　飛びあがり
相手に　向かって　全力で　落下。
元になった　技で　威力が　変わる。"
supersonic-skystrike/sun-moon/zh-hans,flavor_text(z-split),"通过Ｚ力量猛烈地飞向天空，
朝对手全力落下。
威力会根据原来的招式而改变。",ダミーデータ,"通过Ｚ力量猛烈地飞向天空，
朝对手全力落下。
威力会根据原来的招式而改变。"
supersonic-skystrike/sun-moon/es-419,flavor_text(z-split),"El usuario emplea el Poder Z para volar muy alto y
abalanzarse en picado sobre el objetivo. Su potencia
depende de la del movimiento original.",Dummy data,"El usuario emplea el Poder Z para volar muy alto y
abalanzarse en picado sobre el objetivo. Su potencia
depende de la del movimiento original."
supersonic-skystrike/ultra-sun-ultra-moon/ja-hrkt,flavor_text(z-split),"Ｚパワーで　いきおいよく　とびあがり
あいてに　むかって　ぜんりょくで　らっか。
もとになった　わざで　いりょくが　かわる。",ダミーデータ,"Ｚパワーで　いきおいよく　とびあがり
あいてに　むかって　ぜんりょくで　らっか。
もとになった　わざで　いりょくが　かわる。"
supersonic-skystrike/ultra-sun-ultra-moon/ko,flavor_text(z-split),"Z파워로 기세 좋게 날아올라
상대를 향해 전력으로 낙하한다.
원래 기술에 따라 위력이 변한다.",Dummy Data,"Z파워로 기세 좋게 날아올라
상대를 향해 전력으로 낙하한다.
원래 기술에 따라 위력이 변한다."
supersonic-skystrike/ultra-sun-ultra-moon/zh-hant,flavor_text(z-split),"透過Ｚ力量猛烈地飛向天空，
向著對手全力墜下。
威力會隨原本的招式而改變。",ダミーデータ,"透過Ｚ力量猛烈地飛向天空，
向著對手全力墜下。
威力會隨原本的招式而改變。"
supersonic-skystrike/ultra-sun-ultra-moon/fr,flavor_text(z-split),"Le Pokémon utilise la Force Z pour s’envoler très haut
dans le ciel avant de plonger sur l’adversaire. La
puissance varie selon celle de la capacité originale.",Dummy,"Le Pokémon utilise la Force Z pour s’envoler très haut
dans le ciel avant de plonger sur l’adversaire. La
puissance varie selon celle de la capacité originale."
supersonic-skystrike/ultra-sun-ultra-moon/de,flavor_text(z-split),"Der Anwender schwingt sich durch Z-Kraft in die
Lüfte und stürzt sich dann auf das Ziel hinab. Die
Stärke variiert je nach zugrunde liegender Attacke.",Dummy data,"Der Anwender schwingt sich durch Z-Kraft in die
Lüfte und stürzt sich dann auf das Ziel hinab. Die
Stärke variiert je nach zugrunde liegender Attacke."
supersonic-skystrike/ultra-sun-ultra-moon/es,flavor_text(z-split),"El usuario emplea el Poder Z para volar muy alto y
abalanzarse en picado sobre el objetivo. Su potencia
depende de la del movimiento original.",Dummy data,"El usuario emplea el Poder Z para volar muy alto y
abalanzarse en picado sobre el objetivo. Su potencia
depende de la del movimiento original."
supersonic-skystrike/ultra-sun-ultra-moon/it,flavor_text(z-split),"Chi la usa si serve del Potere Z per alzarsi in volo
e attaccare il bersaglio piombandogli addosso. La
potenza varia a seconda della mossa su cui si basa.",Dummy Data,"Chi la usa si serve del Potere Z per alzarsi in volo
e attaccare il bersaglio piombandogli addosso. La
potenza varia a seconda della mossa su cui si basa."
supersonic-skystrike/ultra-sun-ultra-moon/en,flavor_text(z-split),"The user soars up with its Z-Power and plummets
toward the target at full speed. The power varies,
depending on the original move.",Dummy Data,"The user soars up with its Z-Power and plummets
toward the target at full speed. The power varies,
depending on the original move."
supersonic-skystrike/ultra-sun-ultra-moon/ja,flavor_text(z-split),"Ｚパワーで　勢いよく　飛びあがり
相手に　向かって　全力で　落下。
元になった　技で　威力が　変わる。",ダミーデータ,"Ｚパワーで　勢いよく　飛びあがり
相手に　向かって　全力で　落下。
元になった　技で　威力が　変わる。"
supersonic-skystrike/ultra-sun-ultra-moon/zh-hans,flavor_text(z-split),"通过Ｚ力量猛烈地飞向天空，
朝对手全力落下。
威力会根据原来的招式而改变。",ダミーデータ,"通过Ｚ力量猛烈地飞向天空，
朝对手全力落下。
威力会根据原来的招式而改变。"
supersonic-skystrike/ultra-sun-ultra-moon/es-419,flavor_text(z-split),"El usuario emplea el Poder Z para volar muy alto y
abalanzarse en picado sobre el objetivo. Su potencia
depende de la del movimiento original.",Dummy data,"El usuario emplea el Poder Z para volar muy alto y
abalanzarse en picado sobre el objetivo. Su potencia
depende de la del movimiento original."
supersonic-skystrike/lets-go-pikachu-lets-go-eevee/ja-hrkt,flavor_text(z-split),"Ｚパワーで　いきおいよく　とびあがり
あいてに　むかって　ぜんりょくで　らっか。
もとになった　わざで　いりょくが　かわる。",ダミーデータ,"Ｚパワーで　いきおいよく　とびあがり
あいてに　むかって　ぜんりょくで　らっか。
もとになった　わざで　いりょくが　かわる。"
